"scientific_name" "category" "criteria"
"Ctenotus eutaenius" "LC" NA
"Ctenotus fallens" "LC" NA
"Ctenotus grandis" "LC" NA
"Ctenotus greeri" "LC" NA
"Ctenotus halysis" "LC" NA
"Ctenotus hanloni" "LC" NA
"Ctenotus hebetior" "LC" NA
"Ctenotus hilli" "LC" NA
"Ctenotus iapetus" "LC" NA
"Ctenotus impar" "LC" NA
"Ctenotus ingrami" "LC" NA
"Ctenotus joanae" "LC" NA
"Ctenotus kurnbudj" "EN" "B1ab(iii)"
"Ctenotus labillardieri" "LC" NA
"Ctenotus lateralis" "LC" NA
"Ctenotus leae" "LC" NA
"Ctenotus maryani" "LC" NA
"Ctenotus mastigura" "LC" NA
"Ctenotus mesotes" "LC" NA
"Ctenotus militaris" "LC" NA
"Ctenotus mimetes" "LC" NA
"Ctenotus monticola" "LC" NA
"Ctenotus nasutus" "LC" NA
"Ctenotus nigrilineatus" "LC" NA
"Ctenotus nullum" "LC" NA
"Ctenotus olympicus" "LC" NA
"Ctenotus ora" "VU" "B1ab(iii)"
"Ctenotus orientalis" "LC" NA
"Ctenotus pallescens" "LC" NA
"Ctenotus pantherinus" "LC" NA
"Ctenotus piankai" "LC" NA
"Ctenotus pulchellus" "LC" NA
"Ctenotus quattuordecimlineatus" "LC" NA
"Ctenotus quinkan" "LC" NA
"Ctenotus quirinus" "LC" NA
"Ctenotus rawlinsoni" "LC" NA
"Ctenotus regius" "LC" NA
"Ctenotus rosarium" "LC" NA
"Ctenotus rubicundus" "LC" NA
"Ctenotus rufescens" "LC" NA
"Ctenotus rutilans" "LC" NA
"Ctenotus saxatilis" "LC" NA
"Ctenotus schevilli" "LC" NA
"Ctenotus schomburgkii" "LC" NA
"Ctenotus septenarius" "LC" NA
"Ctenotus serotinus" "CR" "B1ab(i,iii,v)"
"Ctenotus serventyi" "LC" NA
"Ctenotus severus" "LC" NA
"Ctenotus storri" "LC" NA
"Ctenotus strauchii" "LC" NA
"Ctenotus striaticeps" "LC" NA
"Ctenotus stuarti" "EN" "B1ab(iii)"
"Ctenotus superciliaris" "LC" NA
"Ctenotus taeniatus" "LC" NA
"Ctenotus taeniolatus" "LC" NA
"Ctenotus tanamiensis" "LC" NA
"Ctenotus tantillus" "LC" NA
"Ctenotus terrareginae" "LC" NA
"Ctenotus uber" "LC" NA
"Ctenotus vagus" "DD" NA
"Ctenotus vertebralis" "LC" NA
"Ctenotus xenopleura" "LC" NA
"Ctenotus youngsoni" "LC" NA
"Ctenotus zebrilla" "LC" NA
"Cyclodomorphus branchialis" "NT" NA
"Cyclodomorphus casuarinae" "LC" NA
"Cyclodomorphus gerrardii" "LC" NA
"Cyclodomorphus maximus" "LC" NA
"Cyclodomorphus melanops" "LC" NA
"Cyclodomorphus michaeli" "LC" NA
"Cyclodomorphus praealtus" "EN" "B2ab(iii)"
"Cyclodomorphus venustus" "LC" NA
"Egernia cunninghami" "LC" NA
"Egernia cygnitos" "LC" NA
"Egernia depressa" "LC" NA
"Egernia douglasi" "DD" NA
"Egernia eos" "LC" NA
"Egernia epsisolus" "LC" NA
"Egernia formosa" "LC" NA
"Egernia hosmeri" "LC" NA
"Egernia mcpheei" "LC" NA
"Egernia napoleonis" "LC" NA
"Egernia pilbarensis" "LC" NA
"Egernia richardi" "LC" NA
"Egernia saxatilis" "LC" NA
"Egernia striolata" "LC" NA
"Eremiascincus douglasi" "LC" NA
"Eremiascincus fasciolatus" "LC" NA
"Eremiascincus intermedius" "LC" NA
"Eremiascincus isolepis" "LC" NA
"Eremiascincus musivus" "LC" NA
"Eremiascincus pallidus" "LC" NA
"Eremiascincus pardalis" "LC" NA
"Eremiascincus phantasmus" "LC" NA
"Eremiascincus richardsonii" "LC" NA
"Eroticoscincus graciloides" "LC" NA
"Eulamprus kosciuskoi" "LC" NA
"Eulamprus quoyii" "LC" NA
"Eulamprus tryoni" "LC" NA
"Glaphyromorphus nyanchupinta" "LC" NA
"Glaphyromorphus othelarrni" "LC" NA
"Harrisoniascincus zia" "LC" NA
"Hemiergis gracilipes" "LC" NA
"Hemiergis initialis" "LC" NA
"Hemiergis millewae" "LC" NA
"Hemiergis peronii" "LC" NA
"Hemiergis talbingoensis" "LC" NA
"Lampropholis adonis" "LC" NA
"Lampropholis amicula" "LC" NA
"Lampropholis caligula" "LC" NA
"Lampropholis coggeri" "LC" NA
"Lampropholis colossus" "DD" NA
"Lampropholis couperi" "LC" NA
"Lampropholis delicata" "LC" NA
"Lampropholis elongata" "DD" NA
"Lampropholis guichenoti" "LC" NA
"Lampropholis mirabilis" "LC" NA
"Lampropholis robertsi" "LC" NA
"Lerista aericeps" "LC" NA
"Lerista ameles" "EN" "B1ab(ii,iii,v)"
"Lerista amicorum" "LC" NA
"Lerista apoda" "LC" NA
"Lerista arenicola" "LC" NA
"Lerista axillaris" "DD" NA
"Lerista baynesi" "LC" NA
"Lerista bipes" "LC" NA
"Lerista borealis" "LC" NA
"Lerista bougainvillii" "LC" NA
"Lerista bunglebungle" "DD" NA
"Lerista carpentariae" "LC" NA
"Lerista chordae" "VU" "B1ab(iii)+2ab(iii)"
"Lerista christinae" "VU" "B1ab(iii)"
"Lerista cinerea" "NT" NA
"Lerista clara" "LC" NA
"Lerista colliveri" "NT" NA
"Lerista desertorum" "LC" NA
"Lerista distinguenda" "LC" NA
"Lerista dorsalis" "LC" NA
"Lerista edwardsae" "LC" NA
"Lerista elegans" "LC" NA
"Lerista emmotti" "LC" NA
"Lerista eupoda" "LC" NA
"Lerista flammicauda" "LC" NA
"Lerista fragilis" "LC" NA
"Lerista frosti" "LC" NA
"Lerista gascoynensis" "LC" NA
"Lerista gerrardii" "LC" NA
"Lerista greeri" "LC" NA
"Lerista griffini" "LC" NA
"Lerista haroldi" "EN" "B1ab(iii)"
"Lerista humphriesi" "LC" NA
"Lerista ingrami" "DD" NA
"Lerista ips" "LC" NA
"Lerista jacksoni" "LC" NA
"Lerista kalumburu" "LC" NA
"Lerista karlschmidti" "LC" NA
"Lerista kendricki" "LC" NA
"Lerista kingi" "LC" NA
"Lerista labialis" "LC" NA
"Lerista lineata" "EN" "B2ab(ii,iii)"
"Lerista lineopunctulata" "LC" NA
"Lerista macropisthopus" "LC" NA
"Lerista micra" "LC" NA
"Lerista microtis" "LC" NA
"Lerista muelleri" "LC" NA
"Lerista neander" "LC" NA
"Lerista nevinae" "CR" "B2ab(iii)"
"Lerista nichollsi" "LC" NA
"Lerista occulta" "LC" NA
"Lerista orientalis" "LC" NA
"Lerista petersoni" "LC" NA
"Lerista picturata" "LC" NA
"Lerista planiventralis" "LC" NA
"Lerista praefrontalis" "DD" NA
"Lerista praepedita" "LC" NA
"Lerista punctatovittata" "LC" NA
"Lerista puncticauda" "EN" "B1ab(iii,v)+2ab(iii,v)"
"Lerista quadrivincula" "DD" NA
"Lerista timida" "LC" NA
"Lerista robusta" "DD" NA
"Lerista rochfordensis" "VU" "D2"
"Lerista rolfei" "LC" NA
"Lerista separanda" "LC" NA
"Lerista simillima" "LC" NA
"Lerista speciosa" "LC" NA
"Lerista stictopleura" "LC" NA
"Lerista storri" "NT" NA
"Lerista terdigitata" "LC" NA
"Lerista tridactyla" "LC" NA
"Lerista uniduo" "LC" NA
"Lerista varia" "LC" NA
"Lerista verhmens" "LC" NA
"Lerista viduata" "DD" NA
"Lerista wilkinsi" "LC" NA
"Lerista xanthura" "LC" NA
"Lerista yuna" "NT" NA
"Lerista zietzi" "LC" NA
"Lerista zonulata" "LC" NA
"Liburnascincus artemis" "LC" NA
"Liburnascincus coensis" "LC" NA
"Liburnascincus mundivensis" "LC" NA
"Liopholis guthega" "EN" "B2ab(iii)"
"Liopholis margaretae" "LC" NA
"Liopholis modesta" "LC" NA
"Liopholis montana" "NT" NA
"Liopholis multiscutata" "LC" NA
"Liopholis slateri" "VU" "B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"Lissolepis coventryi" "EN" "B2ab(iii)"
"Lissolepis luctuosa" "LC" NA
"Menetia alanae" "LC" NA
"Menetia greyii" "LC" NA
"Menetia maini" "LC" NA
"Menetia surda" "LC" NA
"Morethia adelaidensis" "LC" NA
"Morethia butleri" "LC" NA
"Morethia lineoocellata" "LC" NA
"Morethia obscura" "LC" NA
"Morethia ruficauda" "LC" NA
"Morethia storri" "LC" NA
"Morethia taeniopleura" "LC" NA
"Nangura spinosa" "EN" "B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"Niveoscincus coventryi" "LC" NA
"Niveoscincus greeni" "VU" "D2"
"Niveoscincus metallicus" "LC" NA
"Niveoscincus microlepidotus" "VU" "D2"
"Niveoscincus ocellatus" "LC" NA
"Niveoscincus orocryptus" "VU" "D2"
"Niveoscincus pretiosus" "LC" NA
"Notoscincus butleri" "LC" NA
"Notoscincus ornatus" "LC" NA
"Ophioscincus cooloolensis" "LC" NA
"Ophioscincus ophioscincus" "LC" NA
"Ophioscincus truncatus" "LC" NA
"Proablepharus barrylyoni" "CR" "B2ab(iii)"
"Proablepharus kinghorni" "LC" NA
"Proablepharus naranjicaudus" "LC" NA
"Proablepharus tenuis" "LC" NA
"Pseudemoia cryodroma" "EN" "B2ab(iii)"
"Pseudemoia entrecasteauxii" "LC" NA
"Pseudemoia rawlinsoni" "DD" NA
"Pseudemoia spenceri" "LC" NA
"Pygmaeascincus koshlandae" "LC" NA
"Pygmaeascincus sadlieri" "LC" NA
"Pygmaeascincus timlowi" "LC" NA
"Saiphos equalis" "LC" NA
"Saproscincus basiliscus" "LC" NA
"Saproscincus challengeri" "LC" NA
"Saproscincus eungellensis" "DD" NA
"Saproscincus hannahae" "LC" NA
"Saproscincus lewisi" "LC" NA
"Saproscincus mustelinus" "LC" NA
"Saproscincus oriarus" "LC" NA
"Saproscincus rosei" "LC" NA
"Saproscincus saltus" "VU" "D2"
"Saproscincus spectabilis" "LC" NA
"Saproscincus tetradactylus" "LC" NA
"Eulamprus murrayi" "LC" NA
"Techmarscincus jigurru" "VU" "D2"
"Tiliqua multifasciata" "LC" NA
"Tiliqua nigrolutea" "LC" NA
"Tiliqua occipitalis" "LC" NA
"Tiliqua rugosa" "LC" NA
"Tiliqua scincoides" "LC" NA
"Cnemaspis tropidogaster" "DD" NA
"Trioceros jacksonii" "LC" NA
"Platysaurus attenboroughi" "LC" NA
"Afroedura broadleyi" "LC" NA
"Afroedura granitica" "DD" NA
"Afroedura leoloensis" "LC" NA
"Afroedura maripi" "LC" NA
"Afroedura pienaari" "LC" NA
"Afroedura pongola" "DD" NA
"Afroedura rondavelica" "DD" NA
"Afroedura rupestris" "DD" NA
"Afroedura waterbergensis" "LC" NA
"Lygosoma corpulentum" "LC" NA
"Mochlus sundevallii" "LC" NA
"Afroedura major" "NT" NA
"Leptotyphlops telloi" "NT" NA
"Vietnascincus rugosus" "DD" NA
"Dixonius aaronbaueri" "LC" NA
"Gehyra einasleighensis" "LC" NA
"Psammobates geometricus" "CR" "A4ace"
"Pseudocalotes brevipes" "LC" NA
"Pseudocophotis kontumensis" "DD" NA
"Dibamus smithi" "DD" NA
"Dixonius vietnamensis" "LC" NA
"Takydromus hani" "LC" NA
"Sphenomorphus tritaeniatus" "NT" NA
"Cnemaspis lineogularis" "LC" NA
"Cnemaspis phangngaensis" "LC" NA
"Cnemaspis thachanaensis" "NT" NA
"Gekko badenii" "EN" "B1ab(v)"
"Gekko grossmanni" "DD" NA
"Bronchocela burmana" "LC" NA
"Xenodon histricus" "LC" NA
"Bronchocela smaragdina" "LC" NA
"Gopherus flavomarginatus" "CR" "A4bcd"
"Dixonius melanostictus" "LC" NA
"Dixonius siamensis" "LC" NA
"Lygosoma haroldyoungi" "LC" NA
"Crocodylus rhombifer" "CR" "A2cde"
"Isopachys anguinoides" "LC" NA
"Dixonius hangseesom" "LC" NA
"Pelomedusa galeata" "LC" NA
"Isopachys gyldenstolpei" "LC" NA
"Isopachys roulei" "LC" NA
"Panaspis africanus" "VU" "D2"
"Panaspis annobonensis" "CR" "B1ab(iii)"
"Panaspis wilsoni" "DD" NA
"Cyrtodactylus annandalei" "LC" NA
"Cyrtodactylus brevidactylus" "EN" "B1ab(iii)"
"Cyrtodactylus chrysopylos" "VU" "D1"
"Cyrtodactylus feae" "DD" NA
"Cyrtodactylus sumonthai" "LC" NA
"Lygosoma frontoparietale" "DD" NA
"Lygosoma koratense" "LC" NA
"Scincella punctatolineata" "LC" NA
"Tropidophorus latiscutatus" "DD" NA
"Calotes chincollium" "LC" NA
"Trachylepis margaritifer" "LC" NA
"Dixonius kaweesaki" "CR" "B1ab(v)"
"Sphenomorphus cryptotis" "LC" NA
"Darevskia rostombekovi" "EN" "B1ab(i,iii)"
"Darevskia unisexualis" "NT" NA
"Darevskia dahli" "NT" NA
"Vipera kaznakovi" "EN" "B2ab(ii,iii,v)"
"Vipera dinniki" "VU" "B1ab(iii,v)"
"Vipera eriwanensis" "VU" "B1ab(iii,v)"
"Vipera magnifica" "EN" "B1ab(i,ii,iii,v); C2a(i)"
"Vipera lotievi" "NT" NA
"Vipera orlovi" "CR" "B1ab(i,v); C2a(i)"
"Vipera transcaucasiana" "NT" NA
"Darevskia clarkorum" "EN" "B1ab(i,iii)"
"Darevskia alpina" "VU" "B1ab(i,iii,v)"
"Darevskia derjugini" "NT" NA
"Eremias pleskei" "CR" "A2c"
"Darevskia daghestanica" "LC" NA
"Darevskia mixta" "NT" NA
"Darevskia brauneri" "LC" NA
"Darevskia portschinskii" "LC" NA
"Darevskia parvula" "LC" NA
"Darevskia caucasica" "LC" NA
"Darevskia dryada" "CR" "B2ab(iii,v)"
"Darevskia raddei" "LC" NA
"Lacerta strigata" "LC" NA
"Iranolacerta brandtii" "DD" NA
"Darevskia chlorogaster" "LC" NA
"Natrix megalocephala" "VU" "A2ce+4ce"
"Darevskia uzzelli" "EN" "B1ab(iii)"
"Vipera ebneri" "VU" "B2ab(iii)"
"Vipera pontica" "EN" "D"
"Plestiodon sumichrasti" "LC" NA
"Tantilla schistosa" "LC" NA
"Marisora unimarginata" "LC" NA
"Atropoides occiduus" "LC" NA
"Clelia scytalina" "LC" NA
"Eremias montanus" "LC" NA
"Plestiodon takarai" "DD" NA
"Hypsirhynchus ater" "CR" "C2a(i); D"
"Alsophis rijgersmaei" "EN" "B1ab(iii)"
"Alsophis rufiventris" "VU" "D2"
"Celestus fowleri" "VU" "D2"
"Celestus microblepharis" "CR" "B1ab(iii,v)"
"Chironius vincenti" "CR" "B1ab(iii)"
"Cnemidophorus vanzoi" "CR" "B2ab(v)"
"Diploglossus montisserrati" "CR" "B1ab(iii)+2ab(iii)"
"Leiocephalus eremitus" "EX" NA
"Leiocephalus herminieri" "EX" NA
"Erythrolamprus cursor" "CR" "B1ab(v)+2ab(v)"
"Erythrolamprus ornatus" "CR" "D"
"Erythrolamprus perfuscus" "EX" NA
"Sphaerodactylus micropithecus" "DD" NA
"Ptychoglossus danieli" "CR" "B1ab(iii)"
"Ptychoglossus romaleos" "DD" NA
"Ptychoglossus vallensis" "LC" NA
"Celestus warreni" "VU" "B1ab(iii)"
"Geochelone elegans" "VU" "A4cd"
"Borikenophis sanctaecrucis" "CR" "D"
"Cuora bourreti" "CR" "A2bd+4bd"
"Cuora picturata" "CR" "A2bd+4bd"
"Walterinnesia aegyptia" "LC" NA
"Stenodactylus grandiceps" "LC" NA
"Stenodactylus doriae" "LC" NA
"Uromastyx aegyptia" "VU" "A2abcd+4abcd"
"Magliophis exiguus" "LC" NA
"Alsophis antillensis" "CR" "B1ab(v)"
"Alsophis manselli" "NT" NA
"Cubophis caymanus" "LC" NA
"Cubophis fuscicauda" "LC" NA
"Cubophis ruttyi" "LC" NA
"Cubophis vudii" "LC" NA
"Haitiophis anomalus" "VU" "B1ab(iii,iv)"
"Hypsirhynchus callilaemus" "LC" NA
"Hypsirhynchus ferox" "LC" NA
"Hypsirhynchus funereus" "LC" NA
"Hypsirhynchus melanichnus" "CR" "B2ab(v)"
"Hypsirhynchus parvifrons" "LC" NA
"Hypsirhynchus polylepis" "EN" "B1ab(iii,v)"
"Hypsirhynchus scalaris" "VU" "B1ab(iii)"
"Ialtris agyrtes" "EN" "B1ab(iii)"
"Ialtris dorsalis" "NT" NA
"Ialtris haetianus" "VU" "B1ab(i,iii)"
"Ialtris parishi" "CR" "B1ab(iii)"
"Magliophis stahli" "LC" NA
"Uromacer catesbyi" "LC" NA
"Uromacer frenatus" "NT" NA
"Gonatodes daudini" "CR" "B1ab(iii)+2ab(iii)"
"Sphaerodactylus kirbyi" "VU" "B1ab(iii)+2ab(iii)"
"Amerotyphlops tasymicris" "EN" "B1ab(iii)"
"Cryptoblepharus poecilopleurus" "LC" NA
"Holcosus festivus" "LC" NA
"Micrurus nigrocinctus" "LC" NA
"Masticophis mentovarius" "LC" NA
"Celestus badius" "LC" NA
"Celestus barbouri" "EN" "B1ab(i,iii,v)"
"Celestus costatus" "LC" NA
"Celestus darlingtoni" "EN" "B1ab(iii)"
"Celestus haetianus" "EN" "B1ab(iii)"
"Celestus macrotus" "EN" "B1ab(i,iii)"
"Celestus marcanoi" "LC" NA
"Celestus stenurus" "LC" NA
"Leposoma southi" "LC" NA
"Ptychoglossus festae" "LC" NA
"Ptychoglossus plicatus" "LC" NA
"Ptychoglossus eurylepis" "NT" NA
"Polychrus jacquelinae" "DD" NA
"Aristelliger cochranae" "LC" NA
"Aristelliger expectatus" "LC" NA
"Aristelliger hechti" "VU" "D2"
"Sphaerodactylus lineolatus" "LC" NA
"Holcosus leptophrys" "LC" NA
"Helminthophis flavoterminatus" "LC" NA
"Liotyphlops haadi" "DD" NA
"Ungaliophis panamensis" "LC" NA
"Chironius grandisquamis" "LC" NA
"Dendrophidion nuchale" "LC" NA
"Dendrophidion percarinatum" "LC" NA
"Leptophis stimsoni" "LC" NA
"Tantilla reticulata" "LC" NA
"Atractus sanctaemartae" "LC" NA
"Clelia errabunda" "EX" NA
"Diaphorolepis laevis" "DD" NA
"Dipsas temporalis" "LC" NA
"Erythrolamprus ocellatus" "LC" NA
"Erythrolamprus pseudocorallus" "LC" NA
"Geophis nigroalbus" "NT" NA
"Leptodeira bakeri" "LC" NA
"Ninia atrata" "LC" NA
"Urotheca lateristriga" "LC" NA
"Epictia magnamaculata" "LC" NA
"Tetracheilostoma bilineatum" "LC" NA
"Tetracheilostoma breuili" "EN" "B1ab(iii,v)"
"Tetracheilostoma carlae" "CR" "B2ab(iii)"
"Trilepida dugandi" "LC" NA
"Helicops danieli" "LC" NA
"Philodryas cordata" "LC" NA
"Bachia talpa" "LC" NA
"Cercosaura hypnoides" "DD" NA
"Echinosaura orcesi" "NT" NA
"Pholidobolus montium" "NT" NA
"Riama afrania" "DD" NA
"Riama columbiana" "EN" "B1ab(iii)"
"Riama laevis" "VU" "B1ab(iii)"
"Riama stellae" "DD" NA
"Tretioscincus bifasciatus" "LC" NA
"Alinea berengerae" "LC" NA
"Alinea lanceolata" "CR" "B2ab(v)"
"Alinea luciae" "EX" NA
"Alinea pergravis" "LC" NA
"Gonatodes riveroi" "LC" NA
"Gonatodes vittatus" "LC" NA
"Lepidoblepharis duolepis" "LC" NA
"Lepidoblepharis intermedius" "LC" NA
"Lepidoblepharis microlepis" "DD" NA
"Lepidoblepharis miyatai" "CR" "B1ab(v)+2ab(v)"
"Lepidoblepharis peraccae" "LC" NA
"Lepidoblepharis ruthveni" "LC" NA
"Pseudogonatodes furvus" "DD" NA
"Ameiva bifrontata" "LC" NA
"Holcosus niceforoi" "LC" NA
"Diploglossus millepunctatus" "LC" NA
"Stenocercus lache" "LC" NA
"Stenocercus santander" "LC" NA
"Stenocercus trachycephalus" "LC" NA
"Atractus apophis" "DD" NA
"Atractus atratus" "DD" NA
"Atractus boulengerii" "DD" NA
"Atractus indistinctus" "DD" NA
"Atractus lasallei" "LC" NA
"Atractus macondo" "DD" NA
"Atractus manizalesensis" "LC" NA
"Atractus melanogaster" "DD" NA
"Atractus multicinctus" "LC" NA
"Atractus nasutus" "DD" NA
"Atractus oculotemporalis" "DD" NA
"Dipsas baliomelas" "DD" NA
"Micrurus oligoanellatus" "DD" NA
"Micrurus spurrelli" "NT" NA
"Capitellum mariagalantae" "CR" "B1ab(v)"
"Capitellum metallicum" "CR" "B1ab(v)"
"Copeoglossum aurae" "LC" NA
"Copeoglossum redondae" "EX" NA
"Mabuya hispaniolae" "CR" "B1ab(v); D"
"Mabuya montserratae" "CR" "B1ab(iii)"
"Mabuya mabouya" "CR" "B2ab(v)"
"Marisora aurulae" "VU" "B1ab(v)"
"Spondylurus anegadeae" "CR" "B1ab(v)"
"Spondylurus caicosae" "NT" NA
"Spondylurus fulgida" "EN" "B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"Spondylurus haitiae" "CR" "B1ab(iii,v)"
"Spondylurus lineolatus" "CR" "D"
"Spondylurus macleani" "CR" "B2ab(v)"
"Spondylurus martinae" "CR" "B1ab(v)+2ab(v)"
"Spondylurus turksae" "CR" "B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"Proctoporus chasqui" "LC" NA
"Phyllodactylus pulcher" "CR" "B2ab(iii,v)"
"Phyllodactylus julieni" "LC" NA
"Phyllodactylus martini" "LC" NA
"Thamnodynastes ceibae" "DD" NA
"Thamnodynastes chimanta" "LC" NA
"Thamnodynastes duida" "LC" NA
"Ameiva atrigularis" "LC" NA
"Ameiva alboguttata" "LC" NA
"Cnemidophorus murinus" "LC" NA
"Cnemidophorus ruthveni" "LC" NA
"Erythrolamprus ingeri" "LC" NA
"Erythrolamprus torrenicola" "LC" NA
"Erythrolamprus triscalis" "EN" "B1ab(iii)"
"Epictia columbi" "LC" NA
"Proctoporus kiziriani" "LC" NA
"Homonota gaudichaudii" "LC" NA
"Gonatodes antillensis" "LC" NA
"Gonatodes ocellatus" "LC" NA
"Atractus ventrimaculatus" "LC" NA
"Amphisbaena bakeri" "LC" NA
"Amphisbaena caeca" "LC" NA
"Amphisbaena caudalis" "EN" "B1ab(iii)+2ab(iii)"
"Amphisbaena cayemite" "CR" "B1ab(iii)+2ab(iii)"
"Amphisbaena fenestrata" "EN" "B1ab(iii)"
"Amphisbaena gonavensis" "CR" "B1ab(iii)+2ab(iii)"
"Amphisbaena innocens" "VU" "B1ab(iii)"
"Amphisbaena leali" "CR" "B1ab(iii)+2ab(iii)"
"Amphisbaena manni" "LC" NA
"Leptophis haileyi" "DD" NA
"Celestus molesworthi" "EN" "B1ab(iii,v)"
"Diploglossus pleii" "LC" NA
"Dipsas trinitatis" "LC" NA
"Ninia francisco" "DD" NA
"Leiocephalus altavelensis" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Leiocephalus barahonensis" "LC" NA
"Leiocephalus cuneus" "EX" NA
"Leiocephalus endomychus" "CR" "B1ab(iii)"
"Leiocephalus inaguae" "LC" NA
"Leiocephalus loxogrammus" "LC" NA
"Leiocephalus lunatus" "LC" NA
"Leiocephalus personatus" "LC" NA
"Leiocephalus pratensis" "CR" "B1ab(iii,v)"
"Leiocephalus psammodromus" "VU" "B1ab(iii,iv,v)"
"Leiocephalus punctatus" "LC" NA
"Leiocephalus rhutidira" "CR" "B1ab(iii)"
"Leiocephalus semilineatus" "LC" NA
"Leiocephalus vinculum" "EN" "B1ab(iii)"
"Mitophis asbolepis" "CR" "B1ab(iii)"
"Mitophis calypso" "CR" "B1ab(iii)"
"Mitophis leptepileptus" "CR" "B1ab(iii)"
"Phyllodactylus hispaniolae" "EN" "B1ab(iii)"
"Phyllodactylus sommeri" "CR" "B1ab(i,iii)"
"Thecadactylus oskrobapreinorum" "DD" NA
"Sphaerodactylus altavelensis" "LC" NA
"Sphaerodactylus argivus" "LC" NA
"Sphaerodactylus ariasae" "LC" NA
"Sphaerodactylus armstrongi" "LC" NA
"Sphaerodactylus asterulus" "EN" "B1ab(iii)"
"Sphaerodactylus beattyi" "EN" "B1ab(iii,v)"
"Sphaerodactylus becki" "LC" NA
"Sphaerodactylus caicosensis" "LC" NA
"Sphaerodactylus cinereus" "VU" "B1ab(iii)"
"Sphaerodactylus clenchi" "NT" NA
"Sphaerodactylus cochranae" "CR" "B1ab(iii)"
"Sphaerodactylus copei" "NT" NA
"Sphaerodactylus cryphius" "EN" "B1ab(i,iii)"
"Sphaerodactylus dacnicolor" "EN" "B1ab(i,iii,v)+2ab(i,iii,v)"
"Sphaerodactylus darlingtoni" "NT" NA
"Sphaerodactylus elasmorhynchus" "CR" "B1ab(iii)+2ab(iii)"
"Sphaerodactylus elegantulus" "DD" NA
"Sphaerodactylus epiurus" "CR" "B1ab(iii)"
"Sphaerodactylus gaigeae" "LC" NA
"Sphaerodactylus ladae" "EN" "B1ab(iii)+2ab(iii)"
"Sphaerodactylus lazelli" "CR" "B1ab(iii)+2ab(iii)"
"Sphaerodactylus leucaster" "LC" NA
"Sphaerodactylus levinsi" "LC" NA
"Sphaerodactylus macrolepis" "LC" NA
"Sphaerodactylus ocoae" "EN" "B1ab(iii)"
"Sphaerodactylus omoglaux" "EN" "B1ab(iii)"
"Sphaerodactylus oxyrhinus" "EN" "B1ab(iii,v)"
"Sphaerodactylus parkeri" "EN" "B1ab(iii,v)"
"Sphaerodactylus parthenopion" "EN" "B1ab(iii)"
"Sphaerodactylus perissodactylius" "EN" "B1ab(i,iii)"
"Sphaerodactylus plummeri" "EN" "B1ab(iii)"
"Sphaerodactylus randi" "EN" "B1ab(iii)"
"Sphaerodactylus rhabdotus" "EN" "B1ab(iii)"
"Sphaerodactylus richardsoni" "EN" "B1ab(i,iii,v)"
"Sphaerodactylus samanensis" "CR" "B1ab(iii)"
"Sphaerodactylus schuberti" "CR" "B1ab(iii)"
"Sphaerodactylus semasiops" "EN" "B1ab(iii,v)"
"Sphaerodactylus sommeri" "CR" "B1ab(iii)"
"Sphaerodactylus sputator" "LC" NA
"Sphaerodactylus underwoodi" "LC" NA
"Sphaerodactylus zygaena" "EN" "B1ab(iii)"
"Amerotyphlops trinitatus" "EN" "B1ab(iii)"
"Typhlops agoralionis" "CR" "B1ab(iii)"
"Typhlops annae" "DD" NA
"Typhlops catapontus" "DD" NA
"Typhlops caymanensis" "EN" "B1ab(iii)"
"Typhlops epactius" "CR" "B1ab(iii)"
"Typhlops geotomus" "NT" NA
"Typhlops gonavensis" "EN" "B1ab(iii)"
"Typhlops guadeloupensis" "LC" NA
"Typhlops monastus" "NT" NA
"Typhlops sylleptor" "EN" "B1ab(iii)"
"Celestus maculatus" "EN" "B1ab(iii)+2ab(iii)"
"Japalura ngoclinensis" "DD" NA
"Tropidophorus sebi" "DD" NA
"Cyrtodactylus lenya" "DD" NA
"Cyrtodactylus payarhtanensis" "DD" NA
"Gekko nadenensis" "DD" NA
"Afroedura langi" "LC" NA
"Afroedura pondolia" "LC" NA
"Afroedura multiporis" "NT" NA
"Afroedura hawequensis" "LC" NA
"Bitis inornata" "DD" NA
"Bradypodion nemorale" "NT" NA
"Bradypodion setaroi" "LC" NA
"Bradypodion thamnobates" "EN" "B1ab(iii,v)"
"Bradypodion taeniabronchum" "LC" NA
"Ouroborus cataphractus" "LC" NA
"Smaug giganteus" "VU" "A2bcd+4bcd"
"Cordylus mclachlani" "LC" NA
"Gerrhosaurus typicus" "LC" NA
"Homopholis mulleri" "LC" NA
"Chersobius signatus" "EN" "A4ace"
"Homoroselaps dorsalis" "LC" NA
"Lamprophis fiskii" "LC" NA
"Lamprophis fuscus" "LC" NA
"Inyoka swazicus" "LC" NA
"Lygodactylus methueni" "DD" NA
"Phelsuma ocellata" "LC" NA
"Goggia microlepidota" "LC" NA
"Platysaurus relictus" "LC" NA
"Pseudocordylus langi" "LC" NA
"Pseudocordylus spinosus" "LC" NA
"Scelotes bourquini" "VU" "B1ab(i,iii,v)"
