"scientific_name" "category" "criteria"
"Pristimantis taeniatus" "LC" NA
"Diasporus vocator" "LC" NA
"Oreobates saxatilis" "LC" NA
"Leptodactylus fallax" "CR" "A2ace; C2a(i)"
"Leptodactylus labrosus" "LC" NA
"Leptodactylus pascoensis" "DD" NA
"Ctenophryne carpish" "EN" "B1ab(iii)"
"Oreobates pereger" "EN" "B1ab(iii)"
"Psychrophrynella usurpator" "NT" NA
"Telmatobius brevipes" "VU" "B1ab(iii)"
"Telmatobius brevirostris" "EN" "B1ab(iii,v)"
"Telmatobius carrillae" "VU" "B1ab(iii,v)"
"Telmatobius degener" "DD" NA
"Telmatobius hockingi" "DD" NA
"Telmatobius ignavus" "EN" "B1ab(iii,v)"
"Telmatobius intermedius" "EN" "B1ab(iii,v)"
"Telmatobius jelskii" "NT" NA
"Telmatobius latirostris" "EN" "B1ab(iii,v)"
"Telmatobius marmoratus" "VU" "A3cde"
"Telmatobius mayoloi" "EN" "B1ab(iii,v)"
"Telmatobius necopinus" "DD" NA
"Telmatobius thompsoni" "DD" NA
"Telmatobius truebae" "VU" "B1ab(iii,v)"
"Megophrys intermedia" "LC" NA
"Leptobrachium banae" "LC" NA
"Anodonthyla boulengeri" "NT" NA
"Anodonthyla nigrigularis" "EN" "B1ab(iii)"
"Anodonthyla rouxae" "EN" "B1ab(iii)"
"Breviceps acutirostris" "LC" NA
"Breviceps adspersus" "LC" NA
"Breviceps fuscus" "LC" NA
"Breviceps montanus" "LC" NA
"Breviceps mossambicus" "LC" NA
"Breviceps namaquensis" "LC" NA
"Breviceps rosei" "LC" NA
"Breviceps verrucosus" "LC" NA
"Callulina kreffti" "LC" NA
"Phrynomantis annectens" "LC" NA
"Phrynomantis bifasciatus" "LC" NA
"Probreviceps macrodactylus" "EN" "B1ab(iii)"
"Chiasmocleis antenori" "LC" NA
"Chiasmocleis carvalhoi" "LC" NA
"Anhydrophryne hewitti" "LC" NA
"Cacosternum boettgeri" "LC" NA
"Cacosternum namaquense" "LC" NA
"Cacosternum nanum" "LC" NA
"Cacosternum parvum" "LC" NA
"Phrynobatrachus acridoides" "LC" NA
"Phrynobatrachus elberti" "DD" NA
"Phrynobatrachus mababiensis" "LC" NA
"Phrynobatrachus nanus" "DD" NA
"Phrynobatrachus natalensis" "LC" NA
"Phrynobatrachus pygmaeus" "DD" NA
"Phrynobatrachus uzungwensis" "NT" NA
"Xenopus boumbaensis" "NT" NA
"Xenopus longipes" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Xenopus petersii" "LC" NA
"Amietia angolensis" "LC" NA
"Hildebrandtia ornata" "LC" NA
"Limnonectes microdiscus" "LC" NA
"Ptychadena mossambica" "LC" NA
"Ptychadena oxyrhynchus" "LC" NA
"Ptychadena porosissima" "LC" NA
"Ptychadena taenioscelis" "LC" NA
"Ptychadena tournieri" "LC" NA
"Ptychadena uzungwensis" "LC" NA
"Pyxicephalus adspersus" "LC" NA
"Hylarana attigua" "LC" NA
"Lithobates vibicarius" "VU" "D1"
"Strongylopus bonaespei" "LC" NA
"Strongylopus fasciatus" "LC" NA
"Strongylopus grayii" "LC" NA
"Tomopterna cryptotis" "LC" NA
"Tomopterna delalandii" "LC" NA
"Tomopterna krugerensis" "LC" NA
"Tomopterna marmorata" "LC" NA
"Tomopterna natalensis" "LC" NA
"Tomopterna tandyi" "LC" NA
"Chiromantis xerampelina" "LC" NA
"Raorchestes travancoricus" "EN" "B2ab(iii)"
"Rhacophorus annamensis" "LC" NA
"Ambystoma flavipiperatum" "EN" "B1ab(iii)+2ab(iii)"
"Bolitoglossa compacta" "EN" "B1ab(iii)"
"Bolitoglossa digitigrada" "DD" NA
"Cryptotriton veraepacis" "CR" "B1ab(iii)"
"Arthroleptis adelphus" "LC" NA
"Afrixalus aureus" "LC" NA
"Pristimantis aniptopalmatus" "LC" NA
"Telmatobius timens" "CR" "A2ace"
"Cophyla berara" "EN" "B1ab(iii)"
"Holoaden bradei" "CR" "B2ab(iii,v)"
"Hydromantes brunus" "VU" "D2"
"Hydromantes shastae" "VU" "D2"
"Hyla arborea" "LC" NA
"Bokermannohyla izecksohni" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Bokermannohyla langei" "DD" NA
"Hypsiboas secedens" "DD" NA
"Hypsiboas marianitae" "LC" NA
"Hylodes sazimai" "DD" NA
"Hynobius abei" "CR" "B2ab(ii,iii,iv)"
"Hynobius dunni" "EN" "B2ab(iii)"
"Hynobius hidamontanus" "EN" "B1ab(iii)"
"Hynobius okiensis" "CR" "B2ab(iii)"
"Hynobius stejnegeri" "VU" "B1ab(iii)"
"Hynobius takedai" "EN" "B1ab(iii)"
"Stereocyclops histrio" "DD" NA
"Ambystoma mexicanum" "CR" "B2ab(iii,v)"
