"","auto_id","Scientific.name.species","taxon_name_species","taxon_name_infraspecies","TBN學名_infraspecies","name_c.x","name_e","category","criteria","adjusting","taxon_group","name_code","taxon_rank","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name_c.y","is_endemic","is_alien","is_protected"
"141",140,"Lonchura striata","Lonchura striata","Lonchura striata","Lonchura striata","白腰文鳥",NA,"NLC","A; B; C; D"," ","bird","380427","species",1024678,1024678,NA,"63cad33a-13d4-495e-953c-ef72db7f31f8","species","Aves","鳥綱","Passeriformes","雀形目","Estrildidae","梅花雀科","Lonchura","文鳥屬","白腰文鳥"," "," "," "
"142",141,"Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","斑文鳥",NA,"NLC","A; B; C; D"," ","bird","380426","species",1024677,1024677,NA,"e37fd4e8-49de-4516-a446-c5782535d5d1","species","Aves","鳥綱","Passeriformes","雀形目","Estrildidae","梅花雀科","Lonchura","文鳥屬","斑文鳥"," "," "," "
"143",142,"Dendrocopos canicapillus","Dendrocopos canicapillus","Dendrocopos canicapillus","Dendrocopos canicapillus","小啄木",NA,"NLC","A; B; D"," ","bird","380491","species",1024116,1024116,NA,"0bfd8a68-bdff-4cc5-8336-efc005edd1c8","species","Aves","鳥綱","Piciformes","鴷形目","Picidae","啄木鳥科","Dendrocopos","啄木鳥屬","小啄木"," "," "," "
"144",143,"Regulus goodfellowi","Regulus goodfellowi","Regulus goodfellowi","Regulus goodfellowi","火冠戴菊鳥",NA,"NLC","A; B; D"," ","bird","380442","species",380442,380442,380442,"fc9b6509-2981-4915-b09b-7d289bb4622b","species","Aves","鳥綱","Passeriformes","雀形目","Regulidae","戴菊科","Regulus","戴菊屬","火冠戴菊鳥","Y"," ","Y"
"145",144,"Trochalopteron morrisonianum","Garrulax morrisonianus","Garrulax morrisonianus","Trochalopteron morrisonianum","台灣噪眉",NA,"NLC","A; B; D"," ","bird","428598","species",428598,428598,428598,"8b4b1b08-5329-4d14-ba12-c60fed02e413","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Trochalopteron","圓翅噪?屬","臺灣噪眉","Y"," "," "
"146",145,"Niltava vivida","Niltava vivida","Niltava vivida vivida","Niltava vivida vivida","黃腹琉璃",NA,"NLC","A; B; D"," ","bird","425216","infraspecies",1024921,1024921,NA,"61a4f693-98bf-428f-847d-2ed004f7cbaf","species","Aves","鳥綱","Passeriformes","雀形目","Muscicapidae","鶲科","Niltava","仙鶲屬","黃腹琉璃"," "," "," "
"147",146,"Tarsiger johnstoniae","Tarsiger johnstoniae","Tarsiger johnstoniae","Tarsiger johnstoniae","栗背林鴝",NA,"NLC","A; B; D"," ","bird","419684","species",419684,419684,419684,"2a938a10-e730-444a-93c2-93c753907c31","species","Aves","鳥綱","Passeriformes","雀形目","Muscicapidae","鶲科","Tarsiger","林鴝屬","栗背林鴝","Y"," "," "
"148",147,"Phoenicurus fuliginosus","Rhyacornis fuliginosa","Rhyacornis fuliginosa affinis","Phoenicurus fuliginosus affinis","鉛色水鶇",NA,"NLC","A; B; D"," ","bird","425227","infraspecies",1025204,1025204,NA,"105e0a46-e9b2-4e6b-802b-df6b8504ec20","species","Aves","鳥綱","Passeriformes","雀形目","Muscicapidae","鶲科","Phoenicurus","紅尾鴝屬","鉛色水鶇"," "," "," "
"149",147," ","Rhyacornis fuliginosa","Rhyacornis fuliginosa affinis","Phoenicurus fuliginosus fuliginosus","鉛色水鶇",NA,"NLC","A; B; D"," ","bird","425227","infraspecies",NA,NA,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"150",148,"Dicaeum ignipectus","Dicaeum ignipectus","Dicaeum ignipectus formosum","Dicaeum ignipectus formosum","紅胸啄花",NA,"NLC","A; B; D"," ","bird","428600","infraspecies",1024133,1024133,NA,"4c617c5d-f9d2-4379-9c7d-cff75dd0ff42","species","Aves","鳥綱","Passeriformes","雀形目","Dicaeidae","啄花科","Dicaeum","啄花屬","紅胸啄花"," "," "," "
"151",149,"Gelochelidon nilotica","Gelochelidon nilotica","Gelochelidon nilotica","Gelochelidon nilotica","鷗嘴燕鷗",NA,"NLC","A; C"," ","bird","431225","species",1024405,1024405,NA,"97cb11c5-a7ef-4555-b254-d19b02b8acf2","species","Aves","鳥綱","Charadriiformes","?形目","Laridae","鷗科","Gelochelidon","噪鷗屬","鷗嘴燕鷗"," "," "," "
"152",150,"Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax carbo","鸕?",NA,"NLC","A; C; D"," ","bird","380193","species",1025181,1025181,NA,"28fbd168-7f4e-4841-b0a1-e4d5498adf0c","species","Aves","鳥綱","Suliformes","鰹鳥目","Phalacrocoracidae","鸕?科","Phalacrocorax","鸕?屬","鸕?"," "," "," "
"153",151,"Merops philippinus","Merops philippinus","Merops philippinus","Merops philippinus","栗喉蜂虎",NA,"NLC","A; C; D"," ","bird","419642","species",419642,419642,419642,"65581355-a257-4b69-9ca3-f780ef8df44b","species","Aves","鳥綱","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎屬","栗喉蜂虎"," "," "," "
"154",152,"Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","八哥",NA,"NLC","A; C; D"," ","bird","380445","species",1023443,1023443,NA,"56db805c-faf5-417c-8d04-ae8f442ca622","species","Aves","鳥綱","Passeriformes","雀形目","Sturnidae","椋鳥科","Acridotheres","八哥屬","八哥"," "," "," "
"155",153,"Accipiter virgatus","Accipiter virgatus","Accipiter virgatus fuscipectus","Accipiter virgatus fuscipectus","松雀鷹",NA,"NLC","A; D"," ","bird","380101","infraspecies",1023426,1023426,NA,"828253a2-1f00-401b-b5c9-f3a37791600a","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","松雀鷹"," "," "," "
"156",154,"Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus","灰面鵟鷹",NA,"NLC","A; D"," ","bird","380105","species",380105,380105,380105,"dff00aa5-f437-45cb-aefb-14ce0ecb9a75","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Butastur","鵟鷹屬","灰面鵟鷹"," "," ","Y"
"157",155,"Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","白腹秧雞",NA,"NLC","A; D"," ","bird","380296","species",1023524,1023524,NA,"335050b7-a31c-4cd0-89e0-660eb136fb2b","species","Aves","鳥綱","Gruiformes","鶴形目","Rallidae","秧雞科","Amaurornis","苦惡鳥屬","白腹秧雞"," "," "," "
"158",156,"Turnix suscitator","Turnix suscitator","Turnix suscitator rostratus","Turnix suscitator rostratus","棕三趾鶉",NA,"NLC","A; D"," ","bird","380509","infraspecies",1025728,1025728,NA,"7b53fdc1-fe44-42ef-be08-387d59624dd8","species","Aves","鳥綱","Charadriiformes","?形目","Turnicidae","三趾鶉科","Turnix","三趾鶉屬","棕三趾鶉"," "," "," "
"159",157,"Sterna hirundo","Sterna hirundo","Sterna hirundo","Sterna hirundo","燕鷗",NA,"NLC","A; D"," ","bird","380184","species",1025544,1025544,NA,"7c473bc9-8401-4050-97fd-9ca850a49f94","species","Aves","鳥綱","Charadriiformes","?形目","Laridae","鷗科","Sterna","燕鷗屬","燕鷗"," "," "," "
"160",158,"Columba pulchricollis","Columba pulchricollis","Columba pulchricollis","Columba pulchricollis","灰林鴿",NA,"NLC","A; D"," ","bird","380263","species",380263,380263,380263,"a8e2f31e-ee7b-46d0-9d9d-480ee39d4272","species","Aves","鳥綱","Columbiformes","鴿形目","Columbidae","鳩鴿科","Columba","鴿屬","灰林鴿"," "," "," "
"161",159,"Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis orii","Streptopelia orientalis orii","金背鳩",NA,"NLC","A; D"," ","bird","380267","infraspecies",1025560,1025560,NA,"f7146df3-b996-4583-bf7a-423c7971eb9f","species","Aves","鳥綱","Columbiformes","鴿形目","Columbidae","鳩鴿科","Streptopelia","斑鳩屬","金背鳩"," "," "," "
"162",160,"Streptopelia tranquebarica","Streptopelia tranquebarica","Streptopelia tranquebarica","Streptopelia tranquebarica","紅鳩",NA,"NLC","A; D"," ","bird","380268","species",1025561,1025561,NA,"91afba4c-fa53-4013-8a65-d95c85ff8056","species","Aves","鳥綱","Columbiformes","鴿形目","Columbidae","鳩鴿科","Streptopelia","斑鳩屬","紅鳩"," "," "," "
"163",161,"Streptopelia chinensis","Spilopelia chinensis","Spilopelia chinensis","Streptopelia chinensis chinensis","珠頸斑鳩",NA,"NLC","A; D"," ","bird","380266","species",1025559,1025559,NA,"c95ec69e-9bba-4a38-a648-5b2dc87a9fd1","species","Aves","鳥綱","Columbiformes","鴿形目","Columbidae","鳩鴿科","Streptopelia","斑鳩屬","珠頸斑鳩"," "," "," "
"164",162,"Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","翠翼鳩",NA,"NLC","A; D"," ","bird","380261","species",1023914,1023914,NA,"41908017-ab7c-4f18-a0e4-dd9d5b646d62","species","Aves","鳥綱","Columbiformes","鴿形目","Columbidae","鳩鴿科","Chalcophaps","翠翼鳩屬","翠翼鳩"," "," "," "
"165",163,"Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii","綠鳩",NA,"NLC","A; D"," ","bird","432249","species",1025694,1025694,NA,"11fd2b6a-3cc1-4de3-8c15-165ef2f79193","species","Aves","鳥綱","Columbiformes","鴿形目","Columbidae","鳩鴿科","Treron","綠鳩屬","綠鳩"," "," "," "
"166",164,"Centropus bengalensis","Centropus bengalensis","Centropus bengalensis","Centropus bengalensis","番鵑",NA,"NLC","A; D"," ","bird","380278","species",1023881,1023881,NA,"3fedadca-711f-44fe-9098-e660a11c2e94","species","Aves","鳥綱","Cuculiformes","鵑形目","Cuculidae","杜鵑科","Centropus","鴉鵑屬","番鵑"," "," "," "
"167",165,"Otus spilocephalus","Otus spilocephalus","Otus spilocephalus pithecops","Otus spilocephalus pithecops","黃嘴角鴞",NA,"NLC","A; D"," ","bird","380505","infraspecies",1025029,1025029,NA,"9add3bef-0871-4552-bd18-7f6a254ad07d","species","Aves","鳥綱","Strigiformes","鴞形目","Strigidae","鴟鴞科","Otus","角鴞屬","黃嘴角鴞"," "," "," "
"168",166,"Otus lettia","Otus lettia","Otus lettia glabripes","Otus lettia glabripes","領角鴞",NA,"NLC","A; D"," ","bird","419715","infraspecies",1025028,1025028,NA,"49860672-4a66-4331-9640-5fe4734651ab","species","Aves","鳥綱","Strigiformes","鴞形目","Strigidae","鴟鴞科","Otus","角鴞屬","領角鴞"," "," "," "
"169",167,"Ninox japonica","Ninox japonica","Ninox japonica","Ninox japonica","褐鷹鴞",NA,"NLC","A; D"," ","bird","425217","species",1024923,1024923,NA,"8f515304-fd5c-4841-b05f-8caab8268021","species","Aves","鳥綱","Strigiformes","鴞形目","Strigidae","鴟鴞科","Ninox","鷹鴞屬","褐鷹鴞"," "," "," "
"170",168,"Alcedo atthis","Alcedo atthis","Alcedo atthis","Alcedo atthis","翠鳥",NA,"NLC","A; D"," ","bird","380272","species",1023511,1023511,NA,"e5e6767d-cda7-48fb-b1e8-103170303403","species","Aves","鳥綱","Coraciiformes","佛法僧目","Alcedinidae","翠鳥科","Alcedo","翠鳥屬","翠鳥"," "," "," "
"171",169,"Psilopogon nuchalis","Psilopogon nuchalis","Psilopogon nuchalis","Psilopogon nuchalis","五色鳥",NA,"NLC","A; D"," ","bird","430649","species",430649,430649,430649,"82d0d230-f44b-4254-8eed-0a1f79896939","species","Aves","鳥綱","Piciformes","鴷形目","Megalaimidae","鬚鴷科","Psilopogon","擬啄木屬","五色鳥","Y"," "," "
"172",170,"Erpornis zantholeuca","Erpornis zantholeuca","Erpornis zantholeuca","Erpornis zantholeuca","綠畫眉",NA,"NLC","A; D"," ","bird","425240","species",1024280,1024280,NA,"336c26b9-c6a2-4510-bb06-c761316577d2","species","Aves","鳥綱","Passeriformes","雀形目","Vireonidae","綠鵙科","Erpornis","綠鳳?屬","綠畫眉"," "," "," "
"173",171,"Oriolus traillii","Oriolus traillii","Oriolus traillii ardens","Oriolus traillii ardens","朱鸝",NA,"NLC","A; D"," ","bird","380331","infraspecies",1025012,1025012,NA,"c6e1b358-4b60-4303-9e60-93d3076d76fb","species","Aves","鳥綱","Passeriformes","雀形目","Oriolidae","黃鸝科","Oriolus","黃鸝屬","朱鸝"," "," "," "
"174",172,"Dicrurus macrocercus","Dicrurus macrocercus","Dicrurus macrocercus harterti","Dicrurus macrocercus harterti","大卷尾",NA,"NLC","A; D"," ","bird","420271","infraspecies",1024143,1024143,NA,"5ea8cf62-7b62-4ca3-81e2-585b85687da8","species","Aves","鳥綱","Passeriformes","雀形目","Dicruridae","卷尾科","Dicrurus","卷尾屬","大卷尾"," "," "," "
"175",173,"Dicrurus aeneus","Dicrurus aeneus","Dicrurus aeneus braunianus","Dicrurus aeneus braunianus","小卷尾",NA,"NLC","A; D"," ","bird","380324","infraspecies",1024140,1024140,NA,"f1889c9f-b49e-46f6-8f76-c4106bafff3e","species","Aves","鳥綱","Passeriformes","雀形目","Dicruridae","卷尾科","Dicrurus","卷尾屬","小卷尾"," "," "," "
"176",174,"Hypothymis azurea","Hypothymis azurea","Hypothymis azurea oberholseri","Hypothymis azurea oberholseri","黑枕藍鶲",NA,"NLC","A; D"," ","bird","380328","infraspecies",1024539,1024539,NA,"b7068dec-b3e0-4043-a776-3f2b35e7efa5","species","Aves","鳥綱","Passeriformes","雀形目","Monarchidae","王鶲科","Hypothymis","?枕王鶲屬","黑枕藍鶲"," "," "," "
"177",175,"Urocissa caerulea","Urocissa caerulea","Urocissa caerulea","Urocissa caerulea","台灣藍鵲",NA,"NLC","A; D"," ","bird","380336","species",380336,380336,380336,"70840ef4-f982-4e5f-8691-2f7f961831e1","species","Aves","鳥綱","Passeriformes","雀形目","Corvidae","鴉科","Urocissa","藍鵲屬","臺灣藍鵲","Y"," ","Y"
"178",176,"Dendrocitta formosae","Dendrocitta formosae","Dendrocitta formosae formosae","Dendrocitta formosae formosae","樹鵲",NA,"NLC","A; D"," ","bird","380323","infraspecies",1024113,1024113,NA,"5ae0d2ed-bb18-43cb-8690-e2449c88ff29","species","Aves","鳥綱","Passeriformes","雀形目","Corvidae","鴉科","Dendrocitta","樹鵲屬","樹鵲"," "," "," "
"179",177,"Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes owstoni","Nucifraga caryocatactes owstoni","星鴉",NA,"NLC","A; D"," ","bird","380329","infraspecies",1024939,1024939,NA,"8546da56-2ea1-4487-9c38-12b58f4ca5e1","species","Aves","鳥綱","Passeriformes","雀形目","Corvidae","鴉科","Nucifraga","星鴉屬","星鴉"," "," "," "
"180",178,"Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","巨嘴鴉",NA,"NLC","A; D"," ","bird","380321","species",1024022,1024022,NA,"58da5c37-bbd7-4b35-a555-ff8d43831b46","species","Aves","鳥綱","Passeriformes","雀形目","Corvidae","鴉科","Corvus","鴉屬","巨嘴鴉"," "," "," "
"181",179,"Alauda gulgula","Alauda gulgula","Alauda gulgula","Alauda gulgula","小雲雀",NA,"NLC","A; D"," ","bird","380308","species",1023507,1023507,NA,"fccb856c-dc75-4e5f-9aaf-fa228ae855ad","species","Aves","鳥綱","Passeriformes","雀形目","Alaudidae","百靈科","Alauda","雲雀屬","小雲雀"," "," "," "
"182",180,"Hirundo rustica","Hirundo rustica","Hirundo rustica","Hirundo rustica","家燕",NA,"NLC","A; D"," ","bird","380362","species",1024501,1024501,NA,"fb1ab992-6465-47c7-838a-02a739097d6f","species","Aves","鳥綱","Passeriformes","雀形目","Hirundinidae","燕科","Hirundo","燕屬","家燕"," "," "," "
"183",181,"Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","洋燕",NA,"NLC","A; D"," ","bird","380364","species",1024502,1024502,NA,"3d088f56-0d6f-4d18-a4ef-2116849712a7","species","Aves","鳥綱","Passeriformes","雀形目","Hirundinidae","燕科","Hirundo","燕屬","洋燕"," "," "," "
"184",182,"Cecropis striolata","Hirundo daurica","Hirundo daurica","Cecropis striolata striolata","赤腰燕",NA,"NLC","A; D"," ","bird","404560","species",1023865,1023865,NA,"3acac136-4af6-413c-a67b-839daf8c80e6","species","Aves","鳥綱","Passeriformes","雀形目","Hirundinidae","燕科","Cecropis","金腰燕屬","赤腰燕"," "," "," "
"185",183,"Aegithalos concinnus","Aegithalos concinnus","Aegithalos concinnus","Aegithalos concinnus","紅頭山雀",NA,"NLC","A; D"," ","bird","380307","species",1023464,1023464,NA,"a676bcfe-195c-4983-a08a-d9259d197b9e","species","Aves","鳥綱","Passeriformes","雀形目","Aegithalidae","長尾山雀科","Aegithalos","長尾山雀屬","紅頭山雀"," "," "," "
"186",184,"Spizixos semitorques","Spizixos semitorques","Spizixos semitorques cinereicapillus","Spizixos semitorques cinereicapillus","白環鸚嘴鵯",NA,"NLC","A; D"," ","bird","380441","infraspecies",1025524,1025524,NA,"e34cec2f-4e6d-4cd8-8ad4-4a326e6fd453","species","Aves","鳥綱","Passeriformes","雀形目","Pycnonotidae","鵯科","Spizixos","鸚嘴鵯屬","白環鸚嘴鵯"," "," "," "
"187",185,"Pycnonotus sinensis","Pycnonotus sinensis","Pycnonotus sinensis formosae","Pycnonotus sinensis formosae","白頭翁",NA,"NLC","A; D"," ","bird","380439","infraspecies",1025371,1025371,NA,"d295851a-af43-4deb-888a-34c6be7ab51a","species","Aves","鳥綱","Passeriformes","雀形目","Pycnonotidae","鵯科","Pycnonotus","鵯屬","白頭翁"," "," "," "
"188",186,"Hypsipetes leucocephalus","Hypsipetes leucocephalus","Hypsipetes leucocephalus nigerrimus","Hypsipetes leucocephalus nigerrimus","紅嘴黑鵯",NA,"NLC","A; D"," ","bird","380437","infraspecies",1024542,1024542,NA,"04b143fe-f019-450e-9abf-f2bf33b1fcd1","species","Aves","鳥綱","Passeriformes","雀形目","Pycnonotidae","鵯科","Hypsipetes","短腳鵯屬","紅嘴黑鵯"," "," "," "
"189",187,"Pnoepyga formosana","Pnoepyga formosana","Pnoepyga formosana","Pnoepyga formosana","台灣鷦眉",NA,"NLC","A; D"," ","bird","419692","species",419692,419692,419692,"2adcab4f-c578-4159-8bd6-8ebdb9a09dfd","species","Aves","鳥綱","Passeriformes","雀形目","Pnoepygidae","鷦眉科","Pnoepyga","鷦眉屬","臺灣鷦眉","Y"," "," "
"190",188,"Abroscopus albogularis","Abroscopus albogularis","Abroscopus albogularis","Abroscopus albogularis","棕面鶯",NA,"NLC","A; D"," ","bird","380452","species",1023411,1023411,NA,"87ee4326-4385-4867-9023-30fd6fd73d09","species","Aves","鳥綱","Passeriformes","雀形目","Cettiidae","樹鶯科","Abroscopus","擬鶲鶯屬","棕面鶯"," "," "," "
"191",189,"Horornis fortipes","Cettia fortipes","Cettia fortipes robustipes","Horornis fortipes robustipes","小鶯",NA,"NLC","A; D"," ","bird","428582","infraspecies",1024524,1024524,NA,"4c5e5294-a2ce-43a1-b3c3-0ed9d05c7c8a","species","Aves","鳥綱","Passeriformes","雀形目","Cettiidae","樹鶯科","Horornis","山樹鶯屬","小鶯"," "," "," "
"192",189," ","Cettia fortipes","Cettia fortipes robustipes","Horornis fortipes davidianus","小鶯",NA,"NLC","A; D"," ","bird","428582","infraspecies",NA,NA,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"193",190,"Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","棕扇尾鶯",NA,"NLC","A; D"," ","bird","380313","species",1023970,1023970,NA,"87ea6161-4369-4527-9cf0-8a1ad9f22a66","species","Aves","鳥綱","Passeriformes","雀形目","Cisticolidae","扇尾鶯科","Cisticola","扇尾鶯屬","棕扇尾鶯"," "," "," "
"194",191,"Cisticola exilis","Cisticola exilis","Cisticola exilis volitans","Cisticola exilis volitans","黃頭扇尾鶯",NA,"NLC","A; D"," ","bird","380312","infraspecies",1023969,1023969,NA,"9645a437-add6-42a2-b214-dfcfdab059c7","species","Aves","鳥綱","Passeriformes","雀形目","Cisticolidae","扇尾鶯科","Cisticola","扇尾鶯屬","黃頭扇尾鶯"," "," "," "
"195",192,"Prinia flaviventris","Prinia flaviventris","Prinia flaviventris","Prinia flaviventris","灰頭鷦鶯",NA,"NLC","A; D"," ","bird","380315","species",1025301,1025301,NA,"67c95c1b-08e6-4d61-b736-2e951ca55bca","species","Aves","鳥綱","Passeriformes","雀形目","Cisticolidae","扇尾鶯科","Prinia","鷦鶯屬","灰頭鷦鶯"," "," "," "
"196",193,"Prinia inornata","Prinia inornata","Prinia inornata flavirostris","Prinia inornata flavirostris","褐頭鷦鶯",NA,"NLC","A; D"," ","bird","380316","infraspecies",1025302,1025302,NA,"5303e743-9323-4f04-b0e2-7f7ab0c011b5","species","Aves","鳥綱","Passeriformes","雀形目","Cisticolidae","扇尾鶯科","Prinia","鷦鶯屬","褐頭鷦鶯"," "," "," "
"197",194,"Yuhina brunneiceps","Yuhina brunneiceps","Yuhina brunneiceps","Yuhina brunneiceps","冠羽畫眉",NA,"NLC","A; D"," ","bird","380486","species",380486,380486,380486,"2dc77ddb-7020-4701-b24f-7c548ca059c4","species","Aves","鳥綱","Passeriformes","雀形目","Zosteropidae","繡眼科","Yuhina","鳳?屬","冠羽畫眉","Y"," "," "
"198",195,"Zosterops japonicus","Zosterops japonicus","Zosterops japonicus","Zosterops japonicus","綠繡眼",NA,"NLC","A; D"," ","bird","380488","species",1025825,1025825,NA,"8b5005a9-c1a9-4195-ad7c-4bf6215b8be2","species","Aves","鳥綱","Passeriformes","雀形目","Zosteropidae","繡眼科","Zosterops","繡眼屬","綠繡眼"," "," "," "
"199",196,"Cyanoderma ruficeps","Stachyris ruficeps","Stachyris ruficeps praecognita","Cyanoderma ruficeps praecognitum","山紅頭",NA,"NLC","A; D"," ","bird","428592","infraspecies",1024064,1024064,NA,"15b4ed51-c2a7-420b-8091-5fd6afe7152c","species","Aves","鳥綱","Passeriformes","雀形目","Timaliidae","畫眉科","Cyanoderma","藍膚?屬","山紅頭"," "," "," "
"200",197,"Pomatorhinus musicus","Pomatorhinus ruficollis","Pomatorhinus ruficollis","Pomatorhinus musicus","小彎嘴",NA,"NLC","A; D"," ","bird","419691","species",419691,419691,419691,"437ca8c4-d8cc-4885-8bd2-f24197c73f75","species","Aves","鳥綱","Passeriformes","雀形目","Timaliidae","畫眉科","Pomatorhinus","彎嘴?屬","小彎嘴","Y"," "," "
"201",198,"Megapomatorhinus erythrocnemis","Pomatorhinus erythrogenys","Pomatorhinus erythrogenys","Megapomatorhinus erythrocnemis","大彎嘴",NA,"NLC","A; D"," ","bird","428593","species",428593,428593,428593,"9512dbd6-83cb-414b-bcbf-319985c711ff","species","Aves","鳥綱","Passeriformes","雀形目","Timaliidae","畫眉科","Megapomatorhinus","大彎嘴?屬","大彎嘴","Y"," "," "
"202",199,"Schoeniparus brunneus","Alcippe brunnea","Alcippe brunnea brunneaus","Schoeniparus brunneus","頭烏線",NA,"NLC","A; D"," ","bird","428594","infraspecies",1025454,1025454,NA,"56698281-20ba-42bb-a7ba-0f1599fd75c7","species","Aves","鳥綱","Passeriformes","雀形目","Pellorneidae","雀眉科","Schoeniparus","烏線雀?屬","頭烏線"," "," "," "
"203",200,"Alcippe morrisonia","Alcippe morrisonia","Alcippe morrisonia morrisonia","Alcippe morrisonia morrisonia","繡眼畫眉",NA,"NLC","A; D"," ","bird","421140","infraspecies",421140,421140,421140,"f242d6c5-6197-4025-af81-78ea801ea36c","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Alcippe","雀?屬","繡眼畫眉","Y"," "," "
"204",201,"Ianthocincla poecilorhyncha","Garrulax poecilorhynchus","Garrulax poecilorhynchus","Ianthocincla poecilorhyncha","棕噪眉",NA,"NLC","A; D"," ","bird","428597","species",428597,428597,428597,"a2882575-aa64-40f6-8988-2bd95dafd495","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Ianthocincla","藍噪眉屬","棕噪眉","Y"," ","Y"
"205",202,"Heterophasia auricularis","Heterophasia auricularis","Heterophasia auricularis","Heterophasia auricularis","白耳畫眉",NA,"NLC","A; D"," ","bird","380467","species",380467,380467,380467,"84e5026b-061f-467f-8e4e-a38e7fb29026","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Heterophasia","奇?屬","白耳畫眉","Y"," "," "
"206",203,"Liocichla steerii","Liocichla steerii","Liocichla steerii","Liocichla steerii","黃胸藪眉",NA,"NLC","A; D"," ","bird","380468","species",380468,380468,380468,"b3ebff46-3b98-4252-aaaf-5bb401ab46cd","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Liocichla","藪?屬","黃胸藪眉","Y"," "," "
"207",204,"Actinodura morrisoniana","Actinodura morrisoniana","Actinodura morrisoniana","Actinodura morrisoniana","紋翼畫眉",NA,"NLC","A; D"," ","bird","380455","species",380455,380455,380455,"a28f4753-860e-4e48-a23c-7510f9e29bff","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Actinodura","斑翅?屬","紋翼畫眉","Y"," ","Y"
"208",205,"Myophonus insularis","Myophonus insularis","Myophonus insularis","Myophonus insularis","台灣紫嘯鶇",NA,"NLC","A; D"," ","bird","404613","species",404613,404613,404613,"6d62854a-b69a-4629-9cce-3221a2df4189","species","Aves","鳥綱","Passeriformes","雀形目","Muscicapidae","鶲科","Myophonus","嘯鶇屬","臺灣紫嘯鶇","Y"," "," "
"209",206,"Cinclidium leucurum","Cinclidium leucurum","Cinclidium leucurum montium","Cinclidium leucurum montium","白尾鴝",NA,"NLC","A; D"," ","bird","419688","infraspecies",1023958,1023958,NA,"632ade5b-3cef-48aa-b28b-0676ba7e6c84","species","Aves","鳥綱","Passeriformes","雀形目","Muscicapidae","鶲科","Cinclidium","地鴝屬","白尾鴝"," "," "," "
"210",207,"Dicaeum minullum","Dicaeum concolor","Dicaeum concolor uchidai","Dicaeum minullum uchidai","綠啄花",NA,"NLC","A; D"," ","bird","425199","infraspecies",1024134,1024134,NA,"eb5710dc-e15a-449e-a3eb-3375907b0573","species","Aves","鳥綱","Passeriformes","雀形目","Dicaeidae","啄花科","Dicaeum","啄花屬","綠啄花"," "," "," "
"211",208,"Pyrrhula nipalensis","Pyrrhula nipalensis","Pyrrhula nipalensis uchidae","Pyrrhula nipalensis uchidae","褐鷽",NA,"NLC","A; D"," ","bird","420223","infraspecies",1025380,1025380,NA,"74532249-a7c4-4f72-9444-5f14a6243010","species","Aves","鳥綱","Passeriformes","雀形目","Fringillidae","雀科","Pyrrhula","灰雀屬","褐鷽"," "," "," "
"212",209,"Anas penelope","Mareca penelope","Mareca penelope","Anas penelope","赤頸鴨",NA,"NLC","B"," ","bird","380064","species",380064,380064,380064,"f1be7b47-b980-4275-af26-a3d255915237","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","赤頸鴨"," "," "," "
"213",210,"Anas acuta","Anas acuta","Anas acuta","Anas acuta","尖尾鴨",NA,"NLC","B"," ","bird","380057","species",380057,380057,380057,"99a7a10b-343b-4300-9e7b-ba118a0d60ff","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","尖尾鴨"," "," "," "
