"","auto_id","Scientific.name.species","taxon_name_species","taxon_name_infraspecies","TBN學名_infraspecies","name_c.x","name_e","category","criteria","adjusting","taxon_group","name_code","taxon_rank","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name_c.y","is_endemic","is_alien","is_protected"
"16",16,"Duttaphrynus melanostictus","Duttaphrynus melanostictus","Duttaphrynus melanostictus","Duttaphrynus melanostictus","黑眶蟾蜍",NA,"NLC"," "," ","amphibian","416157","species",416157,416157,416157,"54754afb-b5c8-4849-8405-4e74f1c936cb","species","Amphibia","兩生綱","Anura","無尾目","Bufonidae","蟾蜍科","Duttaphrynus"," ","黑眶蟾蜍"," "," "," "
"17",17,"Fejervarya kawamurai","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya kawamurai","澤蛙",NA,"NLC"," "," ","amphibian","432833","species",380034,380034,380034,"9fd8a640-b420-4e46-8073-f6865124c318","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Fejervarya","陸蛙屬","澤蛙"," "," "," "
"18",18,"Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","虎皮蛙",NA,"NLC"," "," ","amphibian","416160","species",416160,416160,416160,"255b6444-4f05-4faf-9011-b35215176e0c","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Hoplobatrachus","虎紋蛙屬","虎皮蛙"," "," "," "
"19",19,"Limnonectes fujianensis","Limnonectes fujianensis","Limnonectes fujianensis","Limnonectes fujianensis","福建大頭蛙",NA,"NLC"," "," ","amphibian","380032","species",380032,380032,380032,"4e683882-5eee-4650-869c-daf7328a1f06","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Limnonectes","大頭蛙屬","福建大頭蛙"," "," "," "
"20",20,"Hyla chinensis","Hyla chinensis","Hyla chinensis","Hyla chinensis","中國樹蟾",NA,"NLC"," "," ","amphibian","380023","species",380023,380023,380023,"9863c62f-c8f6-43a5-a337-59c2c028d804","species","Amphibia","兩生綱","Anura","無尾目","Hylidae","樹蟾科","Hyla","雨蛙屬","中國樹蟾"," "," "," "
"21",21,"Microhyla fissipes","Microhyla fissipes","Microhyla fissipes","Microhyla fissipes","小雨蛙",NA,"NLC"," "," ","amphibian","416174","species",416174,416174,416174,"4d6b83ff-b8c9-43a5-af53-08016a57f045","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Microhyla","姬蛙屬","小雨蛙"," "," "," "
"22",22,"Microhyla heymonsi","Microhyla heymonsi","Microhyla heymonsi","Microhyla heymonsi","黑蒙西氏小雨蛙",NA,"NLC"," "," ","amphibian","380026","species",380026,380026,380026,"4439fe56-3d21-4c64-a2ef-bdb93008ea6e","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Microhyla","姬蛙屬","黑蒙西氏小雨蛙"," "," "," "
"23",23,"Babina adenopleura","Babina adenopleura","Babina adenopleura","Babina adenopleura","腹斑蛙",NA,"NLC"," "," ","amphibian","380029","species",380029,380029,380029,"0ca5399a-baf8-4432-9d3e-cb1bd7e777cb","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Babina","拇棘蛙屬","腹斑蛙"," "," "," "
"24",24,"Hylarana guentheri","Hylarana guentheri","Hylarana guentheri","Hylarana guentheri","貢德氏赤蛙",NA,"NLC"," "," ","amphibian","416165","species",416165,416165,416165,"c148e475-a3e7-4bfa-a7c3-31c2de13e5b8","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Hylarana","水蛙屬","貢德氏赤蛙"," "," "," "
"25",25,"Hylarana latouchii","Hylarana latouchii","Hylarana latouchii","Hylarana latouchii","拉都希氏赤蛙",NA,"NLC"," "," ","amphibian","416651","species",416651,416651,416651,"c201ef4b-c647-432e-bd82-0b60f45f0f4b","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Hylarana","水蛙屬","拉都希氏赤蛙"," "," "," "
