"","result.scientific_name","result.category","result.criteria"
"136","Craugastor fleischmanni","CR","D"
"137","Craugastor gulosus","CR","D"
"138","Pristimantis medemi","LC"," "
"139","Craugastor noblei","LC"," "
"140","Craugastor obesus","CR","D"
"141","Pristimantis taeniatus","LC"," "
"142","Diasporus vocator","LC"," "
"143","Oreobates saxatilis","LC"," "
"144","Leptodactylus fallax","CR","A2ace; C2a(i)"
"145","Leptodactylus labrosus","LC"," "
"146","Leptodactylus pascoensis","DD"," "
"147","Ctenophryne carpish","EN","B1ab(iii)"
"148","Oreobates pereger","EN","B1ab(iii)"
"149","Psychrophrynella usurpator","NT"," "
"150","Telmatobius brevipes","VU","B1ab(iii)"
"151","Telmatobius brevirostris","EN","B1ab(iii,v)"
"152","Telmatobius carrillae","VU","B1ab(iii,v)"
"153","Telmatobius degener","DD"," "
"154","Telmatobius hockingi","DD"," "
"155","Telmatobius ignavus","EN","B1ab(iii,v)"
"156","Telmatobius intermedius","EN","B1ab(iii,v)"
"157","Telmatobius jelskii","NT"," "
"158","Telmatobius latirostris","EN","B1ab(iii,v)"
"159","Telmatobius marmoratus","VU","A3cde"
"160","Telmatobius mayoloi","EN","B1ab(iii,v)"
"161","Telmatobius necopinus","DD"," "
"162","Telmatobius thompsoni","DD"," "
"163","Telmatobius truebae","VU","B1ab(iii,v)"
"164","Megophrys intermedia","LC"," "
"165","Leptobrachium banae","LC"," "
"166","Anodonthyla boulengeri","NT"," "
"167","Anodonthyla nigrigularis","EN","B1ab(iii)"
"168","Anodonthyla rouxae","EN","B1ab(iii)"
"169","Breviceps acutirostris","LC"," "
"170","Breviceps adspersus","LC"," "
"171","Breviceps fuscus","LC"," "
"172","Breviceps montanus","LC"," "
"173","Breviceps mossambicus","LC"," "
"174","Breviceps namaquensis","LC"," "
"175","Breviceps rosei","LC"," "
"176","Breviceps verrucosus","LC"," "
"177","Callulina kreffti","LC"," "
"178","Phrynomantis annectens","LC"," "
"179","Phrynomantis bifasciatus","LC"," "
"180","Probreviceps macrodactylus","EN","B1ab(iii)"
"181","Chiasmocleis antenori","LC"," "
"182","Chiasmocleis carvalhoi","LC"," "
"183","Anhydrophryne hewitti","LC"," "
"184","Cacosternum boettgeri","LC"," "
"185","Cacosternum namaquense","LC"," "
"186","Cacosternum nanum","LC"," "
"187","Cacosternum parvum","LC"," "
"188","Phrynobatrachus acridoides","LC"," "
"189","Phrynobatrachus elberti","DD"," "
"190","Phrynobatrachus mababiensis","LC"," "
"191","Phrynobatrachus nanus","DD"," "
"192","Phrynobatrachus natalensis","LC"," "
"193","Phrynobatrachus pygmaeus","DD"," "
"194","Phrynobatrachus uzungwensis","NT"," "
"195","Xenopus boumbaensis","NT"," "
"196","Xenopus longipes","CR","B1ab(iii,v)+2ab(iii,v)"
"197","Xenopus petersii","LC"," "
"198","Amietia angolensis","LC"," "
"199","Hildebrandtia ornata","LC"," "
"200","Limnonectes microdiscus","LC"," "
"201","Ptychadena mossambica","LC"," "
"202","Ptychadena oxyrhynchus","LC"," "
"203","Ptychadena porosissima","LC"," "
"204","Ptychadena taenioscelis","LC"," "
"205","Ptychadena tournieri","LC"," "
"206","Ptychadena uzungwensis","LC"," "
"207","Pyxicephalus adspersus","LC"," "
"208","Hylarana attigua","LC"," "
"209","Lithobates vibicarius","VU","D1"
"210","Strongylopus bonaespei","LC"," "
"211","Strongylopus fasciatus","LC"," "
"212","Strongylopus grayii","LC"," "
"213","Tomopterna cryptotis","LC"," "
"214","Tomopterna delalandii","LC"," "
"215","Tomopterna krugerensis","LC"," "
"216","Tomopterna marmorata","LC"," "
"217","Tomopterna natalensis","LC"," "
"218","Tomopterna tandyi","LC"," "
"219","Chiromantis xerampelina","LC"," "
"220","Raorchestes travancoricus","EN","B2ab(iii)"
"221","Rhacophorus annamensis","LC"," "
"222","Ambystoma flavipiperatum","EN","B1ab(iii)+2ab(iii)"
"223","Bolitoglossa compacta","EN","B1ab(iii)"
"224","Bolitoglossa digitigrada","DD"," "
"225","Cryptotriton veraepacis","CR","B1ab(iii)"
"226","Arthroleptis adelphus","LC"," "
"227","Afrixalus aureus","LC"," "
"228","Pristimantis aniptopalmatus","LC"," "
"229","Telmatobius timens","CR","A2ace"
"230","Cophyla berara","EN","B1ab(iii)"
"231","Holoaden bradei","CR","B2ab(iii,v)"
"232","Hydromantes brunus","VU","D2"
"233","Hydromantes shastae","VU","D2"
"234","Hyla arborea","LC"," "
"235","Bokermannohyla izecksohni","CR","B1ab(iii,v)+2ab(iii,v)"
"236","Bokermannohyla langei","DD"," "
"237","Hypsiboas secedens","DD"," "
"238","Hypsiboas marianitae","LC"," "
"239","Hylodes sazimai","DD"," "
"240","Hynobius abei","CR","B2ab(ii,iii,iv)"
"241","Hynobius dunni","EN","B2ab(iii)"
"242","Hynobius hidamontanus","EN","B1ab(iii)"
"243","Hynobius okiensis","CR","B2ab(iii)"
"244","Hynobius stejnegeri","VU","B1ab(iii)"
"245","Hynobius takedai","EN","B1ab(iii)"
"246","Stereocyclops histrio","DD"," "
"247","Ambystoma mexicanum","CR","B2ab(iii,v)"
"248","Ambystoma californiense","VU","A2c"
"249","Ambystoma cingulatum","VU","A2c"
"250","Lechriodus fletcheri","LC"," "
"251","Leptodactylus marambaiae","LC"," "
"252","Litoria aurea","VU","A2ace"
