"","result.scientific_name","result.category","result.criteria"
"2964","Chiasmocleis mehelyi","DD"," "
"2965","Choerophryne rostellifer","LC"," "
"2966","Cophixalus aenigma","VU","D2"
"2967","Cophixalus aimbensis","DD"," "
"2968","Cophixalus ateles","DD"," "
"2969","Cophixalus balbus","DD"," "
"2970","Cophixalus bewaniensis","DD"," "
"2971","Cophixalus biroi","LC"," "
"2972","Cophixalus cheesmanae","LC"," "
"2973","Cophixalus cryptotympanum","DD"," "
"2974","Cophixalus daymani","DD"," "
"2975","Liophryne allisoni","DD"," "
"2976","Copiula tyleri","LC"," "
"2977","Liophryne dentata","LC"," "
"2978","Ctenophryne geayi","LC"," "
"2979","Liophryne rubra","DD"," "
"2980","Ctenophryne minor","DD"," "
"2981","Liophryne rhododactyla","DD"," "
"2982","Dasypops schirchi","VU","B1ab(iii)"
"2983","Liophryne schlaginhaufeni","LC"," "
"2984","Dermatonotus muelleri","LC"," "
"2985","Liophryne similis","DD"," "
"2986","Elachistocleis bicolor","LC"," "
"2987","Microhyla chakrapanii","DD"," "
"2988","Elachistocleis erythrogaster","NT"," "
"2989","Micryletta erythropoda","DD"," "
"2990","Microhyla fusca","DD"," "
"2991","Elachistocleis piauiensis","LC"," "
"2992","Microhyla heymonsi","LC"," "
"2993","Elachistocleis skotogaster","DD"," "
"2994","Microhyla karunaratnei","CR","B1ab(iii)"
"2995","Microhyla mixtura","LC"," "
"2996","Gastrophryne elegans","LC"," "
"2997","Microhyla ornata","LC"," "
"2998","Gastrophryne olivacea","LC"," "
"2999","Hypopachus pictiventris","LC"," "
"3000","Hypopachus ustus","LC"," "
"3001","Gastrophrynoides borneensis","VU","B1ab(iii)"
"3002","Genyophryne thomsoni","LC"," "
"3003","Glyphoglossus molossus","NT"," "
"3004","Microhyla rubra","LC"," "
"3005","Hamptophryne boliviana","LC"," "
"3006","Microhyla sholigari","EN","B1ab(iii)"
"3007","Microhyla superciliaris","DD"," "
"3008","Microhyla zeylanica","EN","B1ab(iii)+2ab(iii)"
"3009","Hylophorbus nigrinus","DD"," "
"3010","Hylophorbus picoides","DD"," "
"3011","Micryletta steinegeri","EN","B1ab(iii)"
"3012","Hylophorbus richardsi","DD"," "
"3013","Myersiella microps","LC"," "
"3014","Hylophorbus rufescens","LC"," "
"3015","Ctenophryne aequatorialis","LC"," "
"3016","Hylophorbus sextus","DD"," "
"3017","Hylophorbus tetraphonus","DD"," "
"3018","Hylophorbus wondiwoi","DD"," "
"3019","Kalophrynus eok","DD"," "
"3020","Kalophrynus interlineatus","LC"," "
"3021","Kalophrynus menglienicus","DD"," "
"3022","Kalophrynus orangensis","DD"," "
"3023","Kalophrynus pleurostigma","LC"," "
"3024","Kalophrynus robinsoni","DD"," "
"3025","Kaloula baleata","LC"," "
"3026","Kaloula borealis","LC"," "
"3027","Kaloula kokacii","NT"," "
"3028","Kaloula mediolineata","NT"," "
"3029","Kaloula rugifera","LC"," "
"3030","Kaloula verrucosa","LC"," "
"3031","Hylophorbus infulata","DD"," "
"3032","Mantophryne lateralis","LC"," "
"3033","Mantophryne louisiadensis","DD"," "
"3034","Metaphrynella pollicaris","LC"," "
"3035","Microhyla annectens","DD"," "
"3036","Ctenophryne aterrima","LC"," "
"3037","Oreophryne albopunctata","DD"," "
"3038","Oreophryne anthonyi","LC"," "
"3039","Oreophryne asplenicola","DD"," "
"3040","Oreophryne atrigularis","DD"," "
"3041","Oreophryne biroi","LC"," "
"3042","Oreophryne brachypus","LC"," "
"3043","Oreophryne brevicrus","DD"," "
"3044","Oreophryne clamata","DD"," "
"3045","Oreophryne crucifer","DD"," "
"3046","Oreophryne flava","DD"," "
"3047","Oreophryne frontifasciata","DD"," "
"3048","Oreophryne geislerorum","LC"," "
"3049","Oreophryne hypsiops","LC"," "
"3050","Oreophryne idenburgensis","DD"," "
"3051","Oreophryne inornata","LC"," "
"3052","Oreophryne insulana","DD"," "
"3053","Oreophryne jeffersoniana","NT"," "
"3054","Oreophryne kampeni","DD"," "
"3055","Oreophryne kapisa","LC"," "
"3056","Oreophryne loriae","DD"," "
"3057","Oreophryne minuta","DD"," "
"3058","Oreophryne moluccensis","DD"," "
"3059","Oreophryne notata","DD"," "
"3060","Oreophryne parkeri","DD"," "
"3061","Elachistocleis pearsei","LC"," "
"3062","Oreophryne pseudasplenicola","DD"," "
"3063","Oreophryne rookmaakeri","DD"," "
"3064","Oreophryne sibilans","DD"," "
"3065","Oreophryne unicolor","DD"," "
"3066","Oreophryne waira","DD"," "
"3067","Oreophryne wapoga","DD"," "
"3068","Oreophryne wolterstorffi","DD"," "
"3069","Oreophryne zimmeri","DD"," "
"3070","Otophryne pyburni","LC"," "
"3071","Otophryne robusta","LC"," "
"3072","Otophryne steyermarki","LC"," "
"3073","Oxydactyla brevicrus","DD"," "
"3074","Oxydactyla coggeri","DD"," "
"3075","Oxydactyla crassa","DD"," "
"3076","Oxydactyla stenodactyla","LC"," "
"3077","Mantophryne menziesi","DD"," "
"3078","Phrynella pulchra","LC"," "
"3079","Plethodontohyla angulifera","DD"," "
"3080","Pelodytes punctatus","LC"," "
"3081","Scaphiophryne obscura","DD"," "
"3082","Scaphiophryne verrucosa","DD"," "
"3083","Sphenophryne cornuta","LC"," "
"3084","Stereocyclops incrassatus","LC"," "
"3085","Stereocyclops parkeri","LC"," "
"3086","Nothophryne broadleyi","EN","B1ab(iii)"
"3087","Petropedetes johnstoni","NT"," "
"3088","Odontobatrachus natator","NT"," "
"3089","Petropedetes newtoni","LC"," "
"3090","Synapturanus mirandaribeiroi","LC"," "
"3091","Petropedetes palmipes","EN","B1ab(iii)"
"3092","Petropedetes parkeri","LC"," "
"3093","Synapturanus salseri","LC"," "
"3094","Petropedetes perreti","EN","B1ab(iii)"
"3095","Chiasmocleis tridactyla","LC"," "
"3096","Uperodon globulosus","LC"," "
"3097","Xenorhina anorbis","DD"," "
"3098","Phrynobatrachus alleni","NT"," "
"3099","Xenorhina arfakiana","DD"," "
"3100","Phrynobatrachus annulatus","EN","B2ab(iii)"
"3101","Xenorhina bidens","LC"," "
"3102","Xenorhina fuscigula","LC"," "
"3103","Xenorhina gigantea","DD"," "
"3104","Xenorhina huon","DD"," "
"3105","Xenorhina macrops","LC"," "
"3106","Xenorhina mehelyi","LC"," "
"3107","Xenorhina multisica","DD"," "
"3108","Xenorhina obesa","LC"," "
"3109","Xenorhina ocellata","DD"," "
"3110","Xenorhina ophiodon","DD"," "
"3111","Xenorhina rostrata","LC"," "
"3112","Xenorhina scheepstrai","DD"," "
"3113","Xenorhina schiefenhoeveli","DD"," "
"3114","Xenorhina subcrocea","DD"," "
"3115","Xenorhina tumulus","DD"," "
"3116","Xenorhina zweifeli","DD"," "
"3117","Xenorhina adisca","DD"," "
"3118","Xenorhina arboricola","DD"," "
"3119","Xenorhina bouwensi","LC"," "
"3120","Xenorhina eiponis","DD"," "
"3121","Xenorhina minima","DD"," "
"3122","Xenorhina oxycephala","LC"," "
"3123","Xenorhina parkerorum","LC"," "
"3124","Xenorhina similis","LC"," "
"3125","Pseudophryne raveni","LC"," "
"3126","Nasikabatrachus sahyadrensis","EN","B1ab(iii)"
"3127","Pelobates syriacus","LC"," "
"3128","Pelobates varaldii","EN","B2ab(iii)"
"3129","Pelodytes ibericus","LC"," "
"3130","Cacosternum leleupi","DD"," "
"3131","Pipa carvalhoi","LC"," "
"3132","Xenopus laevis","LC"," "
"3133","Phrynobatrachus ghanensis","EN","B1ab(iii)"
"3134","Phrynobatrachus guineensis","NT"," "
"3135","Phrynobatrachus liberiensis","NT"," "
"3136","Phrynobatrachus manengoubensis","DD"," "
"3137","Phrynobatrachus phyllophilus","NT"," "
"3138","Phrynobatrachus steindachneri","VU","B1ab(iii)"
"3139","Phrynobatrachus villiersi","VU","B2ab(iii)"
"3140","Pipa myersi","EN","B1ab(iii)"
"3141","Pipa parva","LC"," "
"3142","Pipa snethlageae","LC"," "
"3143","Cornufer guppyi","LC"," "
"3144","Cornufer malukuna","DD"," "
"3145","Cornufer vogti","LC"," "
"3146","Cornufer opisthodon","DD"," "
"3147","Amolops bellulus","DD"," "
"3148","Amolops chakrataensis","DD"," "
"3149","Odorrana chapaensis","NT"," "
"3150","Amolops chunganensis","LC"," "
"3151","Amolops formosus","LC"," "
"3152","Amolops gerbillus","LC"," "
"3153","Amolops granulosus","LC"," "
"3154","Amolops hainanensis","EN","B2ab(iii,v)"
"3155","Fejervarya moodiei","DD"," "
"3156","Amolops hongkongensis","EN","B1ab(iii)"
"3157","Fejervarya multistriata","DD"," "
"3158","Amolops jaunsari","DD"," "
"3159","Amolops jinjiangensis","VU","B1ab(iii)+2ab(iii)"
"3160","Amolops kaulbacki","DD"," "
"3161","Amolops liangshanensis","DD"," "
"3162","Amolops lifanensis","NT"," "
"3163","Fejervarya orissaensis","LC"," "
"3164","Amolops loloensis","VU","A2ac"
"3165","Amolops longimanus","DD"," "
"3166","Fejervarya pulla","DD"," "
"3167","Amolops mantzorum","LC"," "
"3168","Fejervarya raja","DD"," "
"3169","Amolops marmoratus","LC"," "
"3170","Amolops monticola","LC"," "
"3171","Amolops nepalicus","DD"," "
"3172","Amolops ricketti","LC"," "
"3173","Odorrana tormota","VU","B1ab(iii)+2ab(iii)"
"3174","Amolops torrentis","VU","B1ab(iii)+2ab(iii)"
"3175","Fejervarya verruculosa","LC"," "
"3176","Amolops tuberodepressus","VU","D2"
"3177","Amolops viridimaculatus","NT"," "
"3178","Amolops wuyiensis","LC"," "
"3179","Hoplobatrachus crassus","LC"," "
"3180","Cornufer elegans","LC"," "
"3181","Cornufer gigas","DD"," "
"3182","Cornufer mediodiscus","LC"," "
"3183","Cornufer minutus","LC"," "
"3184","Cornufer montanus","LC"," "
"3185","Cornufer trossulus","LC"," "
"3186","Cornufer vertebralis","LC"," "
"3187","Cornufer wolfi","LC"," "
"3188","Cornufer guentheri","LC"," "
"3189","Nanorana quadranus","NT"," "
"3190","Ombrana sikimensis","LC"," "
"3191","Nanorana unculuanus","EN","A2ad"
"3192","Conraua alleni","VU","B2ab(iii)"
"3193","Conraua derooi","CR","B2ab(iii)"
"3194","Conraua robusta","VU","B1ab(iii)+2ab(iii)"
"3195","Cornufer bufoniformis","LC"," "
"3196","Euphlyctis ehrenbergii","LC"," "
"3197","Euphlyctis ghoshi","DD"," "
"3198","Euphlyctis hexadactylus","LC"," "
"3199","Fejervarya andamanensis","LC"," "
"3200","Fejervarya cancrivora","LC"," "
"3201","Limnonectes microtympanum","EN","B1ab(iii)+2ab(iii)"
"3202","Hoplobatrachus rugulosus","LC"," "
"3203","Limnonectes modestus","LC"," "
"3204","Hoplobatrachus tigerinus","LC"," "
"3205","Huia cavitympanum","LC"," "
"3206","Meristogenys macrophthalmus","DD"," "
"3207","Odorrana nasica","LC"," "
"3208","Meristogenys phaeomerus","NT"," "
"3209","Indirana beddomii","LC"," "
"3210","Meristogenys poecilus","NT"," "
"3211","Indirana brachytarsus","EN","B1ab(iii)"
"3212","Indirana diplosticta","EN","B1ab(iii)"
"3213","Micrixalus elegans","DD"," "
"3214","Micrixalus fuscus","NT"," "
"3215","Indirana gundia","CR","B1ab(iii)"
"3216","Micrixalus gadgili","EN","B1ab(iii)"
"3217","Indirana leithii","VU","B1ab(iii)"
"3218","Indirana leptodactyla","EN","B1ab(iii)"
"3219","Micrixalus kottigeharensis","CR","B2ab(iii)"
"3220","Indirana longicrus","DD"," "
"3221","Micrixalus narainensis","DD"," "
"3222","Indirana phrynoderma","CR","B1ab(iii)"
"3223","Micrixalus nudis","VU","B1ab(iii)"
"3224","Indirana semipalmata","LC"," "
"3225","Micrixalus phyllophilus","VU","B1ab(iii)"
"3226","Indirana tenuilingua","DD"," "
"3227","Liurana alpina","DD"," "
"3228","Micrixalus silvaticus","DD"," "
"3229","Alcalus baluensis","LC"," "
"3230","Micrixalus swamianus","DD"," "
"3231","Limnonectes liui","VU","B2ab(iii)"
"3232","Micrixalus thampii","DD"," "
"3233","Minervarya sahyadris","EN","B1ab(iii)"
"3234","Liurana medogensis","DD"," "
"3235","Nannophrys ceylonensis","VU","B1ab(iii)+2ab(iii)"
"3236","Ingerana reticulata","DD"," "
"3237","Nannophrys guentheri","EX"," "
"3238","Liurana xizangensis","DD"," "
"3239","Nannophrys marmorata","CR","B1ab(iii)"
"3240","Lankanectes corrugatus","LC"," "
"3241","Nanorana parkeri","LC"," "
"3242","Nanorana pleskei","NT"," "
"3243","Limnonectes acanthi","VU","B1ab(iii)"
"3244","Nanorana ventripunctata","LC"," "
"3245","Nyctibatrachus aliciae","EN","B1ab(iii)"
"3246","Nyctibatrachus beddomii","EN","B1ab(iii)"
"3247","Limnonectes blythii","NT"," "
"3248","Nyctibatrachus deccanensis","VU","B1ab(iii)"
"3249","Nyctibatrachus humayuni","VU","B1ab(iii)"
"3250","Nyctibatrachus karnatakaensis","EN","B1ab(iii)+2ab(iii)"
"3251","Limnonectes fragilis","VU","B1ab(iii)"
"3252","Limnonectes fujianensis","LC"," "
"3253","Limnonectes grunniens","LC"," "
"3254","Limnonectes heinrichi","VU","B1ab(iii)"
"3255","Limnonectes khammonensis","DD"," "
"3256","Limnonectes khasianus","DD"," "
"3257","Limnonectes kuhlii","LC"," "
"3258","Limnonectes magnus","NT"," "
"3259","Limnonectes malesianus","NT"," "
"3260","Limnonectes mawlyndipi","DD"," "
"3261","Odorrana mawphlangensis","DD"," "
"3262","Limnonectes paramacrodon","NT"," "
"3263","Limnonectes tweediei","NT"," "
"3264","Meristogenys jerboa","VU","D2"
"3265","Nyctibatrachus kempholeyensis","DD"," "
"3266","Nyctibatrachus major","VU","B1ab(iii)"
"3267","Cornufer macrops","DD"," "
"3268","Nyctibatrachus minor","EN","B1ab(iii)"
"3269","Nyctibatrachus sanctipalustris","EN","B1ab(iii)"
"3270","Cornufer macrosceles","DD"," "
"3271","Nyctibatrachus sylvaticus","DD"," "
"3272","Nyctibatrachus vasanthi","EN","B1ab(iii)"
"3273","Cornufer punctatus","LC"," "
"3274","Occidozyga baluensis","NT"," "
"3275","Platymantis rhipiphalcus","DD"," "
"3276","Ingerana borealis","VU","B2ab(iii)"
"3277","Cornufer schmidti","LC"," "
"3278","Occidozyga floresiana","DD"," "
"3279","Cornufer solomonis","LC"," "
"3280","Cornufer vitiensis","NT"," "
"3281","Cornufer weberi","LC"," "
"3282","Occidozyga martensii","LC"," "
"3283","Rana multidenticulata","LC"," "
"3284","Rana sauteri","EN","B1ab(iii)"
"3285","Pterorana khare","VU","B1ab(iii)"
"3286","Nanorana annandalii","NT"," "
"3287","Nanorana arnoldi","NT"," "
"3288","Nanorana blanfordii","LC"," "
"3289","Quasipaa boulengeri","EN","A2acd"
"3290","Nanorana conaensis","DD"," "
"3291","Nanorana ercepeae","NT"," "
"3292","Quasipaa exilispinosa","VU","A2acd"
"3293","Nanorana feae","DD"," "
"3294","Allopaa hazarensis","LC"," "
"3295","Quasipaa jiulongensis","VU","B2ab(iii,v)"
"3296","Nanorana liebigii","LC"," "
"3297","Nanorana liui","VU","B1ab(iii,v)+2ab(iii,v)"
"3298","Nanorana maculosa","EN","B2ab(v)"
"3299","Nanorana medogensis","DD"," "
"3300","Nanorana minica","VU","B2ab(iii)"
"3301","Nanorana mokokchungensis","DD"," "
"3302","Nanorana polunini","LC"," "
"3303","Nanorana rarica","DD"," "
"3304","Quasipaa robertingeri","EN","B1ab(v)"
"3305","Nanorana rostandi","VU","B2ab(iii)"
"3306","Quasipaa shini","VU","A2abc"
"3307","Quasipaa spinosa","VU","A2abc"
"3308","Chrysopaa sternosignata","LC"," "
"3309","Nanorana taihangnica","DD"," "
"3310","Quasipaa verrucospinosa","NT"," "
"3311","Nanorana vicina","LC"," "
"3312","Quasipaa yei","DD"," "
"3313","Nanorana yunnanensis","EN","A2acd"
"3314","Palmatorappia solomonis","VU","B1ab(iii)"
"3315","Cornufer acrochordus","DD"," "
"3316","Cornufer aculeodactylus","LC"," "
"3317","Cornufer akarithymus","VU","B1ab(iii)"
"3318","Cornufer batantae","DD"," "
"3319","Cornufer bimaculatus","DD"," "
"3320","Cornufer boulengeri","LC"," "
"3321","Cornufer browni","LC"," "
"3322","Cornufer cheesmanae","DD"," "
"3323","Cornufer cryptotis","LC"," "
"3324","Cornufer gilliardi","DD"," "
"3325","Platymantis guppyi","LC"," "
"3326","Cornufer mimicus","DD"," "
"3327","Cornufer myersi","DD"," "
"3328","Cornufer neckeri","LC"," "
"3329","Cornufer nexipus","DD"," "
"3330","Cornufer papuensis","LC"," "
"3331","Cornufer parkeri","VU","D2"
"3332","Platymantis pelewensis","LC"," "
"3333","Lithobates capito","NT"," "
"3334","Pelophylax cerigensis","CR","B1ab(iii)+2ab(iii)"
"3335","Pyxicephalus cordofanus","DD"," "
"3336","Pelophylax cretensis","EN","B1ab(iii)+2ab(iii)"
"3337","Clinotarsus curtipes","NT"," "
"3338","Rana dalmatina","LC"," "
"3339","Babina daunchina","LC"," "
"3340","Ptychadena newtoni","EN","B1ab(iii)+2ab(iii)"
"3341","Lithobates dunni","EN","A2ae; B1ab(iii,v)+2ab(iii,v)"
"3342","Rana dybowskii","LC"," "
"3343","Glandirana emeljanovi","LC"," "
"3344","Pelophylax epeiroticus","VU","B1ab(iii)"
"3345","Ptychadena retropunctata","DD"," "
"3346","Sanguirana everetti","DD"," "
"3347","Odorrana exiliversabilis","LC"," "
"3348","Lithobates forreri","LC"," "
"3349","Ptychadena superciliaris","NT"," "
"3350","Babina adenopleura","LC"," "
"3351","Clinotarsus alticola","LC"," "
"3352","Odorrana amamiensis","EN","B1ab(iii)"
"3353","Rana amurensis","LC"," "
"3354","Odorrana andersonii","LC"," "
"3355","Odorrana anlungensis","DD"," "
"3356","Lithobates areolatus","NT"," "
"3357","Rana asiatica","LC"," "
"3358","Pelophylax bergeri","LC"," "
"3359","Lithobates berlandieri","LC"," "
"3360","Rana chaochiaoensis","LC"," "
"3361","Ingerana charlesdarwini","CR","B1ab(iii)+2ab(iii)"
"3362","Rana chensinensis","LC"," "
"3363","Rana chevronta","CR","B2ab(iii)"
"3364","Lithobates chichicuahutla","CR","B1ab(iii)+2ab(iii)"
"3365","Lithobates chiricahuensis","VU","A2ace"
"3366","Pelophylax chosenicus","VU","B2ab(iii,iv)"
"3367","Odorrana margaretae","LC"," "
"3368","Pelophylax fukienensis","LC"," "
"3369","Hylarana margariana","DD"," "
"3370","Hylarana garoensis","LC"," "
"3371","Lithobates megapoda","VU","B2ab(i,ii,iii)"
"3372","Lithobates miadis","VU","D2"
"3373","Rana graeca","LC"," "
"3374","Odorrana nasuta","VU","B1ab(iii)"
"3375","Lithobates neovolcanicus","NT"," "
"3376","Odorrana grahami","NT"," "
"3377","Odorrana graminea","DD"," "
"3378","Pelophylax nigromaculatus","NT"," "
"3379","Lithobates grylio","LC"," "
"3380","Humerana oatesii","DD"," "
"3381","Lithobates okaloosae","VU","D2"
"3382","Odorrana hainanensis","VU","B1ab(iii)"
"3383","Babina okinavana","EN","B1ab(iii,iv)+2ab(iii,iv)"
"3384","Rana omeimontis","LC"," "
"3385","Odorrana hejiangensis","DD"," "
"3386","Lithobates omiltemanus","CR","B2ab(iii,v)"
"3387","Rana ornativentris","LC"," "
"3388","Lithobates palmipes","LC"," "
"3389","Odorrana hosii","LC"," "
"3390","Rana huanrensis","LC"," "
"3391","Pelophylax perezi","LC"," "
"3392","Pelophylax hubeiensis","LC"," "
"3393","Lithobates pipiens","LC"," "
"3394","Rana pirica","LC"," "
"3395","Rana italica","LC"," "
"3396","Pelophylax plancyi","LC"," "
"3397","Rana japonica","LC"," "
"3398","Babina pleuraden","LC"," "
"3399","Pelophylax porosus","LC"," "
"3400","Odorrana jingdongensis","VU","A2acd"
"3401","Lithobates johni","EN","B1ab(iii)+2ab(iii)"
"3402","Rana johnsi","LC"," "
"3403","Lithobates juliani","NT"," "
"3404","Odorrana junlianensis","VU","B1ab(iii)"
"3405","Odorrana kuangwuensis","EN","B1ab(iii)"
"3406","Rana kukunoris","LC"," "
"3407","Rana kunyuensis","DD"," "
"3408","Pelophylax kurtmuelleri","LC"," "
"3409","Hylarana latouchii","LC"," "
"3410","Odorrana leporipes","DD"," "
"3411","Babina lini","DD"," "
"3412","Odorrana livida","DD"," "
"3413","Rana longicrus","VU","B1ab(iii,v)"
"3414","Odorrana lungshengensis","NT"," "
"3415","Rana macrocnemis","LC"," "
"3416","Hylarana macrodactyla","LC"," "
"3417","Lithobates macroglossa","VU","B1ab(iii)"
"3418","Lithobates maculatus","LC"," "
"3419","Lithobates magnaocularis","LC"," "
"3420","Glandirana minima","CR","B2ab(iii,iv,v)"
"3421","Lithobates montezumae","LC"," "
"3422","Odorrana narina","EN","B1ab(iii)"
"3423","Lithobates psilonota","DD"," "
"3424","Lithobates pueblae","CR","B1ab(iii,v)+2ab(iii,v)"
"3425","Lithobates pustulosus","LC"," "
"3426","Pelophylax ridibundus","LC"," "
"3427","Glandirana rugosa","LC"," "
"3428","Pelophylax saharicus","LC"," "
"3429","Rana sakuraii","LC"," "
"3430","Buergeria buergeri","LC"," "
"3431","Pseudorana sangzhiensis","DD"," "
"3432","Buergeria japonica","LC"," "
"3433","Odorrana schmackeri","LC"," "
"3434","Buergeria oxycephala","VU","B1ab(iii)+2ab(iii)"
"3435","Buergeria robusta","LC"," "
"3436","Chiromantis cherrapunjiae","DD"," "
"3437","Lithobates sevosus","CR","B1ab(iii,v)+2ab(iii,v); C2a(ii)"
"3438","Pelophylax shqipericus","EN","B1ab(iii)"
"3439","Chiromantis dudhwaensis","DD"," "
"3440","Rana shuchinae","LC"," "
"3441","Theloderma laeve","DD"," "
"3442","Lithobates sierramadrensis","VU","B1ab(iii)"
"3443","Feihyla palpebralis","NT"," "
"3444","Chiromantis punctatus","DD"," "
"3445","Odorrana sinica","DD"," "
"3446","Liuixalus romeri","EN","B1ab(iii,iv)+2ab(iii,iv)"
"3447","Lithobates spectabilis","LC"," "
"3448","Chiromantis shyamrupus","DD"," "
"3449","Chiromantis simus","LC"," "
"3450","Feihyla vittata","LC"," "
"3451","Odorrana supranarina","EN","B1ab(iii)"
"3452","Odorrana swinhoana","LC"," "
"3453","Rana tagoi","LC"," "
"3454","Hylarana taipehensis","LC"," "
"3455","Lithobates tarahumarae","VU","A3e"
"3456","Lithobates taylori","LC"," "
"3457","Pelophylax tenggerensis","EN","B1ab(iii,v)"
"3458","Pelophylax terentievi","DD"," "
"3459","Odorrana tiannanensis","LC"," "
"3460","Glandirana tientaiensis","NT"," "
"3461","Odorrana trankieni","DD"," "
"3462","Rana tsushimensis","LC"," "
"3463","Hylarana tytleri","LC"," "
"3464","Odorrana utsunomiyaorum","EN","B1ab(iii)"
"3465","Lithobates vaillanti","LC"," "
"3466","Odorrana versabilis","LC"," "
"3467","Pseudorana weiningensis","VU","B2ab(iii)"
"3468","Odorrana wuchuanensis","CR","B1ab(iii)+2ab(iii)"
"3469","Rana zhengi","DD"," "
"3470","Rana zhenhaiensis","LC"," "
"3471","Lithobates zweifeli","LC"," "
"3472","Sphaerotheca dobsonii","LC"," "
"3473","Sphaerotheca leucorhynchus","DD"," "
"3474","Sphaerotheca maskeyi","LC"," "
"3475","Sphaerotheca rolandae","LC"," "
"3476","Sphaerotheca swani","DD"," "
"3477","Pseudophilautus leucorhinus","EX"," "
"3478","Pseudophilautus limbus","CR","B1ab(iii)"
"3479","Philautus longicrus","NT"," "
"3480","Kurixalus eiffingeri","LC"," "
"3481","Raorchestes longchuanensis","LC"," "
"3482","Kurixalus idiootocus","LC"," "
"3483","Raorchestes luteolus","DD"," "
"3484","Theloderma moloch","VU","B1ab(iii)"
"3485","Pseudophilautus nasutus","EX"," "
"3486","Pseudophilautus nemus","CR","B1ab(iii)+2ab(iii)"
"3487","Philautus abditus","DD"," "
"3488","Liuixalus ocellatus","EN","B1ab(iii)"
"3489","Pseudophilautus abundus","LC"," "
"3490","Kurixalus odontotarsus","LC"," "
"3491","Pseudophilautus oxyrhynchus","EX"," "
"3492","Pseudophilautus adspersus","EX"," "
"3493","Philautus pallidipes","VU","B1ab(iii)"
"3494","Theloderma albopunctatum","DD"," "
"3495","Pseudophilautus alto","EN","B1ab(iii)+2ab(iii)"
"3496","Philautus petersi","LC"," "
"3497","Theloderma andersoni","LC"," "
"3498","Pseudophilautus pleurotaenia","EN","B1ab(iii)+2ab(iii)"
"3499","Raorchestes annandalii","LC"," "
"3500","Pseudophilautus popularis","LC"," "
"3501","Pseudophilautus asankai","EN","B1ab(iii)+2ab(iii)"
"3502","Philautus aurantium","EN","B2ab(iii)"
"3503","Philautus refugii","VU","D2"
"3504","Pseudophilautus regius","DD"," "
"3505","Philautus aurifasciatus","LC"," "
"3506","Pseudophilautus reticulatus","EN","B1ab(iii)+2ab(iii)"
"3507","Kurixalus banaensis","DD"," "
"3508","Theloderma rhododiscus","NT"," "
"3509","Raorchestes beddomii","NT"," "
"3510","Pseudophilautus rugatus","EX"," "
"3511","Raorchestes bombayensis","VU","B1ab(iii)+2ab(iii)"
"3512","Pseudophilautus rus","NT"," "
"3513","Philautus sanctisilvaticus","CR","B1ab(iii)+2ab(iii)"
"3514","Pseudophilautus caeruleus","EN","B1ab(iii)+2ab(iii)"
"3515","Pseudophilautus sarasinorum","EN","B1ab(iii)+2ab(iii)"
"3516","Pseudophilautus cavirostris","EN","B1ab(iii)+2ab(iii)"
"3517","Raorchestes chalazodes","CR","B1ab(iii)+2ab(iii)"
"3518","Raorchestes charius","EN","B2ab(iii)"
"3519","Philautus cinerascens","DD"," "
"3520","Pseudophilautus cuspis","EN","B1ab(iii)+2ab(iii)"
"3521","Pseudophilautus dimbullae","EX"," "
"3522","Philautus dubius","DD"," "
"3523","Philautus erythrophthalmus","VU","D2"
"3524","Pseudophilautus eximius","EX"," "
"3525","Pseudophilautus extirpo","EX"," "
"3526","Pseudophilautus femoralis","EN","B1ab(iii)+2ab(iii)"
"3527","Pseudophilautus fergusonianus","LC"," "
"3528","Raorchestes flaviventris","DD"," "
"3529","Pseudophilautus folicola","EN","B1ab(iii)+2ab(iii)"
"3530","Pseudophilautus fulvus","EN","B1ab(iii)+2ab(iii)"
"3531","Philautus garo","VU","B1ab(iii)"
"3532","Raorchestes glandulosus","VU","B1ab(iii)"
"3533","Gracixalus gracilipes","LC"," "
"3534","Raorchestes griet","CR","B1ab(iii)"
"3535","Pseudophilautus halyi","EX"," "
"3536","Pseudophilautus hoipolloi","LC"," "
"3537","Pseudophilautus hypomelas","EX"," "
"3538","Philautus ingeri","VU","B1ab(iii)"
"3539","Philautus jerdonii","DD"," "
"3540","Philautus kempiae","DD"," "
"3541","Philautus kerangae","EN","B2ab(iii)"
"3542","Pseudophilautus macropus","CR","B1ab(iii)+2ab(iii)"
"3543","Pseudophilautus malcolmsmithi","EX"," "
"3544","Philautus maosonensis","DD"," "
"3545","Gracixalus medogensis","DD"," "
"3546","Raorchestes menglaensis","DD"," "
"3547","Philautus microdiscus","DD"," "
"3548","Pseudophilautus microtympanum","EN","B1ab(iii)+2ab(iii)"
"3549","Philautus mjobergi","NT"," "
"3550","Philautus namdaphaensis","DD"," "
"3551","Pseudophilautus nanus","EX"," "
"3552","Rhacophorus puerensis","DD"," "
"3553","Pseudophilautus schmarda","EN","B1ab(iii)+2ab(iii)"
"3554","Polypedates taeniatus","LC"," "
"3555","Pseudophilautus semiruber","DD"," "
"3556","Polypedates zed","DD"," "
"3557","Raorchestes shillongensis","CR","B1ab(iii)"
"3558","Rhacophorus yaoshanensis","EN","B1ab(iii)"
"3559","Raorchestes signatus","EN","B1ab(iii)"
"3560","Rhacophorus zhaojuensis","NT"," "
"3561","Pseudophilautus silus","EN","B1ab(iii)+2ab(iii)"
"3562","Philautus similipalensis","DD"," "
