"","Scientific.name_TBN","Scientific.name_PSL","Chinese.common.name_PSL","prtected_status","Version","tp_tid","taibnet_namecode","uuid","protect.species.list.number","rank","X","X.1","X.2"
"153","Sinogastromyzon nantaiensis","Sinogastromyzon nantaiensis","南臺中華爬岩鰍","III","v1080109",383544,383544,"0c061ec6-8b80-4fed-b612-0d14da2bdee1",825,"species",NA,NA,NA
"154","Sinogastromyzon puliensis","Sinogastromyzon puliensis","埔里中華爬岩鰍","III","v1080109",380993,380993,"a0ab15f4-6c18-4b96-91ba-8319b7894ef3",826,"species",NA,NA,NA
"155","Metzia formosae","Metzia formosae","臺灣梅氏?(臺灣細?)","III","v1080109",381023,381023,"e49be715-553a-4e2c-844e-48337d474042",828,"species",NA,NA,NA
"156","Metzia mesembrinum","Metzia mesembrinum","大鱗梅氏?","III","v1080109",381024,381024,"8364ec1e-f5a0-44bb-8a50-40d7b548fb52",829,"species",NA,NA,NA
"157","Pararasbora moltrechti","Pararasbora moltrechti","臺灣副細鯽(臺灣白魚)","II","v1080109",381020,381020,"ba1431a7-f754-4687-88fc-cbae0450977d",830,"species",NA,NA,NA
"158","Squalidus banarescui","Squalidus banarescui","巴氏銀鮈","I","v1080109",395247,395247,"96674ae7-a4d8-4688-a0bf-3e15d0fd2191",832,"species",NA,NA,NA
"159","Squalidus iijimae","Squalidus iijimae","飯島氏銀鮈","I","v1080109",381028,381028,"8ff1a9aa-7d0e-42dc-905e-feccb6a69c33",833,"species",NA,NA,NA
"160","Liobagrus formosanus","Liobagrus formosanus","臺灣鉤吻鮭","III","v1080109",382917,382917,"895740ab-889c-498d-9e7e-61a09f69635a",836,"species",NA,NA,NA
"161","Balaenoptera acutorostrata","Balaenoptera acutorostrata","小鬚鯨","I","v1080109",380528,380528,"525d7081-7040-456a-8d28-53381a10dc44",902,"species",NA,NA,NA
"162","Balaenoptera borealis","Balaenoptera borealis","?鯨","I","v1080109",380529,380529,"d33826dc-a761-4b8c-a17e-862a2a2492ee",904,"species",NA,NA,NA
"163","Balaenoptera edeni","Balaenoptera edeni","鯷鯨","I","v1080109",380530,380530,"304b1453-92c5-43c5-a817-227bd9aeebd1",905,"species",NA,NA,NA
"164","Balaenoptera musculus","Balaenoptera musculus","藍鯨","I","v1080109",385002,385002,"2425943a-2707-4def-bbfb-76db26e4d9f1",906,"species",NA,NA,NA
"165","Balaenoptera omurai","Balaenoptera omurai","大村鯨","I","v1080109",385001,385001,"39c658e8-d46d-4ffb-bde5-3df040704793",907,"species",NA,NA,NA
"166","Balaenoptera physalus","Balaenoptera physalus","長須鯨","I","v1080109",380531,380531,"e7e61480-ff22-42ef-8c55-ceaaef205e25",908,"species",NA,NA,NA
"167","Megaptera novaeangliae","Megaptera novaeangliae","大翅鯨","I","v1080109",380532,380532,"6358b5a1-3a1b-4354-a9cb-72a77a7cb3eb",909,"species",NA,NA,NA
"168","Sousa chinensis","Sousa chinensis","中華白海豚","I","v1080109",380541,380541,"c3b4ff09-9126-44a2-a420-35ddedb79369",914,"species",NA,NA,NA
"169","Tursiops aduncus","Tursiops aduncus","印太瓶鼻海豚","II","v1080109",380546,380546,"9b6dbed3-9205-40f5-95f8-d36baa8c7ba4",915,"species",NA,NA,NA
"170","Eschrichtius robustus","Eschrichtius robustus","灰鯨","I","v1080109",380548,380548,"75093e12-40f3-4467-8fdd-2c8bd127325a",917,"species",NA,NA,NA
"171","Neophocaena phocaenoides","Neophocaena phocaenoides","江豚(露脊鼠海豚)","I","v1080109",380551,380551,"fb177ad6-769a-42e3-995f-5594e899c76f",920,"species",NA,NA,NA
"172","Anous stolidus","Anous stolidus","玄燕鷗","II","v1080109",1023581,NA,"76f9f298-fd14-4242-8f51-c6a40783435d",930,"species",NA,NA,NA
"173","Onychoprion anaethetus","Onychoprion anaethetus","白眉燕鷗","II","v1080109",1024993,NA,"fd252b08-fce5-4cc0-a698-b25a01828184",932,"species",NA,NA,NA
"174","Saundersilarus saundersi","Saundersilarus saundersi","黑嘴鷗","II","v1080109",419698,419698,"e65826ad-5a8d-468b-aa5e-16df3c5038b8",933,"species",NA,NA,NA
"175","Sterna dougallii","Sterna dougallii","紅燕鷗(粉紅燕鷗)","II","v1080109",1025543,NA,"7559234a-62cd-4f7b-a6cb-313de3115a12",934,"species",NA,NA,NA
"176","Sterna sumatrana","Sterna sumatrana","蒼燕鷗","II","v1080109",1025545,NA,"c92ed9a7-3377-472f-87d5-c85ae940d1cc",935,"species",NA,NA,NA
"177","Sternula albifrons","Sternula albifrons","小燕鷗","II","v1080109",1025547,NA,"492cb237-e66a-4af1-841c-58dcbdba08b1",936,"species",NA,NA,NA
"178","Thalasseus bergii","Thalasseus bergii","鳳頭燕鷗","II","v1080109",1025652,NA,"96507010-27ae-438b-bd64-0be53aa069dd",937,"species",NA,NA,NA
"179","Thalasseus bernsteini","Thalasseus bernsteini","黑嘴端鳳頭燕鷗","I","v1080109",419712,419712,"1ede32c8-c430-4a8c-9763-44b1764d7055",938,"species",NA,NA,NA
"180","Pelecanus crispus","Pelecanus crispus","卷羽鵜鶘","I","v1080109",404624,404624,"2f298d73-25c9-42e5-af37-e196f90bbf5a",941,"species",NA,NA,NA
"181","Phoebastria albatrus","Phoebastria albatrus","短尾信天翁","I","v1080109",404630,404630,"4748e6b0-2087-4910-89ee-5a3f657b5369",942,"species",NA,NA,NA
"182","Phoebastria nigripes","Phoebastria nigripes","黑腳信天翁","I","v1080109",404632,404632,"469ad59a-7986-42a8-8293-8b848394b243",943,"species",NA,NA,NA
"183","Caretta caretta","Caretta caretta","赤蠵龜","I","v1080109",380614,380614,"9ca257ce-5c90-412c-9558-d0c692e65571",948,"species",NA,NA,NA
"184","Chelonia mydas","Chelonia mydas","綠蠵龜","I","v1080109",380615,380615,"9ceb18ee-2e88-40c6-84aa-079de58c2c6c",949,"species",NA,NA,NA
"185","Eretmochelys imbricata","Eretmochelys imbricata","玳瑁","I","v1080109",380616,380616,"ecc9e451-b816-4792-bac6-983e5e633a71",950,"species",NA,NA,NA
"186","Lepidochelys olivacea","Lepidochelys olivacea","欖蠵龜","I","v1080109",380617,380617,"82b23908-a037-4198-b8f2-9dc5197d8493",951,"species",NA,NA,NA
"187","Dermochelys coriacea","Dermochelys coriacea","革龜(稜皮龜)","I","v1080109",380618,380618,"1acef1e4-9f24-4f9c-8ab1-f4ded3437a5f",952,"species",NA,NA,NA
"188","Cheilinus undulatus","Cheilinus undulatus","曲紋唇魚(波紋唇魚、龍王鯛、蘇眉魚)","II","v1080109",381941,381941,"bd2519a5-b5c5-47b0-bdc1-a0f825ad1f6e",956,"species",NA,NA,NA
"189","Bolbometopon muricatum","Bolbometopon muricatum","隆頭鸚哥魚(駝峰大鸚嘴魚)","II","v1080109",382434,382434,"139b096b-f585-4115-aa4c-8b7b81656ff3",957,"species",NA,NA,NA
"190","Aegypius monachus",NA,NA,"II","v1080109",380102,380102,"382b65de-c823-4945-9a77-00bd707eeb94",NA,"species",NA,NA,NA
"191","Aquila heliaca","Aquila heliacal","白肩鵰","I","v1080109",380104,380104,"08dd93ce-8d46-44a9-92ba-8f4a5aec3cf1",334,"species",NA,NA,NA
"192","Syrmaticus mikado","Syrmaticus mikado","黑長尾雉(帝雉)","II","v1080109",380291,380291,"f99d359f-0dd5-4dbd-817e-a45c6d7b7efc",392,"species",NA,NA,NA
"193","Feresa attenuata",NA,NA,"II","v1080109",380534,380534,"85ffeafa-7409-47d2-b6fe-9ea9034f4818",NA,"species",NA,NA,NA
"194","Globicephala macrorhynchus",NA,NA,"II","v1080109",380535,380535,"02c914da-21c0-4d17-b67e-491defc98381",NA,"species",NA,NA,NA
"195","Grampus griseus",NA,NA,"II","v1080109",380536,380536,"45a0d895-326c-4bca-8991-11347fff85bc",NA,"species",NA,NA,NA
"196","Lagenodelphis hosei",NA,NA,"II","v1080109",380537,380537,"be1253ce-1c72-4d7b-ac74-936c9882a2ec",NA,"species",NA,NA,NA
"197","Orcinus orca",NA,NA,"II","v1080109",380538,380538,"1b07f8fc-3ed8-4b63-80bf-f57556663cb8",NA,"species",NA,NA,NA
"198","Peponocephala electra",NA,NA,"II","v1080109",380539,380539,"b1ea8557-7dfb-4cce-a3bc-bfc9d3dfa19b",NA,"species",NA,NA,NA
"199","Pseudorca crassidens",NA,NA,"II","v1080109",380540,380540,"24dfe25f-2210-4085-b270-4b0c483d8c6e",NA,"species",NA,NA,NA
"200","Stenella attenuata",NA,NA,"II","v1080109",380542,380542,"1f1f655d-1522-48bf-82ea-d0fc92c36d5b",NA,"species",NA,NA,NA
"201","Stenella coeruleoalba",NA,NA,"II","v1080109",380543,380543,"adae1946-cffe-465a-a1fe-520915600c6e",NA,"species",NA,NA,NA
"202","Stenella longirostris",NA,NA,"II","v1080109",380544,380544,"020aa3aa-b69b-4198-992a-8c8f8eede9c0",NA,"species",NA,NA,NA
"203","Steno bredanensis",NA,NA,"II","v1080109",380545,380545,"4f7a7d42-eb80-4370-81e6-8da56c5c38e2",NA,"species",NA,NA,NA
"204","Tursiops truncatus","Tursiops truncates","瓶鼻海豚","II","v1080109",380547,380547,"21a8c039-f798-4ead-9331-fb522862aeeb",916,"species",NA,NA,NA
"205","Kogia breviceps",NA,NA,"II","v1080109",380549,380549,"ef7b7132-e20a-4b35-829a-b5b8512dac85",NA,"species",NA,NA,NA
"206","Kogia sima",NA,NA,"II","v1080109",380550,380550,"dc3dfcea-e2d5-4d41-8575-1e04c9f4bbdb",NA,"species",NA,NA,NA
"207","Physeter macrocephalus","Physeter microcephalus","抹香鯨","I","v1080109",380552,380552,"40119379-861d-4e93-b566-e90901be88bd",922,"species",NA,NA,NA
"208","Mesoplodon densirostris",NA,NA,"II","v1080109",380554,380554,"ce68a0a5-7884-4ccd-a227-3a1a3699d907",NA,"species",NA,NA,NA
"209","Mesoplodon ginkgodens",NA,NA,"II","v1080109",380555,380555,"ba532919-8c78-44dd-9230-77524d89c913",NA,"species",NA,NA,NA
"210","Ziphius cavirostris",NA,NA,"II","v1080109",380556,380556,"078b0a92-6948-46dd-a3d8-e3caad02401b",NA,"species",NA,NA,NA
"211","Enhydris plumbea","Hypsiscopus plumbea ","鉛色水蛇","III","v1080109",380643,380643,"d08669ba-8e9e-4d01-b96e-4265d17bc96d",673,"species",NA,NA,NA
"212","Oncorhynchus formosanus","Oncorhynchus masou","櫻花鉤吻鮭","I","v1080109",382788,382788,"86411be4-c1f1-43b5-8750-fcdd950eed87",835,"species",NA,NA,NA
"213","Delphinus delphis",NA,NA,"II","v1080109",385000,385000,"04ef2c54-9875-4bd0-af03-3734d0c18b1d",NA,"species",NA,NA,NA
"214","Balaenoptera brydei",NA,NA,"II","v1080109",385003,385003,"4cc93fce-ba29-4d30-b74f-ea33c81ad83a",NA,"species",NA,NA,NA
"215","Buteo hemilasius",NA,NA,"II","v1080109",404551,404551,"3cc98484-bbf2-4c57-9300-b04ffc39ba8d",NA,"species",NA,NA,NA
"216","Falco amurensis",NA,NA,"II","v1080109",404587,404587,"4e54bc74-f434-4d74-92fc-9a032a415b8e",NA,"species",NA,NA,NA
"217","Falco naumanni",NA,NA,"II","v1080109",404588,404588,"63363497-97d4-46bb-8e1a-aeaeafb68867",NA,"species",NA,NA,NA
"218","Prionailurus bengalensis","Prionailurus bengalensis euptilurus ","石虎","I","v1080109",416107,416107,"96acaa9b-0412-4853-8168-fccd12166426",105,"infraspecies",NA,NA,NA
"219","Rousettus leschenaultii",NA,NA,"II","v1080109",416110,416110,"14d0933d-08f2-403c-83d6-96c8479ec3f7",NA,"species",NA,NA,NA
"220","Geochelone elegans",NA,NA,"II","v1080109",417722,417722,"d172ef75-341a-412e-a8c4-9aefbe0b9637",NA,"species",NA,NA,NA
"221","Paroaria coronata","Paroaria coronate","冠紅蠟嘴?","II","v1080109",417867,417867,"926dab31-c7de-4084-be50-12de35254405",426,"species",NA,NA,NA
"222","Indotestudo elongata",NA,NA,"II","v1080109",418130,418130,"23e7cfbb-7342-496e-8223-969a3790dd54",NA,"species",NA,NA,NA
"223","Anthropoides virgo",NA,NA,"II","v1080109",419631,419631,"64c27564-4e73-4b44-a4a5-0b12738808ba",NA,"species",NA,NA,NA
"224","Grus grus",NA,NA,"II","v1080109",420877,420877,"d4f1d790-c3e0-43cd-83ba-9fb0afdf5b64",NA,"species",NA,NA,NA
"225","Delphinus capensis",NA,NA,"II","v1080109",427142,427142,"3293542b-82c4-4173-98a7-1a7a8079a8e1",NA,"species",NA,NA,NA
"226","Clanga clanga",NA,NA,"II","v1080109",427287,427287,"3fae360a-23ea-45ef-827a-4c7af654fe69",NA,"species",NA,NA,NA
"227","Haliaeetus leucogaster",NA,NA,"II","v1080109",428071,428071,"b6df16d7-59fa-4d02-bb4b-905d2dd69c5f",NA,"species",NA,NA,NA
"228","Calidris pygmea","Calidris pygmaea","琵嘴鷸","II","v1080109",428564,428564,"18a01f7a-54bc-4a9e-bcb4-1ced9de8eb9d",283,"species",NA,NA,NA
"229","Ichthyaetus relictus","Larus relictus","遺鷗","I","v1080109",428568,428568,"283a16c1-47fd-4221-a221-d52e575766ee",931,"species",NA,NA,NA
"230","Balaenoptera taiwanica",NA,NA,"II","v1080109",430503,430503,"a225e20b-9a77-4033-b833-fc8db006fdec",NA,"species",NA,NA,NA
"231","Synoicus chinensis","Coturnix chinensis","藍胸鶉(馴養型除外)","II","v1080109",431229,431229,"edb3f65e-d359-49d5-8a9c-67953e89172b",372,"species",NA,NA,NA
"232","Indopacetus  pacificus",NA,NA,"II","v1080109",432102,432102,"c58ca8a2-6d29-4185-90f0-5229b0019719",NA,"species",NA,NA,NA
"233","Leucogeranus leucogeranus","Grus leucogeranus","白鶴","I","v1080109",432194,432194,"251368bf-574e-4e61-8fff-b77abe6f4370",404,"species",NA,NA,NA
"234","Antigone vipio","Grus vipio","白枕鶴","I","v1080109",432195,432195,"a9182b3e-5cb1-4c28-932d-26b9a7eb62db",407,"species",NA,NA,NA
"235","Machlolophus holsti","Macholophus holsti","黃山雀","II","v1080109",432368,432368,"ccab507a-b6e1-4063-9252-9c9318aaf524",462,"species",NA,NA,NA
"236","Accipiter badius",NA,NA,"II","v1080109",1023421,NA,"20363a3c-1e5c-4162-a830-67fe4e451174",NA,"species",NA,NA,NA
"237","Accipiter gentilis",NA,NA,"II","v1080109",1023422,NA,"5a00f75f-2e53-4c6d-b55a-884f1ce64770",NA,"species",NA,NA,NA
"238","Aquila fasciata",NA,NA,"II","v1080109",1023625,NA,"c0ea178e-5629-4e72-9a26-d31954e6a982",NA,"species",NA,NA,NA
"239","Athene noctua",NA,NA,"II","v1080109",1023666,NA,"2fdeee3e-f5ea-46ba-bb77-aed6c8bb3d93",NA,"species",NA,NA,NA
"240","Aviceda leuphotes",NA,NA,"II","v1080109",1023692,NA,"7e1b0fb8-65f9-4642-870c-b868e2143e72",NA,"species",NA,NA,NA
"241","Bubo bubo",NA,NA,"II","v1080109",1023759,NA,"2fdb32ef-9f2f-4066-8e35-3a3bbef0855d",NA,"species",NA,NA,NA
"242","Buteo japonicus",NA,NA,"II","v1080109",1023768,NA,"27fbbbb9-e533-4c9b-a9a1-1e7dedf64715",NA,"species",NA,NA,NA
"243","Buteo lagopus",NA,NA,"II","v1080109",1023769,NA,"88f50e88-227f-4ef4-984c-8ed45ce8cb85",NA,"species",NA,NA,NA
"244","Falco columbarius",NA,NA,"II","v1080109",1024353,NA,"5221702c-9898-43a6-95a2-d6bc95512a9c",NA,"species",NA,NA,NA
"245","Haliastur indus",NA,NA,"II","v1080109",1024454,NA,"8e478be4-8d55-43c8-8060-a4819382ba8b",NA,"species",NA,NA,NA
"246","Ictinaetus malaiensis",NA,NA,"II","v1080109",1024552,NA,"b2350fcd-44ae-4faf-9777-0e08342613fc",NA,"species",NA,NA,NA
"247","Manis pentadactyla",NA,NA,"II","v1080109",1024731,NA,"12893a44-eca8-44a1-955f-970705f53bc4",NA,"species",NA,NA,NA
"248","Mustela nivalis",NA,NA,"III","v1080109",1024853,NA,"1b2bd256-b844-4cb6-bc52-8b377c08ba22",NA,"species",NA,NA,NA
"249","Orthriophis taeniurus","Elaphe taeniura ","黑眉錦蛇(錦蛇)","III","v1080109",1025024,NA,"a0624436-a49d-457c-b491-dc61406d49c3",676,"species",NA,NA,NA
"250","Otus elegans",NA,NA,"II","v1080109",1025027,NA,"11ac79d8-844c-431d-922b-fda00fa39e52",NA,"species",NA,NA,NA
"251","Pteropus dasymallus",NA,NA,"I","v1080109",1025365,NA,"52de4e15-0819-4346-bd73-505256a30d9e",NA,"species",NA,NA,NA
"252","Rusa unicolor",NA,NA,"III","v1080109",1025423,NA,"ec16b5e7-3bc6-48e1-99e3-fe071331a48e",NA,"species",NA,NA,NA
