"","Scientific.name_TBN","Scientific.name_PSL","Chinese.common.name_PSL","prtected_status","Version","tp_tid","taibnet_namecode","uuid","protect.species.list.number","rank","X","X.1","X.2"
"36","Accipiter nisus","Accipiter nisus","北雀鷹","II","v1080109",1023424,NA,"a0a98d9d-fef5-47ac-afa8-a52cebadfb47",329,"species",NA,NA,NA
"37","Accipiter soloensis","Accipiter soloensis","赤腹鷹","II","v1080109",380099,380099,"361a3560-d085-4fd2-b6f6-521f4c8049a5",330,"species",NA,NA,NA
"38","Accipiter trivirgatus","Accipiter trivirgatus","鳳頭蒼鷹","II","v1080109",1023425,NA,"c3d7eb24-c683-40c1-a077-93141d28ae33",331,"species",NA,NA,NA
"39","Accipiter virgatus","Accipiter virgatus","松雀鷹(雀鷹)","II","v1080109",1023426,NA,"828253a2-1f00-401b-b5c9-f3a37791600a",332,"species",NA,NA,NA
"40","Butastur indicus","Butastur indicus","灰面鵟鷹(灰面鷲)","II","v1080109",380105,380105,"dff00aa5-f437-45cb-aefb-14ce0ecb9a75",335,"species",NA,NA,NA
"41","Circus cyaneus","Circus cyaneus","灰澤鵟(灰鷂)","II","v1080109",1023965,NA,"70588a08-4194-4b68-83c5-451567799eb2",338,"species",NA,NA,NA
"42","Circus melanoleucos","Circus melanoleucos","花澤鵟(鵲鷂)","II","v1080109",380109,380109,"001e4cc4-f14f-4139-b015-cd5267d786cc",339,"species",NA,NA,NA
"43","Circus spilonotus","Circus spilonotus","澤鵟(東方澤鵟、東方澤鷂) ","II","v1080109",1023966,NA,"e72144b2-4d05-44c7-a93d-063fbae7c6e5",340,"species",NA,NA,NA
"44","Elanus caeruleus","Elanus caeruleus","黑翅鳶","II","v1080109",1024209,NA,"ad5b2b40-aad1-43d5-8963-708d73adc98a",341,"species",NA,NA,NA
"45","Haliaeetus albicilla","Haliaeetus albicilla","白尾海鵰","I","v1080109",421135,421135,"f0c63a8c-a1f7-4163-9e34-c6e4c4327a50",342,"species",NA,NA,NA
"46","Milvus migrans","Milvus migrans","黑鳶(老鷹)","II","v1080109",1024812,NA,"3343e3a4-9f28-4f12-81c3-44853ece0b9c",345,"species",NA,NA,NA
