"Protected species list number" "Scientific name" "note" "rank" "Chinese common name" "note_chinese" "Protected Species category"
87 "Fossa fossana" NA "species" "馬島麝貓" NA "II"
88 "Felidae spp." "Except the species included in Endangered Species, and the domesticated form, which is referenced as Felis catus" "family" "貓科所有種" "瀕臨絕種物種及家貓除外" "II"
89 "Acinonyx jubatus" NA "species" "獵豹" NA "I"
90 "Catopuma temminckii" NA "species" "譚氏金貓" NA "I"
91 "Felis nigripes" NA "species" "黑足貓" NA "I"
92 "Leopardus geoffroyi" NA "species" "喬氏貓" NA "I"
93 "Leopardus jacobitus" NA "species" "安地斯山貓" NA "I"
94 "Leopardus pardalis" NA "species" "美洲豹貓" NA "I"
95 "Leopardus tigrinus" NA "species" "虎貓" NA "I"
96 "Leopardus wiedii" NA "species" "長尾虎貓" NA "I"
97 "Lynx pardinus" NA "species" "林<U+72AD>曳" NA "I"
98 "Neofelis nebulosa" NA "species" "雲豹" NA "I"
99 "Neofelis nebulosa brachyura" NA "infraspecies" "臺灣雲豹" NA "I"
100 "Panthera leo persica" NA "infraspecies" "亞洲獅" NA "I"
101 "Panthera onca" NA "species" "美洲豹" NA "I"
102 "Panthera pardus" NA "species" "花豹" NA "I"
103 "Panthera tigris" NA "species" "虎" NA "I"
104 "Pardofelis marmorata" NA "species" "紋貓" NA "I"
105 "Prionailurus bengalensis euptilurus" "Synonym : Prionailurus bengalensis chinensis" "infraspecies" "石虎" NA "I"
106 "Prionailurus planiceps" NA "species" "扁頭貓" NA "I"
107 "Puma concolor coryi" NA "infraspecies" "佛羅里達山獅" NA "II"
108 "Puma concolor costaricensis" NA "infraspecies" "哥斯大黎加山獅" NA "I"
109 "Puma concolor couguar" NA "infraspecies" "北美山獅" NA "II"
110 "Puma yagouaroundi" NA "species" "南美金貓" NA "I"
111 "Uncia uncia" NA "species" "雪豹" NA "I"
112 "Herpestes urva" NA "species" "棕簑貓" "食蟹<U+7374>" "III"
113 "Conepatus humboldtii" NA "species" "阿根廷臭鼬" NA "II"
114 "Lutrinae spp." "Include Aonyx spp., Enhydra spp., Hydrictis spp., Lontra spp., Lutra spp., Lutrogale spp., Pteronura spp.. Except the species included in marine ecosystem and Endangered Species" "family" "水獺亞科所有種" "此亞科包含無爪水獺屬Aonyx spp.、海獺屬Enhydra spp.、斑頸水獺屬Hydrictis spp.、美洲水獺屬Lontra spp.、水獺屬Lutra spp.、印度水獺屬Lutrogale spp.、大水獺屬Pteronura spp.等七屬所有種；海洋生態系物種與瀕臨絕種物種除外" "II"
115 "Aonyx capensis microdon" NA "infraspecies" "剛果無爪水獺" NA "I"
116 "Lontra longicaudis" NA "species" "南美水獺" NA "I"
117 "Lontra provocax" NA "species" "智利水獺" NA "I"
118 "Lutra lutra" NA "species" "歐亞水獺" NA "I"
119 "Lutra lutra chinensis" NA "infraspecies" "水獺" NA "I"
120 "Lutra nippon" NA "species" "日本水獺" NA "I"
121 "Pteronura brasiliensis" NA "species" "大水獺" NA "I"
122 "Martes flavigula" NA "species" "黃喉貂" NA "III"
123 "Mustela nivalis formosana" "Synonym : Mustela formosanus" "infraspecies" "臺灣小黃鼠狼" NA "III"
124 "Mustela nigripes" NA "species" "黑足雪貂" NA "I"
125 "Ursidae spp." "Except the species included in Endangered Species" "family" "熊科所有種" "瀕臨絕種物種除外" "II"
126 "Ailuropoda melanoleuca" NA "species" "大貓熊" NA "I"
127 "Helarctos malayanus" NA "species" "馬來熊" NA "I"
128 "Melursus ursinus" NA "species" "懶熊" NA "I"
129 "Tremarctos ornatus" NA "species" "眼鏡熊" NA "I"
130 "Ursus arctos isabellinus" NA "infraspecies" "喜馬拉亞熊" NA "I"
131 "Ursus thibetanus" NA "species" "亞洲黑熊" NA "I"
132 "Ursus thibetanus formosanus" NA "infraspecies" "臺灣黑熊" NA "I"
133 "Cynogale bennettii" NA "species" "獺狸貓" NA "II"
134 "Hemigalus derbyanus" NA "species" "橫帶狸貓" NA "II"
135 "Prionodon linsang" NA "species" "條紋靈貓" NA "II"
136 "Prionodon pardicolor" NA "species" "東方蓑貓" NA "I"
137 "Viverricula indica" NA "species" "麝香貓" NA "II"
138 "Coelops frithii" NA "species" "無尾葉鼻蝠" NA "II"
139 "Acerodon spp." "Except the species included in Endangered Species" "genus" "果蝠屬所有種" "瀕臨絕種物種除外" "II"
140 "Acerodon jubatus" NA "species" "菲律賓果蝠" NA "I"
141 "Pteropus spp." "Except the species included in Endangered Species" "genus" "狐蝠屬所有種" "瀕臨絕種物種除外" "II"
142 "Pteropus dasymallus formosus" NA "infraspecies" "臺灣狐蝠" NA "I"
143 "Pteropus insularis" NA "species" "白胸狐蝠" NA "I"
144 "Pteropus loochoensis" NA "species" "沖繩狐蝠" NA "I"
145 "Pteropus mariannus" NA "species" "瑪利安娜狐蝠" NA "I"
146 "Pteropus molossinus" NA "species" "西太平洋卡洛島狐蝠" NA "I"
147 "Pteropus pelewensis" NA "species" "帛琉狐蝠" NA "I"
148 "Pteropus pilosus" NA "species" "帛琉果蝠" NA "I"
149 "Pteropus samoensis" NA "species" "南太平洋沙曼亞島狐蝠" NA "I"
150 "Pteropus tonganus" NA "species" "東加狐蝠" NA "I"
151 "Pteropus ualanus" NA "species" "科斯拉伊狐蝠" NA "I"
152 "Pteropus yapensis" NA "species" "雅浦島狐蝠" NA "I"
153 "Chaetophractus nationi" NA "species" "多毛犰狳" NA "II"
154 "Priodontes maximus" NA "species" "大犰狳" NA "I"
155 "Sminthopsis longicaudata" NA "species" "長尾袋鼩" NA "I"
156 "Sminthopsis psammophila" NA "species" "沙漠袋鼩" NA "I"
157 "Dendrolagus inustus" NA "species" "灰樹袋鼠" NA "II"
158 "Dendrolagus ursinus" NA "species" "黑樹袋鼠" NA "II"
159 "Lagorchestes hirsutus" NA "species" "西部兔袋鼠" NA "I"
160 "Lagostrophus fasciatus" NA "species" "條紋兔袋鼠" NA "I"
161 "Onychogalea fraenata" NA "species" "尖尾兔袋鼠" NA "I"
162 "Phalanger intercastellanus" NA "species" "東方袋貂" NA "II"
163 "Phalanger mimicus" NA "species" "隱斑袋貂" NA "II"
164 "Phalanger orientalis" NA "species" "灰袋貂" NA "II"
165 "Spilocuscus kraemeri" NA "species" "金鐘島袋貂" NA "II"
166 "Spilocuscus maculatus" NA "species" "短尾斑袋貂" NA "II"
167 "Spilocuscus papuensis" NA "species" "衛古島袋貂" NA "II"
168 "Bettongia spp." NA "genus" "草原袋鼠屬所有種" NA "I"
169 "Lasiorhinus krefftii" NA "species" "澳洲毛鼻袋熊" NA "I"
170 "Caprolagus hispidus" NA "species" "阿薩密兔" NA "I"
171 "Romerolagus diazi" NA "species" "墨西哥兔" NA "I"
172 "Zaglossus spp." NA "genus" "長吻針鼴屬所有種" NA "II"
173 "Perameles bougainville" NA "species" "條紋袋狸" NA "I"
174 "Macrotis lagotis" NA "species" "兔形袋狸" NA "I"
175 "Equus africanus" "Excludes the domesticated form, which is referenced as Equus asinus" "species" "非洲野驢" "家畜型除外" "I"
176 "Equus grevyi" NA "species" "格利威斑馬" NA "I"
177 "Equus hemionus" "Except the subspecies included in Endangered Species" "species" "亞洲野驢" "瀕臨絕種之亞種除外" "II"
178 "Equus hemionus hemionus" NA "infraspecies" "蒙古野驢" NA "I"
179 "Equus hemionus khur" NA "infraspecies" "印度野驢" NA "I"
180 "Equus kiang" NA "species" "西藏野驢" NA "II"
181 "Equus przewalskii" "Excludes the domesticated form, which is referenced as Equus caballus" "species" "蒙古野馬" "家畜型除外" "I"
182 "Equus zebra hartmannae" NA "infraspecies" "哈特曼山斑馬" NA "II"
183 "Equus zebra zebra" NA "infraspecies" "南非山斑馬" NA "II"
184 "Rhinocerotidae spp." NA "family" "犀牛科所有種" NA "I"
185 "Tapiridae spp." "Except the species included in Rare and Valuable Species" "family" "貘科所有種" "珍貴稀有物種除外" "I"
186 "Tapirus terrestris" NA "species" "巴西貘" NA "II"
187 "Manis spp." "Except Manis pentadactyla pentadactyla" "genus" "穿山甲屬所有種" "臺灣穿山甲除外" "I"
188 "Manis pentadactyla pentadactyla" NA "infraspecies" "臺灣穿山甲" "中國鯪鯉" "II"
189 "Bradypus pygmaeus" NA "species" "侏儒三指樹獺" NA "II"
190 "Bradypus variegatus" NA "species" "玻利維亞樹獺" NA "II"
191 "Myrmecophaga tridactyla" NA "species" "大食蟻獸" NA "II"
192 "PRIMATES spp." "Except the species included in Endangered Species and Macaca cyclopis" "order" "靈長目所有種" "瀕臨絕種及臺灣獼猴除外" "II"
193 "Alouatta coibensis" NA "species" "長毛吼猴" NA "I"
194 "Alouatta palliate" NA "species" "鬃毛吼猴" NA "I"
195 "Alouatta pigra" NA "species" "紅面吼猴" NA "I"
196 "Ateles geoffroyi frontatus" NA "infraspecies" "黑額蜘蛛猴" NA "I"
197 "Ateles geoffroyi panamensis" NA "infraspecies" "巴拿馬蜘蛛猴" NA "I"
198 "Brachyteles arachnoides" NA "species" "捲毛蜘蛛猴" NA "I"
199 "Brachyteles hypoxanthus" NA "species" "北方絨毛蛛猴" NA "I"
200 "Oreonax flavicauda" NA "species" "山地絨毛猴" NA "I"
201 "Callimico goeldii" NA "species" "猴狨" NA "I"
202 "Callithrix aurita" NA "species" "白耳狨" NA "I"
203 "Callithrix flaviceps" NA "species" "黃頭狨" NA "I"
204 "Leontopithecus spp." NA "genus" "獅狨屬所有種" NA "I"
205 "Saguinus bicolor" NA "species" "雙色獠狨" NA "I"
206 "Saguinus geoffroyi" NA "species" "棉冠獠狨" NA "I"
207 "Saguinus leucopus" NA "species" "白腳獠狨" NA "I"
208 "Saguinus martinsi" NA "species" "馬氏檉柳猴" NA "I"
209 "Saguinus Oedipus" NA "species" "棉頂狨" NA "I"
210 "Saimiri oerstedii" NA "species" "紅背松鼠猴" NA "I"
211 "Cercocebus galeritus" NA "species" "塔那河長尾猴" NA "I"
212 "Cercopithecus diana" NA "species" "黛安娜鬚猴" NA "I"
213 "Cercopithecus roloway" NA "species" "羅洛威鬚猴" NA "I"
214 "Macaca silenus" NA "species" "獅尾獼猴" NA "I"
215 "Macaca sylvanus" NA "species" "巴巴利獼猴" NA "I"
216 "Mandrillus leucophaeus" NA "species" "鬼狒" NA "I"
217 "Mandrillus sphinx" NA "species" "山魈" NA "I"
218 "Nasalis larvatus" NA "species" "長鼻猴" NA "I"
219 "Piliocolobus kirkii" NA "species" "桑吉巴紅疣猴" NA "I"
220 "Piliocolobus rufomitratus" NA "species" "塔那河紅疣猴" NA "I"
221 "Presbytis potenziani" NA "species" "白頰葉猴" NA "I"
222 "Pygathrix spp." NA "genus" "海南葉猴屬所有種" NA "I"
223 "Rhinopithecus spp." NA "genus" "金絲猴屬所有種" NA "I"
224 "Semnopithecus ajax" NA "species" "喀什米爾灰葉猴" NA "I"
225 "Semnopithecus dussumieri" NA "species" "南部平原灰葉猴" NA "I"
226 "Semnopithecus entellus" NA "species" "印度葉猴" NA "I"
227 "Semnopithecus hector" NA "species" "達頓灰葉猴" NA "I"
228 "Semnopithecus hypoleucos" NA "species" "黑足灰葉猴" NA "I"
229 "Semnopithecus priam" NA "species" "毛冠灰葉猴" NA "I"
230 "Semnopithecus schistaceus" NA "species" "喜山長尾葉猴" NA "I"
231 "Simias concolor" NA "species" "豬尾葉猴" NA "I"
232 "Trachypithecus geei" NA "species" "黃冠葉猴" NA "I"
233 "Trachypithecus pileatus" NA "species" "冠葉猴" NA "I"
234 "Trachypithecus shortridgei" NA "species" "邵力殊葉猴" NA "I"
235 "Cheirogaleidae spp." NA "family" "侏儒狐猴科所有種" NA "I"
236 "Daubentonia madagascariensis" NA "species" "指猴" NA "I"
237 "Gorilla beringei" NA "species" "山地大猩猩" NA "I"
238 "Gorilla gorilla" NA "species" "大猩猩" NA "I"
239 "Pan spp." NA "genus" "黑猩猩屬所有種" NA "I"
240 "Pongo abelii" NA "species" "蘇門答臘猩猩" NA "I"
241 "Pongo pygmaeus" NA "species" "紅毛猩猩" NA "I"
242 "Hylobatidae spp." NA "family" "長臂猿科所有種" NA "I"
243 "Indriidae spp." NA "family" "光面狐猴科所有種" NA "I"
244 "Lemuridae spp." NA "family" "狐猴科所有種" NA "I"
245 "Lepilemuridae spp." NA "family" "鼬狐猴科所有種" NA "I"
246 "Nycticebus spp." NA "genus" "懶猴屬所有種" NA "I"
247 "Cacajao spp." NA "genus" "禿猴屬所有種" NA "I"
248 "Chiropotes albinasus" NA "species" "白鼻狐尾猴" NA "I"
249 "Elephas maximus" NA "species" "亞洲象" NA "I"
250 "Loxodonta africana" NA "species" "非洲象" NA "I"
251 "Chinchilla spp." "Excludes the domesticated form" "genus" "栗鼠屬所有種" "馴養型除外" "I"
252 "Leporillus conditor" NA "species" "巢鼠" NA "I"
253 "Pseudomys fieldi" "Synonym : Pseudomys fieldi praeconis" "species" "鯊灣擬鼠" NA "I"
254 "Xeromys myoides" NA "species" "偽沼鼠" NA "I"
255 "Zyzomys pedunculatus" NA "species" "中澳粗尾鼠" NA "I"
256 "Cynomys mexicanus" NA "species" "墨西哥草原松鼠" NA "I"
257 "Ratufa spp." NA "genus" "大松鼠屬所有種" NA "II"
258 "SCANDENTIA spp." NA "order" "樹鼩目所有種" NA "II"
259 "Chimarrogale himalayica" NA "species" "水鼩" NA "II"
260 "Aix galericulata" NA "species" "鴛鴦" NA "II"
261 "Anas aucklandica" NA "species" "奧克蘭鴨" NA "I"
262 "Anas bernieri" NA "species" "馬島麻斑鴨" NA "II"
263 "Anas chlorotis" NA "species" "紐西蘭棕鴨" NA "I"
264 "Anas formosa" NA "species" "花臉鴨" "巴鴨" "II"
265 "Anas laysanensis" NA "species" "雷仙島鴨" NA "I"
266 "Anas nesiotis" NA "species" "坎貝爾鴨" NA "I"
267 "Asarcornis scutulata" "Synonym : Cairina scutulata" "species" "白翅棲鴨" NA "I"
268 "Aythya baeri" NA "species" "青頭潛鴨" NA "II"
269 "Branta canadensis leucopareia" NA "infraspecies" "阿留申黑頰黑雁" NA "I"
270 "Branta ruficollis" NA "species" "紅胸黑雁" NA "II"
271 "Branta sandvicensis" NA "species" "黃額黃雁" NA "I"
272 "Coscoroba coscoroba" NA "species" "扁嘴鵝" NA "II"
273 "Cygnus melancoryphus" NA "species" "黑頸天鵝" NA "II"
274 "Dendrocygna arborea" NA "species" "黑嘴樹鴨" NA "II"
275 "Oxyura leucocephala" NA "species" "白頭硬尾鴨" NA "II"
276 "Rhodonessa caryophyllacea" "possibly extinct" "species" "粉頭鴨" "可能已滅絕" "I"
277 "Sarkidiornis melanotos" NA "species" "瘤鴨" NA "II"
278 "Trochilidae spp." "Except the species included in Endangered Species" "family" "蜂鳥科所有種" "瀕臨絕種物種除外" "II"
279 "Glaucis dohrnii" NA "species" "鉤喙蜂鳥" NA "I"
280 "Glareola maldivarum" NA "species" "燕<U+9D34>" NA "III"
281 "Hydrophasianus chirurgus" NA "species" "水雉" "雉尾水雉" "II"
282 "Rostratula benghalensis" NA "species" "彩鷸" NA "II"
283 "Calidris pygmaea" "Synonym : Eurynorhynchus pygmeus" "species" "琵嘴鷸" NA "II"
284 "Calidris canutus" NA "species" "紅腹濱鷸" NA "III"
285 "Limosa limosa" NA "species" "黑尾鷸" NA "III"
286 "Limnodromus semipalmatus" NA "species" "半蹼鷸" NA "III"
287 "Numenius arquata" NA "species" "白腰杓鷸" "大杓鷸" "III"
288 "Numenius madagascariensis" NA "species" "紅腰杓鷸" NA "III"
289 "Numenius borealis" NA "species" "極北杓鷸" NA "I"
290 "Numenius tenuirostris" NA "species" "細嘴杓鷸" NA "I"
291 "Tringa guttifer" NA "species" "諾氏鷸" NA "I"
292 "Calidris tenuirostris" NA "species" "大濱鷸" NA "III"
293 "Turnix sylvaticus" NA "species" "林三趾鶉" NA "III"
294 "Egretta eulophotes" NA "species" "唐白鷺" NA "II"
295 "Gorsachius goisagi" NA "species" "麻鷺" NA "III"
296 "Balaeniceps rex" NA "species" "鯨頭鸛" NA "II"
297 "Ciconia boyciana" NA "species" "東方白鸛" NA "I"
