"Protected species list number" "Scientific name" "note" "rank" "Chinese common name" "note_chinese" "Protected Species category"
371 "Colinus virginianus ridgwayi" NA "infraspecies" "山齒鶉" NA "I"
372 "Coturnix chinensis" "Excludes the domesticated form" "species" "藍胸鶉" "馴養型除外" "II"
373 "Crossoptilon crossoptilon" NA "species" "藏馬雞" NA "I"
374 "Crossoptilon mantchuricum" NA "species" "褐馬雞" NA "I"
375 "Gallus sonneratii" NA "species" "灰原雞" NA "II"
376 "Ithaginis cruentus" NA "species" "血雉" NA "II"
377 "Lophophorus impejanus" NA "species" "棕尾虹雉" NA "I"
378 "Lophophorus lhuysii" NA "species" "綠尾虹雉" NA "I"
379 "Lophophorus sclateri" NA "species" "白尾梢虹雉" NA "I"
380 "Lophura edwardsi" NA "species" "愛德華氏鷴" NA "I"
381 "Lophura swinhoii" NA "species" "藍腹鷴" NA "II"
382 "Pavo muticus" NA "species" "綠孔雀" NA "II"
383 "Phasianus colchicus" NA "species" "環頸雉" NA "II"
384 "Polyplectron bicalcaratum" NA "species" "灰孔雀雉" NA "II"
385 "Polyplectron germaini" NA "species" "眼斑孔雀雉" NA "II"
386 "Polyplectron malacense" NA "species" "鳳冠孔雀雉" NA "II"
387 "Polyplectron napoleonis" NA "species" "巴拉望孔雀雉" NA "I"
388 "Polyplectron schleiermacheri" NA "species" "婆羅洲孔雀雉" NA "II"
389 "Rheinardia ocellata" NA "species" "鳳頭斑眼雉" NA "I"
390 "Syrmaticus ellioti" NA "species" "白頸長尾雉" NA "I"
391 "Syrmaticus humiae" NA "species" "黑頸長尾雉" NA "I"
392 "Syrmaticus mikado" NA "species" "黑長尾雉" "帝雉" "II"
393 "Tetraogallus caspius" NA "species" "裡海雪雞" NA "I"
394 "Tetraogallus tibetanus" NA "species" "藏雪雞" NA "I"
395 "Tragopan blythii" NA "species" "灰腹角雉" NA "I"
396 "Tragopan caboti" NA "species" "黃腹角雉" NA "I"
397 "Tragopan melanocephalus" NA "species" "黑頭角雉" NA "I"
398 "Tympanuchus cupido attwateri" NA "infraspecies" "草原榛雞" NA "II"
399 "Gruidae spp." "Except the species included in Endangered Species" "family" "鶴科所有種" "瀕臨絕種物種除外" "II"
400 "Grus americana" NA "species" "美洲鶴" NA "I"
401 "Grus canadensis nesiotes" NA "infraspecies" "古巴沙丘鶴" NA "I"
402 "Grus canadensis pulla" NA "infraspecies" "密西西比沙丘鶴" NA "I"
403 "Grus japonensis" NA "species" "丹頂鶴" NA "I"
404 "Grus leucogeranus" NA "species" "白鶴" NA "I"
405 "Grus monacha" NA "species" "白頭鶴" NA "I"
406 "Grus nigricollis" NA "species" "黑頸鶴" NA "I"
407 "Grus vipio" NA "species" "白枕鶴" NA "I"
408 "Otididae spp." "Except the species included in Endangered Species" "family" "鴇科所有種" "瀕臨絕種物種除外" "II"
409 "Ardeotis nigriceps" NA "species" "大印度鴇" NA "I"
410 "Chlamydotis macqueenii" NA "species" "亞洲波斑鴇" NA "I"
411 "Chlamydotis undulata" NA "species" "波斑鴇" NA "I"
412 "Houbaropsis bengalensis" NA "species" "孟加拉鴇" NA "I"
413 "Gallirallus sylvestris" NA "species" "森秧雞" NA "I"
414 "Gallicrex cinerea" NA "species" "董雞" NA "III"
415 "Rhynochetos jubatus" NA "species" "鷺鶴" NA "I"
416 "Atrichornis clamosus" NA "species" "嘈叢鳥" NA "I"
417 "Coracina macei" NA "species" "花翅山椒鳥" NA "II"
418 "Urocissa caerulea" NA "species" "臺灣藍鵲" NA "III"
419 "Cotinga maculate" NA "species" "帶斑傘鳥" NA "I"
420 "Rupicola spp." NA "genus" "冠傘鳥屬所有種" NA "II"
421 "Xipholena atropurpurea" NA "species" "白翅傘鳥" NA "I"
422 "Emberiza sulphurata" NA "species" "野<U+9D50>" "繡眼<U+9D50>" "II"
423 "Gubernatrix cristata" NA "species" "黑冠黃雀" NA "II"
424 "Emberiza aureola" NA "species" "金<U+9D50>" NA "II"
425 "Paroaria capitate" NA "species" "黃嘴紅蠟嘴<U+9D50>" NA "II"
426 "Paroaria coronate" NA "species" "冠紅蠟嘴<U+9D50>" NA "II"
427 "Tangara fastuosa" NA "species" "七彩唐加拉雀" NA "II"
428 "Amandava Formosa" NA "species" "綠色紅梅花雀" NA "II"
429 "Poephila cincta cincta" NA "infraspecies" "黑喉草雀" NA "II"
430 "Lonchura atricapilla" NA "species" "黑頭文鳥" NA "III"
431 "Carduelis cucullata" NA "species" "黑頭紅金翅" NA "I"
432 "Carduelis yarrellii" NA "species" "黃臉金翅" NA "II"
433 "Carpodacus formosanus" NA "species" "臺灣朱雀" NA "III"
434 "Prunella collaris" NA "species" "岩鷚" NA "III"
435 "Pseudochelidon sirintarae" NA "species" "白眼河燕" NA "I"
436 "Xanthopsar flavus" NA "species" "橙頭黑鸝" NA "I"
437 "Lanius cristatus" NA "species" "紅尾伯勞" NA "III"
438 "Actinodura morrisoniana" NA "species" "紋翼畫眉" NA "III"
439 "Garrulax canorus" NA "species" "畫眉" NA "II"
440 "Garrulax taewanus" NA "species" "臺灣畫眉" NA "II"
441 "Ianthocincla poecilorhyncha" "Synonym : Garrulax poecilorhynchus" "species" "棕噪眉" "竹鳥" "II"
442 "Ianthocincla ruficeps" "Synonym : Garrulax albogularis" "species" "白喉噪眉" "白喉笑鶇" "II"
443 "Liocichla omeiensis" NA "species" "灰胸藪<U+9DA5>" NA "II"
444 "Liocichla steerii" NA "species" "黃胸藪眉" NA "III"
445 "Heterophasia auricularis" NA "species" "白耳畫眉" NA "III"
446 "Lichenostomus melanops cassidix" NA "infraspecies" "頭盔食蜜鳥" NA "II"
447 "Terpsiphone atrocaudata" NA "species" "紫壽帶" "綬帶鳥" "II"
448 "Myiomela leucura" "Synonym : Cinclidium leucura" "species" "白尾鴝" NA "III"
449 "Cyornis ruckii" NA "species" "魯克氏仙鶲" NA "II"
450 "Dasyornis broadbenti litoralis" "possibly extinct" "infraspecies" "棕色刺鳥" "可能已滅絕" "I"
451 "Dasyornis longirostris" NA "species" "長尾刺鳥" NA "I"
452 "Enicurus scouleri" NA "species" "小剪尾" NA "II"
453 "Niltava vivida" NA "species" "黃腹琉璃" NA "III"
454 "Phoenicurus fuliginosus" "Synonym : Rhyacornis fuliginosus" "species" "鉛色水鶇" NA "III"
455 "Picathartes gymnocephalus" NA "species" "禿頭岩鶲" NA "I"
456 "Picathartes oreas" NA "species" "灰頸岩鶲" NA "I"
457 "Tarsiger indicus" "Synonym : Luscinia indica" "species" "白眉林鴝" NA "III"
458 "Tarsiger johnstoniae" NA "species" "栗背林鴝" NA "III"
459 "Oriolus chinensis" NA "species" "黃鸝" NA "II"
460 "Oriolus traillii" NA "species" "朱鸝" NA "II"
461 "Paradisaeidae spp." NA "family" "天堂鳥科所有種" NA "II"
462 "Macholophus holsti" "Synonym : Parus holsti" "species" "黃山雀" NA "II"
463 "Parus monticolus" NA "species" "綠背山雀" "青背山雀" "III"
464 "Periparus ater" "Synonym : Parus ater" "species" "煤山雀" NA "III"
465 "Sittiparus castaneoventris" "Synonym : Sittiparus varius" "species" "赤腹山雀" NA "II"
466 "Passer rutilans" NA "species" "山麻雀" NA "I"
467 "Pitta guajana" NA "species" "藍尾八色鶇" NA "II"
468 "Pitta gurneyi" NA "species" "泰國八色鶇" NA "I"
469 "Pitta kochi" NA "species" "呂宋八色鶇" NA "I"
470 "Pitta nympha" NA "species" "仙八色鶇" "八色鳥" "II"
471 "Pycnonotus taivanus" NA "species" "烏頭翁" NA "II"
472 "Pycnonotus zeylanicus" NA "species" "黃冠鵯" NA "II"
473 "Regulus goodfellowi" NA "species" "臺灣戴菊" "火冠戴菊鳥" "III"
474 "Acridotheres cristatellus" NA "species" "八哥" NA "II"
475 "Gracula religiosa" NA "species" "九官鳥" NA "II"
476 "Leucopsar rothschildi" NA "species" "長冠八哥" NA "I"
477 "Phylloscopus ijimae" NA "species" "飯島柳鶯" "艾吉柳鶯" "III"
478 "Leiothrix argentauris" NA "species" "銀耳相思鳥" NA "II"
479 "Leiothrix lutea" NA "species" "紅嘴相思鳥" NA "II"
480 "Turdus poliocephalus" NA "species" "白頭鶇" NA "II"
481 "Yuhina brunneiceps" NA "species" "冠羽畫眉" NA "III"
482 "Zosterops albogularis" NA "species" "諾福克繡眼" NA "I"
483 "Dendrocopos leucotos" NA "species" "大赤啄木" NA "II"
484 "Dryocopus javensis richardsi" NA "infraspecies" "白腹黑啄木" NA "I"
485 "Picus canus" NA "species" "綠啄木" NA "II"
486 "Pteroglossus aracari" NA "species" "黑頸阿卡拉鴷" NA "II"
487 "Pteroglossus viridis" NA "species" "綠阿卡拉鴷" NA "II"
488 "Ramphastos sulfuratus" NA "species" "厚嘴<U+9D4E><U+9D7C>" NA "II"
489 "Ramphastos toco" NA "species" "鞭絺<U+9D4E><U+9D7C>" NA "II"
490 "Ramphastos tucanus" NA "species" "紅嘴<U+9D4E><U+9D7C>" NA "II"
491 "Ramphastos vitellinus" NA "species" "凹嘴<U+9D4E><U+9D7C>" NA "II"
492 "Podilymbus gigas" NA "species" "巨鷿鷈" NA "I"
493 "Cacatua alba" NA "species" "白鳳頭鸚鵡" NA "II"
494 "Cacatua galerita" NA "species" "葵花鳳頭鸚鵡" NA "II"
495 "Cacatua goffiniana" "Synonym : Cacatua goffini" "species" "戈芬氏鳳頭鸚鵡" NA "I"
496 "Cacatua haematuropygia" NA "species" "紅肛鳳頭鸚鵡" NA "I"
497 "Cacatua leadbeateri" NA "species" "車輪冠鳳頭鸚鵡" NA "II"
498 "Cacatua moluccensis" NA "species" "鮭冠鸚鵡" NA "I"
499 "Cacatua ophthalmica" NA "species" "藍眼鳳頭鸚鵡" NA "II"
500 "Cacatua sulphurea" NA "species" "小葵花鳳頭鸚鵡" NA "I"
501 "Calyptorhynchus banksii" NA "species" "紅尾黑巴丹鳳頭鸚鵡" NA "II"
502 "Probosciger aterrimus" NA "species" "棕櫚美冠鸚鵡" NA "I"
503 "Chalcopsitta atra" NA "species" "酋長鸚鵡" NA "II"
504 "Eos histrio" NA "species" "紅藍吸蜜鸚鵡" NA "I"
505 "Vini ultramarina" NA "species" "深藍吸蜜鸚鵡" NA "I"
506 "Alisterus scapularis" NA "species" "澳洲國王鸚鵡" NA "II"
507 "Amazona aestiva xanthopteryx" NA "infraspecies" "黃翼藍帽亞馬遜鸚鵡" NA "II"
508 "Amazona albifrons" NA "species" "白額亞馬遜鸚鵡" NA "II"
509 "Amazona amazonica" NA "species" "橙翅亞馬遜鸚鵡" NA "II"
510 "Amazona arausiaca" NA "species" "紅項亞馬遜鸚哥" NA "I"
511 "Amazona auropalliata" NA "species" "黃領帽亞馬遜鸚鵡" NA "I"
512 "Amazona autumnalis" NA "species" "紅額亞馬遜鸚鵡" NA "II"
513 "Amazona barbadensis" NA "species" "黃肩亞馬遜鸚哥" NA "I"
514 "Amazona brasiliensis" NA "species" "紅尾亞馬遜鸚哥" NA "I"
515 "Amazona farinosa" NA "species" "美麗亞馬遜鸚鵡" NA "II"
516 "Amazona finschi" NA "species" "淡紫冠亞馬遜鸚哥" NA "I"
517 "Amazona guildingii" NA "species" "聖文森亞馬遜鸚哥" NA "I"
518 "Amazona imperialis" NA "species" "帝王亞馬遜鸚哥" NA "I"
519 "Amazona leucocephala" NA "species" "古巴亞馬遜鸚哥" NA "I"
520 "Amazona ochrocephala" NA "species" "黃帽亞馬遜鸚鵡" NA "II"
521 "Amazona oratrix" NA "species" "黃頭亞馬遜鸚哥" NA "I"
522 "Amazona pretrei" NA "species" "紅眼鏡亞馬遜鸚哥" NA "I"
523 "Amazona rhodocorytha" NA "species" "紅額亞馬遜鸚哥" NA "I"
524 "Amazona tucumana" NA "species" "赤楊亞馬遜鸚哥" NA "I"
525 "Amazona versicolor" NA "species" "聖蘆亞馬遜鸚哥" NA "I"
526 "Amazona vinacea" NA "species" "紅胸亞馬遜鸚哥" NA "I"
527 "Amazona viridigenalis" NA "species" "紅冠亞馬遜鸚哥" NA "I"
528 "Amazona vittata" NA "species" "波多亞馬遜鸚哥" NA "I"
529 "Anodorhynchus spp." NA "genus" "琉璃金剛鸚鵡屬所有種" NA "I"
530 "Ara ambiguous" NA "species" "大綠金剛鸚鵡" NA "I"
531 "Ara ararauna" NA "species" "藍黃金剛鸚鵡" NA "II"
532 "Ara chloroptera" NA "species" "綠翅金剛鸚鵡" NA "II"
533 "Ara glaucogularis" NA "species" "藍喉金剛鸚鵡" NA "I"
534 "Ara macao" NA "species" "緋紅金剛鸚鵡" NA "I"
535 "Ara militaris" NA "species" "軍用金剛鸚鵡" NA "I"
536 "Ara rubrogenys" NA "species" "紅額金剛鸚鵡" NA "I"
537 "Aratinga weddellii" NA "species" "紅額亞馬遜鸚鵡" NA "II"
538 "Coracopsis nigra" NA "species" "非洲黑鸚鵡" NA "II"
539 "Coracopsis vasa" NA "species" "馬島鸚鵡" NA "II"
540 "Cyanopsitta spixii" NA "species" "小藍金剛鸚鵡" NA "I"
541 "Cyanoramphus cookii" NA "species" "諾福克紅額鸚鵡" NA "I"
542 "Cyanoramphus forbesi" NA "species" "黃額鸚鵡" NA "I"
543 "Cyanoramphus novaezelandiae" NA "species" "紅額鸚鵡" NA "I"
544 "Cyanoramphus saisseti" NA "species" "新加里東紅額鸚鵡" NA "I"
545 "Cyclopsitta diophthalma coxeni" NA "infraspecies" "雙眼無花果鸚鵡" NA "I"
546 "Eunymphicus cornutus" NA "species" "角鸚鵡" NA "I"
547 "Guarouba guarouba" NA "species" "金色鸚哥" NA "I"
548 "Neophema chrysogaster" NA "species" "藍翅鸚鵡" NA "I"
549 "Ognorhynchus icterotis" NA "species" "黃耳鸚哥" NA "I"
550 "Pezoporus occidentalis" "Synonym : Geopsittacus occidentalis; Possibly extinct" "species" "夜鸚鵡" "可能已滅絕" "I"
551 "Pezoporus wallicus" NA "species" "地棲鸚鵡" NA "I"
552 "Pionites leucogaster" NA "species" "金頭凱克鸚鵡" NA "II"
553 "Pionopsitta pileata" NA "species" "紅帽鸚哥" NA "I"
554 "Poicephalus robustus" NA "species" "好望角鸚鵡" NA "II"
555 "Primolius couloni" NA "species" "藍頭金剛鸚鵡" NA "I"
556 "Primolius maracana" NA "species" "藍翅金剛鸚鵡" NA "I"
557 "Psephotus chrysopterygius" NA "species" "金肩鸚鵡" NA "I"
558 "Psephotus dissimilis" NA "species" "黃肩長尾鸚鵡" NA "I"
559 "Psephotus pulcherrimus" "extinct" "species" "樂園鸚鵡" "已滅絕" "I"
560 "Psittacula echo" NA "species" "模里西斯環頸鸚鵡" NA "I"
561 "Psittacus erithacus" NA "species" "灰鸚鵡" NA "I"
562 "Pyrrhura cruentata" NA "species" "紅斑長尾鸚鵡" NA "I"
563 "Rhynchopsitta spp." NA "genus" "厚嘴鸚鵡屬所有種" NA "I"
564 "Strigops habroptilus" NA "species" "貓面鸚鵡" NA "I"
565 "Rhea pennata" "Synonym : Pterocnemia pennata" "species" "美洲小鴕" NA "I"
566 "Rhea americana" NA "species" "美洲鴕" NA "II"
567 "STRIGIFORMES spp." "Except the species included in Endangered Species" "order" "鴞形目所有種" "瀕臨絕種物種除外" "II"
568 "Asio flammeus" NA "species" "短耳鴞" NA "II"
569 "Asio otus" NA "species" "長耳鴞" NA "II"
570 "Glaucidium brodiei" NA "species" "鵂鶹" NA "II"
571 "Heteroglaux blewitti" NA "species" "林斑小鴞" NA "I"
572 "Ketupa flavipes" NA "species" "黃魚鴞" NA "II"
573 "Mimizuku gurneyi" NA "species" "巨角鴞" NA "I"
574 "Ninox japonica" "Synonym : Ninox scutulata" "species" "褐鷹鴞" NA "II"
575 "Ninox natalis" NA "species" "栗鷹鴞" NA "I"
576 "Otus elegans botelensis" NA "infraspecies" "蘭嶼角鴞" "優雅角鴞" "II"
577 "Otus lettia" "Synonym : Otus bakkamoena" "species" "領角鴞" NA "II"
578 "Otus spilocephalus" NA "species" "黃嘴角鴞" NA "II"
579 "Otus sunia" NA "species" "東方角鴞" NA "II"
580 "Strix leptogrammica" NA "species" "褐林鴞" NA "II"
581 "Strix nivicolum" "Synonym : Strix aluco" "species" "東方灰林鴞" "灰林鴞" "II"
582 "Tyto longimembris" "Synonym : Tyto capensis" "species" "草鴞" NA "I"
583 "Tyto soumagnei" NA "species" "馬島草鴞" NA "I"
584 "Tinamus solitarius" NA "species" "孤共鳥" NA "I"
585 "Pharomachrus mocinno" NA "species" "綠咬鵑" NA "I"
586 "Alligator sinensis" NA "species" "揚子鱷" NA "I"
587 "Caiman crocodilus apaporiensis" NA "infraspecies" "眼鏡凱門鱷阿帕波里斯河亞種" NA "I"
588 "Caiman latirostris" "Except the population of Argentina" "species" "寬吻凱門鱷" "阿根廷族群除外" "I"
589 "Melanosuchus niger" "Except the population of Brazil, Ecuador" "species" "黑凱門鱷" "巴西及厄瓜多族群除外" "I"
590 "Crocodylus acutus" "Except the population of Cuba" "species" "美洲鱷" "古巴族群除外" "I"
591 "Mecistops cataphractus" "Synonym :Crocodylus cataphractus" "species" "非洲細吻鱷" NA "I"
592 "Crocodylus intermedius" NA "species" "奧利諾科鱷" NA "I"
593 "Crocodylus mindorensis" NA "species" "菲律賓鱷" NA "I"
594 "Crocodylus moreletii" NA "species" "瓜地馬拉鱷" NA "I"
595 "Crocodylus niloticus" "Except the populations of Botswana, Ethiopia, Kenya, Madagascar, Malawi, Mozambique, Namibia, South Africa, Uganda, the United Republic of Tanzania, Zambia and Zimbabwe" "species" "尼羅鱷" "波札那、衣索比亞、肯亞、馬達加斯加、馬拉威、莫三比克、納米比亞、南非、烏干達、坦尚尼亞、尚比亞和辛巴威之族群除外" "I"
596 "Crocodylus palustris" NA "species" "沼澤鱷" NA "I"
597 "Crocodylus porosus" "Except the populations of Australia, Indonesia and Papua New Guinea" "species" "河口鱷" "澳大利亞、印尼和巴布亞紐幾內亞之族群除外" "I"
598 "Crocodylus rhombifer" NA "species" "古巴鱷" NA "I"
599 "Crocodylus siamensis" NA "species" "暹羅鱷" NA "I"
600 "Osteolaemus tetraspis" NA "species" "侏儒鱷" NA "I"
601 "Tomistoma schlegelii" NA "species" "馬來長嘴鱷" NA "I"
602 "Gavialis gangeticus" NA "species" "恆河鱷" NA "I"
603 "Sphenodon spp." NA "genus" "刺背鱷蜥屬所有種" NA "I"
604 "Japalura luei" NA "species" "呂氏攀蜥" NA "II"
605 "Japalura makii" NA "species" "牧氏攀蜥" NA "II"
606 "Dopasia harti" "Synonym : Ophisaurus harti" "species" "哈特氏蛇蜥" "蛇蜥、臺灣蛇蜥" "II"
607 "Abronia anzuetoi" NA "species" "安氏樹鱷蜥" NA "I"
608 "Abronia campbelli" NA "species" "坎氏樹鱷蜥" NA "I"
609 "Abronia fimbriata" NA "species" "飾緣樹鱷蜥" NA "I"
610 "Abronia frosti" NA "species" "弗氏樹鱷蜥" NA "I"
611 "Abronia meledona" NA "species" "聖山樹鱷蜥" NA "I"
612 "Archaius spp." NA "genus" "賽席爾變色龍屬所有種" NA "II"
613 "Bradypodion spp." NA "genus" "侏儒變色龍屬所有種" NA "II"
614 "Brookesia spp." "Except the species included in Endangered Species" "genus" "枯葉變色龍屬所有種" "瀕臨絕種物種除外" "II"
615 "Brookesia perarmata" NA "species" "玫瑰枯葉變色龍" NA "I"
616 "Calumma spp." NA "genus" "瘤冠變色龍屬所有種" NA "II"
617 "Chamaeleo spp." "Except Chamaeleo calyptratus" "genus" "變色龍屬所有種" "高冠變色龍Chamaeleo calyptratus除外" "II"
618 "Furcifer spp." NA "genus" "馬達加斯加變色龍屬所有種" NA "II"
619 "Kinyongia spp." NA "genus" "非洲變色龍屬所有種" NA "II"
620 "Nadzikambia spp." NA "genus" "木蘭吉山變色龍屬所有種" NA "II"
621 "Trioceros spp." NA "genus" "三角變色龍亞屬所有種" NA "II"
622 "Cordylus spp." NA "genus" "環尾蜥屬所有種" NA "II"
623 "Cnemaspis psychedelica" NA "species" "幻彩壁虎" NA "I"
624 "Gekko kikuchii" NA "species" "菊池氏壁虎" "蘭嶼守宮、菊池氏蚧蛤" "II"
625 "Lepidodactylus yami" NA "species" "雅美鱗趾虎" "雅美鱗趾蝎虎" "II"
626 "Lygodactylus williamsi" NA "species" "鈷藍日守宮" NA "I"
627 "Nactus serpensinsula" NA "species" "蛇島弓趾虎" NA "II"
628 "Naultinus spp." NA "genus" "紐西蘭壁虎屬所有種" NA "II"
629 "Uroplatus spp." NA "genus" "馬達加斯加葉尾壁虎屬所有種" NA "II"
630 "Heloderma spp." "Except the species included in Endangered Species" "genus" "毒蜥屬所有種" "瀕臨絕種物種除外" "II"
631 "Heloderma horridum charlesbogerti" NA "infraspecies" "墨西哥毒蜥瓜地馬拉亞種" NA "I"
632 "Brachylophus spp." NA "genus" "斐濟鬣蜥屬所有種" NA "I"
633 "Conolophus spp." NA "genus" "陸鬣蜥屬所有種" NA "II"
634 "Ctenosaura bakeri" NA "species" "烏提拉刺尾鬣蜥" NA "II"
635 "Ctenosaura melanosterna" NA "species" "阿關刺尾鬣蜥" NA "II"
636 "Ctenosaura oedirhina" NA "species" "羅騰刺尾鬣蜥" NA "II"
637 "Ctenosaura palearis" NA "species" "拉刺尾鬣蜥" NA "II"
638 "Cyclura spp." NA "genus" "圓尾鬣蜥屬所有種" NA "I"
639 "Iguana spp." "Except Iguana iguana" "genus" "美洲鬣蜥屬所有種" "綠鬣蜥Iguana iguana除外" "II"
640 "Phrynosoma blainvillii" NA "species" "布蘭維爾斯角蜥" NA "II"
641 "Phrynosoma cerroense" NA "species" "島角蜥" NA "II"
642 "Phrynosoma coronatum" NA "species" "海岸角蜥" NA "II"
643 "Phrynosoma wigginsi" NA "species" "海灣角蜥" NA "II"
644 "Sauromalus varius" NA "species" "變色斑紋鬣蜥" NA "I"
645 "Gallotia simonyi" NA "species" "西氏加納利群島蜥" NA "I"
646 "Podarcis lilfordi" NA "species" "利氏壁蜥" NA "II"
647 "Podarcis pityusensis" NA "species" "依比茲壁蜥" NA "II"
648 "Takydromus sauteri" NA "species" "梭德氏草蜥" "南臺草蜥" "III"
649 "Lanthanotidae spp." NA "family" "婆羅蜥科" "無耳巨蜥科所有種" "II"
650 "Corucia zebrata" NA "species" "所羅門蜥" NA "II"
651 "Crocodilurus amazonicus" NA "species" "鱷尾蜥" NA "II"
652 "Dracaena spp." NA "genus" "閃光蜥屬所有種" NA "II"
653 "Varanus spp." "Except the species included in Endangered Species" "genus" "巨蜥屬所有種" "瀕臨絕種物種除外" "II"
654 "Varanus bengalensis" NA "species" "孟加拉巨蜥" NA "I"
655 "Varanus flavescens" NA "species" "黃巨蜥" NA "I"
656 "Varanus griseus" NA "species" "沙漠巨蜥" NA "I"
657 "Varanus komodoensis" NA "species" "科摩多巨蜥" NA "I"
658 "Varanus nebulosus" NA "species" "點斑巨蜥" NA "I"
659 "Shinisaurus crocodilurus" NA "species" "瑤山鱷蜥" NA "I"
660 "Acrantophis spp." NA "genus" "馬達加斯加地蚺屬所有種" NA "I"
661 "Boa constrictor occidentalis" NA "infraspecies" "虹尾蚺阿根廷亞種" NA "I"
662 "Epicrates inornatus" NA "species" "波多黎各虹蚺" NA "I"
663 "Epicrates monensis" NA "species" "莫島虹蚺" NA "I"
664 "Epicrates subflavus" NA "species" "牙買加虹蚺" NA "I"
665 "Sanzinia madagascariensis" NA "species" "馬達加斯加樹蚺" NA "I"
666 "Bolyeriidae spp." "Except the species included in Endangered Species" "family" "雷蛇科所有種" "瀕臨絕種物種除外" "II"
667 "Bolyeria multocarinata" NA "species" "圓島雷蛇" NA "I"
668 "Casarea dussumieri" NA "species" "圓島地蚺" NA "I"
669 "Amphiesma miyajimae" NA "species" "金絲蛇" NA "I"
670 "Clelia clelia" NA "species" "擬蚺蛇" NA "II"
671 "Cyclagras gigas" NA "species" "南美水蛇" NA "II"
672 "Elachistodon westermanni" NA "species" "印度食卵蛇" NA "II"
673 "Hypsiscopus plumbea" "Synonym : Enhydris plumbea" "species" "鉛色水蛇" NA "III"
674 "Euprepiophis mandarinus" "Synonym : Elaphe mandarina" "species" "高砂蛇" NA "III"
675 "Myrrophis chinensis" "Synonym : Enhydris chinensis" "species" "唐水蛇" NA "II"
676 "Elaphe taeniura" "Synonym : Orthriophis taeniurus" "species" "黑眉錦蛇" "錦蛇" "III"
677 "Rhabdophis swinhonis" NA "species" "斯文豪氏游蛇" NA "III"
678 "Sinonatrix annularis" NA "species" "赤腹游蛇" NA "II"
679 "Xenochrophis piscator" NA "species" "草花蛇" NA "III"
680 "Hoplocephalus bungaroides" NA "species" "寬盔頭蛇" NA "II"
681 "Naja kaouthia" NA "species" "單眼紋眼鏡蛇" NA "II"
682 "Naja mandalayensis" NA "species" "緬甸眼鏡蛇" NA "II"
683 "Naja naja" NA "species" "印度眼鏡蛇" NA "II"
684 "Naja oxiana" NA "species" "中亞眼鏡蛇" NA "II"
685 "Naja philippinensis" NA "species" "菲律賓眼鏡蛇" NA "II"
686 "Naja sagittifera" NA "species" "安達曼眼鏡蛇" NA "II"
687 "Naja samarensis" NA "species" "菲南眼鏡蛇" NA "II"
688 "Naja siamensis" NA "species" "暹羅眼鏡蛇" NA "II"
689 "Naja sputatrix" NA "species" "印尼噴毒眼鏡蛇" NA "II"
690 "Naja sumatrana" NA "species" "蘇門答臘噴毒眼鏡蛇" NA "II"
691 "Ophiophagus hannah" NA "species" "眼鏡王蛇" NA "II"
692 "Sinomicrurus hatori" NA "species" "羽鳥氏帶紋赤蛇" NA "II"
693 "Sinomicrurus macclellandi" NA "species" "環紋赤蛇" NA "III"
694 "Sinomicrurus sauteri" NA "species" "梭德氏帶紋赤蛇" "帶紋赤蛇" "II"
695 "Python molurus molurus" NA "infraspecies" "亞洲岩蟒指名亞種" NA "I"
696 "Python reticulatus" NA "species" "網紋蟒" NA "II"
697 "Tropidophiidae spp." NA "family" "林蚺科所有種" NA "II"
698 "Atheris desaixi" NA "species" "肯亞樹<U+8770>" NA "II"
699 "Bitis worthingtoni" NA "species" "肯亞角<U+8770>" "肯亞<U+565D><U+8770>" "II"
700 "Daboia siamensis" "Synonym : Daboia russelii" "species" "鎖蛇" NA "II"
701 "Deinagkistrodon acutus" NA "species" "百步蛇" NA "II"
702 "Ovophis monticola" NA "species" "瑪家山龜殼花" "阿里山龜殼花" "II"
703 "Protobothrops mangshanensis" "Synonym : Trimeresurus mangshanensis" "species" "莽山烙鐵頭蛇" NA "II"
704 "Trimeresurus gracilis" NA "species" "菊池氏龜殼花" NA "III"
705 "Vipera ursinii" NA "species" "草原<U+8770>" NA "I"
706 "Montivipera wagneri" "Synonym : Vipera wagneri" "species" "魏氏蝮蛇" NA "II"
707 "Carettochelys insculpta" NA "species" "豬鼻龜" NA "II"
708 "Chelodina mccordi" NA "species" "羅地島蛇頸龜" NA "II"
709 "Pseudemydura umbrina" NA "species" "澳洲短頸龜" NA "I"
710 "Dermatemys mawii" NA "species" "泥龜" NA "II"
711 "Glyptemys muhlenbergii" NA "species" "牟氏水龜" NA "I"
712 "Terrapene coahuila" NA "species" "沼澤箱龜" NA "I"
713 "Batagur affinis" NA "species" "馬來潮龜" NA "I"
714 "Batagur baska" NA "species" "潮龜" NA "I"
715 "Batagur borneoensis" NA "species" "三線潮龜" NA "II"
716 "Batagur dhongoka" NA "species" "三線菱背龜" NA "II"
717 "Batagur kachuga" NA "species" "紅額潮龜" NA "II"
718 "Batagur trivittata" NA "species" "緬甸菱背龜" NA "II"
719 "Cuora spp." "Except Cuora flavomarginata" "genus" "閉殼龜屬所有種" "食蛇龜除外" "II"
720 "Cuora flavomarginata" NA "species" "食蛇龜" NA "I"
721 "Cyclemys spp." NA "genus" "攝龜屬所有種" NA "II"
722 "Geoclemys hamiltonii" NA "species" "斑點池龜" NA "I"
