"auto_id" "taxon_name" "name_c" "category" "version" "criteria" "adjusting" "taxon_group" "name_code"
60 "Egretta eulophotes" "唐白鷺" "NVU" "v1080131" "D" "[-1]" "bird" "380128"
61 "Milvus migrans" "黑鳶" "NVU" "v1080131" "D" NA "bird" "404610"
62 "Gallicrex cinerea" "董雞" "NVU" "v1080131" "D" "[-1]" "bird" "380298"
63 "Hydrophasianus chirurgus" "水雉" "NVU" "v1080131" "D" NA "bird" "380163"
64 "Numenius arquata" "大杓鷸" "NVU" "v1080131" "C1" "[-1]" "bird" "380235"
65 "Limosa limosa" "黑尾鷸" "NVU" "v1080131" "C1" "[-1]" "bird" "380232"
66 "Limosa lapponica" "斑尾鷸" "NVU" "v1080131" "C1" "[-1]" "bird" "380231"
67 "Calidris canutus" "紅腹濱鷸" "NVU" "v1080131" "A2a;C1" "[-1]" "bird" "432230"
68 "Calidris temminckii" "丹氏濱鷸" "NVU" "v1080131" "C1" "[-1]" "bird" "380221"
69 "Calidris ruficollis" "紅胸濱鷸" "NVU" "v1080131" "A2a; C1" "[-1]" "bird" "380219"
70 "Calidris alpina" "黑腹濱鷸" "NVU" "v1080131" "A2a" "[-1]" "bird" "432232"
71 "Macropygia tenuirostris" "長尾鳩" "NVU" "v1080131" "D" NA "bird" "432244"
72 "Treron formosae formosae" "紅頭綠鳩" "NVU" "v1080131" "D" NA "bird" "380270"
73 "Glaucidium brodiei pardalotum" "鵂鶹" "NVU" "v1080131" "C1" NA "bird" "380499"
74 "Strix leptogrammica" "褐林鴞" "NVU" "v1080131" "D" NA "bird" "380507"
75 "Ceryle rudis" "斑翡翠" "NVU" "v1080131" "C1;D" "[-2]" "bird" "432253"
76 "Picus canus" "綠啄木" "NVU" "v1080131" "D" NA "bird" "380494"
77 "Coracina macei" "花翅山椒鳥" "NVU" "v1080131" "D" NA "bird" "380317"
78 "Lanius schach" "棕背伯勞" "NVU" "v1080131" "C1" NA "bird" "432267"
79 "Oriolus chinensis" "黃鸝" "NVU" "v1080131" "D" NA "bird" "380330"
80 "Garrulus glandarius taivanus" "松鴉" "NVU" "v1080131" "C1" NA "bird" "425203"
81 "Corvus torquatus" "玉頸鴉" "NVU" "v1080131" "D" "[-1]" "bird" "419675"
82 "Sitta europaea" "茶腹<U+9CFE>" "NVU" "v1080131" "A2a" NA "bird" "380444"
83 "Pycnonotus taivanus" "烏頭翁" "NVU" "v1080131" "A3ce" NA "bird" "380440"
84 "Phylloscopus ijimae" "飯島柳鶯" "NVU" "v1080131" "D" "[-1]" "bird" "404634"
85 "Enicurus scouleri fortis" "小剪尾" "NVU" "v1080131" "C1" NA "bird" "380375"
86 "Prunella collaris fennelli" "岩鷚" "NVU" "v1080131" "C1" NA "bird" "380435"
87 "Emberiza sulphurata" "野<U+9D50>" "NVU" "v1080131" "C1;D" NA "bird" "404581"
88 "Pyrrhula erythaca owstoni" "灰鷽" "NVU" "v1080131" "A2a+3a; C1" NA "bird" "380359"
89 "Lonchura atricapilla formosana" "黑頭文鳥" "NVU" "v1080131" "C1; D" NA "bird" "420206"
90 "Calonectris leucomelas" "大水薙鳥" "NNT" "v1080131" "A2b" "[-1]" "bird" "380200"
91 "Hydrobates monorhis" "黑叉尾海燕" "NNT" "v1080131" "A2b; C1" "[-1]" "bird" "380203"
92 "Platalea minor" "黑面琵鷺" "NNT" "v1080131" "D" NA "bird" "380259"
93 "Pernis ptilorhynchus" "東方蜂鷹" "NNT" "v1080131" "D" "[-1]" "bird" "404628"
94 "Ictinaetus malaiensis" "林鵰" "NNT" "v1080131" "D" NA "bird" "380113"
95 "Accipiter soloensis" "赤腹鷹" "NNT" "v1080131" "A2a" "[-2]" "bird" "380099"
96 "Lewinia striata taiwanus" "灰胸秧雞" "NNT" "v1080131" "B2b(ii)" NA "bird" "380300"
97 "Haematopus ostralegus" "蠣<U+9D34>" "NNT" "v1080131" "D" "[-2]" "bird" "380145"
98 "Pluvialis squatarola" "灰斑<U+9D34>" "NNT" "v1080131" "A2b" "[-2]" "bird" "420944"
99 "Charadrius leschenaultii" "鐵嘴<U+9D34>" "NNT" "v1080131" "A2a; C1" "[-1]" "bird" "380141"
100 "Tringa brevipes" "黃足鷸" "NNT" "v1080131" "C1" "[-1]" "bird" "419632"
101 "Numenius minutus" "小杓鷸" "NNT" "v1080131" "D" "[-1]" "bird" "380237"
102 "Sternula albifrons" "小燕鷗" "NNT" "v1080131" "A2a" "[-1]" "bird" "425231"
103 "Otus elegans botelensis" "蘭嶼角鴞" "NNT" "v1080131" "B1a+2a;  D" NA "bird" "380503"
104 "Strix nivicolum yamadae" "東方灰林鴞" "NNT" "v1080131" "D" NA "bird" "427288"
105 "Halcyon smyrnensis" "蒼翡翠" "NNT" "v1080131" "D" "[-2]" "bird" "380276"
106 "Dendrocopos leucotos insularis" "大赤啄木" "NNT" "v1080131" "D" NA "bird" "380492"
107 "Pericrocotus solaris" "灰喉山椒鳥" "NNT" "v1080131" "C1" NA "bird" "380333"
