"auto_id" "taxon_name" "name_c" "redlist_taxon_rank" "category" "version" "criteria" "adjusting" "taxon_group" "name_code" "TBN_scientific_name" "Different_scientific_name" "TBN_taxon_rank" "tp_tid" "ra_tid" "uuid"
28 "Buergeria japonica" "日本樹蛙" "species" "NLC" "v1080131" NA NA "amphibian" "380043" "Buergeria japonica" NA "species" 380043 380043 "568ba3b8-0071-4ed7-b3ac-a6a9cb791873"
29 "Buergeria robusta" "褐樹蛙" "species" "NLC" "v1080131" NA NA "amphibian" "380044" "Buergeria robusta" NA "species" 380044 380044 "4eecc993-1f40-4c39-a245-4943530e4fb7"
30 "Kurixalus idiootocus" "面天樹蛙" "species" "NLC" "v1080131" NA NA "amphibian" "380046" "Kurixalus idiootocus" NA "species" 380046 380046 "483cec07-4b28-4ddb-a0a6-13788def5ec5"
31 "Polypedates braueri" "布氏樹蛙" "species" "NLC" "v1080131" NA NA "amphibian" "422106" "Polypedates braueri" NA "species" 422106 422106 "54423ea5-09c1-4e01-abae-24cece5c3918"
32 "Rhacophorus moltrechti" "莫氏樹蛙" "species" "NLC" "v1080131" NA NA "amphibian" "380050" "Rhacophorus moltrechti" NA "species" 380050 380050 "174930ef-4c05-4db5-801d-700f00bcf311"
33 "Microhyla butleri" "巴氏小雨蛙" "species" "NDD" "v1080131" NA NA "amphibian" "380025" "Microhyla butleri" NA "species" 380025 380025 "a0499d8b-42ee-4fd4-ab4a-f60138d4ed07"
34 "Kurixalus berylliniris" "碧眼樹蛙" "species" "NDD" "v1080131" NA NA "amphibian" "431333" "Kurixalus berylliniris" NA "species" 431333 431333 "84826748-ecfd-475a-bf7a-f094c7a46dd6"
35 "Kurixalus eiffingeri" "艾氏樹蛙" "species" "NDD" "v1080131" NA NA "amphibian" "380045" "Kurixalus eiffingeri" NA "species" 380045 380045 "ec171c0f-c458-4949-90d2-8a69dfa073c6"
36 "Kurixalus wangi" "王氏樹蛙" "species" "NDD" "v1080131" NA NA "amphibian" "431334" "Kurixalus wangi" NA "species" 431334 431334 "ed69e7ab-386d-4f2c-9d4a-dc4b22e04209"
37 "Fejervarya cancrivora" "海蛙" "species" "NDD" "v1080131" NA NA "amphibian" "416423" "Fejervarya cancrivora" NA "species" 416423 416423 "548afc00-41bb-4980-9cc1-8bbdd9e5860e"
38 "Aythya baeri" "青頭潛鴨" "species" "NCR" "v1080131" "D" NA "bird" "380074" "Aythya baeri" NA "species" 380074 380074 "88627d2d-13c6-4f89-976e-a31805d01c90"
39 "Phasianus colchicus formosanus" "環頸雉" "infraspecies" "NCR" "v1080131" "C2a(ii)" NA "bird" "380290" "Phasianus colchicus formosanus" NA "infraspecies" 380290 380290 "9daa4aa9-c9ed-4ed0-83df-4120e5966cf5"
40 "Turnix sylvaticus" "林三趾鶉" "species" "NCR" "v1080131" "B2b(ii, v); C2a(i); D" NA "bird" "404669" "Turnix sylvaticus" NA "species" 1025729 1025729 "962ba8ec-b2fd-4790-a327-1cbfae41ffba"
41 "Saundersilarus saundersi" "黑嘴鷗" "species" "NCR" "v1080131" "C1" NA "bird" "419698" "Saundersilarus saundersi" NA "species" 419698 419698 "e65826ad-5a8d-468b-aa5e-16df3c5038b8"
42 "Calidris pygmaea" "琵嘴鷸" "species" "NCR" "v1080131" "C1; D" NA "bird" "428564" "Calidris pygmea" "Calidris pygmea" "species" 428564 428564 "18a01f7a-54bc-4a9e-bcb4-1ced9de8eb9d"
43 "Thalasseus bernsteini" "黑嘴端鳳頭燕鷗" "species" "NCR" "v1080131" "D" NA "bird" "419712" "Thalasseus bernsteini" NA "species" 419712 419712 "1ede32c8-c430-4a8c-9763-44b1764d7055"
44 "Synoicus chinensis" "小鵪鶉" "species" "NEN" "v1080131" "B2ab(ii, iii, v); C1" NA "bird" "431229" "Synoicus chinensis" NA "species" 431229 431229 "edb3f65e-d359-49d5-8a9c-67953e89172b"
45 "Ciconia boyciana" "東方白鸛" "species" "NEN" "v1080131" "D" "[-1]" "bird" "404565" "Ciconia boyciana" NA "species" 404565 404565 "8090520b-78f4-4b73-a3cc-177ce26e0b62"
46 "Nisaetus nipalensis" "熊鷹" "species" "NEN" "v1080131" "C2a(ii)" NA "bird" "425229" "Nisaetus nipalensis" NA "species" 1024929 1024929 "9401a1ca-328b-4645-8c6b-3578cfd7c1b8"
47 "Numenius madagascariensis" "黦鷸" "species" "NEN" "v1080131" "D" "[-1]" "bird" "380236" "Numenius madagascariensis" NA "species" 380236 380236 "e19c61df-0873-4e22-a25a-bbdfeacd1147"
48 "Calidris tenuirostris" "大濱鷸" "species" "NEN" "v1080131" "A2a" "[-1]" "bird" "380222" "Calidris tenuirostris" NA "species" 380222 380222 "24b2424d-112c-4e12-8ee4-62d827a64693"
49 "Tringa guttifer" "諾氏鷸" "species" "NEN" "v1080131" "C1; D" "[-1]" "bird" "380248" "Tringa guttifer" NA "species" 380248 380248 "16f7a184-04b2-4511-923a-1a871fabf458"
50 "Tyto longimembris pithecops" "草鴞" "infraspecies" "NEN" "v1080131" "C1" NA "bird" "419716" "Tyto longimembris pithecops" NA "infraspecies" 419716 419716 "de75f994-cf77-4d95-97a7-2c4d93a0d811"
51 "Ketupa flavipes" "黃魚鴞" "species" "NEN" "v1080131" "C1" NA "bird" "380500" "Ketupa flavipes" NA "species" 380500 380500 "5f971330-67d7-4261-b0bc-08e2b3dc158f"
52 "Pitta nympha" "八色鳥" "species" "NEN" "v1080131" "A2b" NA "bird" "380436" "Pitta nympha" NA "species" 380436 380436 "26c84d6e-66bc-4928-842d-86774c26b317"
53 "Garrulax taewanus" "台灣畫眉" "species" "NEN" "v1080131" "A3e+4e" NA "bird" "404589" "Garrulax taewanus" NA "species" 404589 404589 "f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3"
54 "Acridotheres cristatellus formosanus" "台灣八哥" "infraspecies" "NEN" "v1080131" "A2be" NA "bird" "380445" "Acridotheres cristatellus formosanus" NA "infraspecies" 380445 380445 "25535de6-8e38-4b6d-abec-df7c96767537"
55 "Emberiza aureola" "金<U+9D50>" "species" "NEN" "v1080131" "A2b; C1" NA "bird" "380342" "Emberiza aureola" NA "species" 1024219 1024219 "1a8b7d76-debb-4ed3-abf1-5c5125b6025f"
