"","auto_id","Scientific.name_TBNinfra","Scientific.name_RLinfra","Chinese.common.name_RL","category_TWRL","Version","criteria_TWRL","taxon_group_TWRL","name_code_TWRL","taxon_rank_TWRL","tp_tid_infra","ra_tid_infra","taibnet_namecode_infra","uuid_infra","rank_infra","Scientific.name_TBN","Scientific.name_RL","tp_tid_species","ra_tid_species","taibnet_namecode_species","uuid_species","rank_species"
"34",34,"Kurixalus berylliniris","Kurixalus berylliniris","碧眼樹蛙","NDD","v1080131"," ","amphibian","431333","species",431333,431333,431333,"84826748-ecfd-475a-bf7a-f094c7a46dd6","species","Kurixalus berylliniris","Kurixalus berylliniris",431333,431333,431333,"84826748-ecfd-475a-bf7a-f094c7a46dd6","species"
"35",35,"Kurixalus eiffingeri","Kurixalus eiffingeri","艾氏樹蛙","NDD","v1080131"," ","amphibian","380045","species",380045,380045,380045,"ec171c0f-c458-4949-90d2-8a69dfa073c6","species","Kurixalus eiffingeri","Kurixalus eiffingeri",380045,380045,380045,"ec171c0f-c458-4949-90d2-8a69dfa073c6","species"
"36",36,"Kurixalus wangi","Kurixalus wangi","王氏樹蛙","NDD","v1080131"," ","amphibian","431334","species",431334,431334,431334,"ed69e7ab-386d-4f2c-9d4a-dc4b22e04209","species","Kurixalus wangi","Kurixalus wangi",431334,431334,431334,"ed69e7ab-386d-4f2c-9d4a-dc4b22e04209","species"
"37",37,"Fejervarya cancrivora","Fejervarya cancrivora","海蛙","NDD","v1080131"," ","amphibian","416423","species",416423,416423,416423,"548afc00-41bb-4980-9cc1-8bbdd9e5860e","species","Fejervarya cancrivora","Fejervarya cancrivora",416423,416423,416423,"548afc00-41bb-4980-9cc1-8bbdd9e5860e","species"
"38",38,"Aythya baeri","Aythya baeri","青頭潛鴨","NCR","v1080131","D","bird","380074","species",380074,380074,380074,"88627d2d-13c6-4f89-976e-a31805d01c90","species","Aythya baeri","Aythya baeri",380074,380074,380074,"88627d2d-13c6-4f89-976e-a31805d01c90","species"
"39",39,"Phasianus colchicus formosanus","Phasianus colchicus formosanus","環頸雉","NCR","v1080131","C2a(ii)","bird","380290","infraspecies",380290,380290,380290,"9daa4aa9-c9ed-4ed0-83df-4120e5966cf5","infraspecies","Phasianus colchicus","Phasianus colchicus",1025193,1025193,NA,"0fb91a1c-ded5-47cc-882e-fba220e03c26","species"
"40",40,"Turnix sylvaticus","Turnix sylvaticus","林三趾鶉","NCR","v1080131","B2b(ii, v); C2a(i); D","bird","404669","species",1025729,1025729,NA,"962ba8ec-b2fd-4790-a327-1cbfae41ffba","species","Turnix sylvaticus","Turnix sylvaticus",1025729,1025729,NA,"962ba8ec-b2fd-4790-a327-1cbfae41ffba","species"
"41",41,"Saundersilarus saundersi","Saundersilarus saundersi","黑嘴鷗","NCR","v1080131","C1","bird","419698","species",419698,419698,419698,"e65826ad-5a8d-468b-aa5e-16df3c5038b8","species","Saundersilarus saundersi","Saundersilarus saundersi",419698,419698,419698,"e65826ad-5a8d-468b-aa5e-16df3c5038b8","species"
"42",42,"Calidris pygmea","Calidris pygmaea","琵嘴鷸","NCR","v1080131","C1; D","bird","428564","species",428564,428564,428564,"18a01f7a-54bc-4a9e-bcb4-1ced9de8eb9d","species","Calidris pygmea","Calidris pygmaea",428564,428564,428564,"18a01f7a-54bc-4a9e-bcb4-1ced9de8eb9d","species"
"43",43,"Thalasseus bernsteini","Thalasseus bernsteini","黑嘴端鳳頭燕鷗","NCR","v1080131","D","bird","419712","species",419712,419712,419712,"1ede32c8-c430-4a8c-9763-44b1764d7055","species","Thalasseus bernsteini","Thalasseus bernsteini",419712,419712,419712,"1ede32c8-c430-4a8c-9763-44b1764d7055","species"
"44",44,"Synoicus chinensis","Synoicus chinensis","小鵪鶉","NEN","v1080131","B2ab(ii, iii, v); C1","bird","431229","species",431229,431229,431229,"edb3f65e-d359-49d5-8a9c-67953e89172b","species","Synoicus chinensis","Synoicus chinensis",431229,431229,431229,"edb3f65e-d359-49d5-8a9c-67953e89172b","species"
"45",45,"Ciconia boyciana","Ciconia boyciana","東方白鸛","NEN","v1080131","D","bird","404565","species",404565,404565,404565,"8090520b-78f4-4b73-a3cc-177ce26e0b62","species","Ciconia boyciana","Ciconia boyciana",404565,404565,404565,"8090520b-78f4-4b73-a3cc-177ce26e0b62","species"
"46",46,"Nisaetus nipalensis","Nisaetus nipalensis","熊鷹","NEN","v1080131","C2a(ii)","bird","425229","species",1024929,1024929,NA,"9401a1ca-328b-4645-8c6b-3578cfd7c1b8","species","Nisaetus nipalensis","Nisaetus nipalensis",1024929,1024929,NA,"9401a1ca-328b-4645-8c6b-3578cfd7c1b8","species"
"47",47,"Numenius madagascariensis","Numenius madagascariensis","黦鷸","NEN","v1080131","D","bird","380236","species",380236,380236,380236,"e19c61df-0873-4e22-a25a-bbdfeacd1147","species","Numenius madagascariensis","Numenius madagascariensis",380236,380236,380236,"e19c61df-0873-4e22-a25a-bbdfeacd1147","species"
"48",48,"Calidris tenuirostris","Calidris tenuirostris","大濱鷸","NEN","v1080131","A2a","bird","380222","species",380222,380222,380222,"24b2424d-112c-4e12-8ee4-62d827a64693","species","Calidris tenuirostris","Calidris tenuirostris",380222,380222,380222,"24b2424d-112c-4e12-8ee4-62d827a64693","species"
"49",49,"Tringa guttifer","Tringa guttifer","諾氏鷸","NEN","v1080131","C1; D","bird","380248","species",380248,380248,380248,"16f7a184-04b2-4511-923a-1a871fabf458","species","Tringa guttifer","Tringa guttifer",380248,380248,380248,"16f7a184-04b2-4511-923a-1a871fabf458","species"
"50",50,"Tyto longimembris pithecops","Tyto longimembris pithecops","草鴞","NEN","v1080131","C1","bird","419716","infraspecies",419716,419716,419716,"de75f994-cf77-4d95-97a7-2c4d93a0d811","infraspecies","Tyto longimembris","Tyto longimembris",1025744,1025744,NA,"a4ecadb1-8691-4853-9bcd-e136cabb6250","species"
"51",51,"Ketupa flavipes","Ketupa flavipes","黃魚鴞","NEN","v1080131","C1","bird","380500","species",380500,380500,380500,"5f971330-67d7-4261-b0bc-08e2b3dc158f","species","Ketupa flavipes","Ketupa flavipes",380500,380500,380500,"5f971330-67d7-4261-b0bc-08e2b3dc158f","species"
"52",52,"Pitta nympha","Pitta nympha","八色鳥","NEN","v1080131","A2b","bird","380436","species",380436,380436,380436,"26c84d6e-66bc-4928-842d-86774c26b317","species","Pitta nympha","Pitta nympha",380436,380436,380436,"26c84d6e-66bc-4928-842d-86774c26b317","species"
"53",53,"Garrulax taewanus","Garrulax taewanus","台灣畫眉","NEN","v1080131","A3e+4e","bird","404589","species",404589,404589,404589,"f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3","species","Garrulax taewanus","Garrulax taewanus",404589,404589,404589,"f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3","species"
"54",54,"Acridotheres cristatellus formosanus","Acridotheres cristatellus formosanus","台灣八哥","NEN","v1080131","A2be","bird","380445","infraspecies",380445,380445,380445,"25535de6-8e38-4b6d-abec-df7c96767537","infraspecies","Acridotheres cristatellus","Acridotheres cristatellus",1023443,1023443,NA,"56db805c-faf5-417c-8d04-ae8f442ca622","species"
"55",55,"Emberiza aureola","Emberiza aureola","金?","NEN","v1080131","A2b; C1","bird","380342","species",1024219,1024219,NA,"1a8b7d76-debb-4ed3-abf1-5c5125b6025f","species","Emberiza aureola","Emberiza aureola",1024219,1024219,NA,"1a8b7d76-debb-4ed3-abf1-5c5125b6025f","species"
"56",56,"Passer rutilans","Passer rutilans","山麻雀","NEN","v1080131","B2b(iii)+c(ii); C2a(i)","bird","380434","species",1025140,1025140,NA,"50cdf9b2-217c-44e3-94a0-755d0810ffc3","species","Passer rutilans","Passer rutilans",1025140,1025140,NA,"50cdf9b2-217c-44e3-94a0-755d0810ffc3","species"
"57",57,"Aix galericulata","Aix galericulata","鴛鴦","NVU","v1080131","D","bird","380056","species",380056,380056,380056,"76ccc3a9-51b0-4cda-9685-f997e722569c","species","Aix galericulata","Aix galericulata",380056,380056,380056,"76ccc3a9-51b0-4cda-9685-f997e722569c","species"
"58",58,"Anas falcata","Mareca falcata","羅文鴨","NVU","v1080131","D","bird","380061","species",380061,380061,380061,"c9e4084a-8d54-437b-bd05-8d27532139c6","species","Anas falcata","Mareca falcata",380061,380061,380061,"c9e4084a-8d54-437b-bd05-8d27532139c6","species"
"59",59,"Anas crecca","Anas crecca","小水鴨","NVU","v1080131","A2a","bird","380060","species",1023555,1023555,NA,"32c10708-3ffd-4f51-8ac5-ea5d44fa62d0","species","Anas crecca","Anas crecca",1023555,1023555,NA,"32c10708-3ffd-4f51-8ac5-ea5d44fa62d0","species"
"60",60,"Egretta eulophotes","Egretta eulophotes","唐白鷺","NVU","v1080131","D","bird","380128","species",380128,380128,380128,"f5dfc0e5-6e0e-49a6-8b5e-d1c17e8c246d","species","Egretta eulophotes","Egretta eulophotes",380128,380128,380128,"f5dfc0e5-6e0e-49a6-8b5e-d1c17e8c246d","species"
"61",61,"Milvus migrans","Milvus migrans","黑鳶","NVU","v1080131","D","bird","404610","species",1024812,1024812,NA,"3343e3a4-9f28-4f12-81c3-44853ece0b9c","species","Milvus migrans","Milvus migrans",1024812,1024812,NA,"3343e3a4-9f28-4f12-81c3-44853ece0b9c","species"
"62",62,"Gallicrex cinerea","Gallicrex cinerea","董雞","NVU","v1080131","D","bird","380298","species",380298,380298,380298,"e67a95bb-ad16-4e67-b2a8-d962efd5f30f","species","Gallicrex cinerea","Gallicrex cinerea",380298,380298,380298,"e67a95bb-ad16-4e67-b2a8-d962efd5f30f","species"
"63",63,"Hydrophasianus chirurgus","Hydrophasianus chirurgus","水雉","NVU","v1080131","D","bird","380163","species",380163,380163,380163,"3ee45f50-97fe-4a84-b1a5-2e6d4d72c041","species","Hydrophasianus chirurgus","Hydrophasianus chirurgus",380163,380163,380163,"3ee45f50-97fe-4a84-b1a5-2e6d4d72c041","species"
"64",64,"Numenius arquata","Numenius arquata","大杓鷸","NVU","v1080131","C1","bird","380235","species",1024943,1024943,NA,"2a1632b8-e6a2-41da-a4ad-786a156068e0","species","Numenius arquata","Numenius arquata",1024943,1024943,NA,"2a1632b8-e6a2-41da-a4ad-786a156068e0","species"
"65",65,"Limosa limosa","Limosa limosa","黑尾鷸","NVU","v1080131","C1","bird","380232","species",1024659,1024659,NA,"ff6050fa-cdd6-4ed1-9fcc-b7669c86a1b5","species","Limosa limosa","Limosa limosa",1024659,1024659,NA,"ff6050fa-cdd6-4ed1-9fcc-b7669c86a1b5","species"
"66",66,"Limosa lapponica","Limosa lapponica","斑尾鷸","NVU","v1080131","C1","bird","380231","species",1024658,1024658,NA,"0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912","species","Limosa lapponica","Limosa lapponica",1024658,1024658,NA,"0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912","species"
"67",67,"Calidris canutus","Calidris canutus","紅腹濱鷸","NVU","v1080131","A2a;C1","bird","432230","species",1023790,1023790,NA,"c4807bca-e6c0-4dfa-9ae3-3b3050e85a0d","species","Calidris canutus","Calidris canutus",1023790,1023790,NA,"c4807bca-e6c0-4dfa-9ae3-3b3050e85a0d","species"
"68",68,"Calidris temminckii","Calidris temminckii","丹氏濱鷸","NVU","v1080131","C1","bird","380221","species",380221,380221,380221,"8f2d01e3-4ecc-425b-8afb-fbc9daf982d2","species","Calidris temminckii","Calidris temminckii",380221,380221,380221,"8f2d01e3-4ecc-425b-8afb-fbc9daf982d2","species"
"69",69,"Calidris ruficollis","Calidris ruficollis","紅胸濱鷸","NVU","v1080131","A2a; C1","bird","380219","species",380219,380219,380219,"d6d34aa8-6583-4f69-832b-153ef87b9058","species","Calidris ruficollis","Calidris ruficollis",380219,380219,380219,"d6d34aa8-6583-4f69-832b-153ef87b9058","species"
"70",70,"Calidris alpina","Calidris alpina","黑腹濱鷸","NVU","v1080131","A2a","bird","432232","species",1023789,1023789,NA,"e882d691-d35b-4496-864a-c4aaf861d498","species","Calidris alpina","Calidris alpina",1023789,1023789,NA,"e882d691-d35b-4496-864a-c4aaf861d498","species"
"71",71,"Macropygia tenuirostris","Macropygia tenuirostris","長尾鳩","NVU","v1080131","D","bird","432244","species",1024716,1024716,NA,"43ae38ec-0091-45b8-ab7d-a10d1d3cd430","species","Macropygia tenuirostris","Macropygia tenuirostris",1024716,1024716,NA,"43ae38ec-0091-45b8-ab7d-a10d1d3cd430","species"
"72",72,"Treron formosae formosae","Treron formosae formosae","紅頭綠鳩","NVU","v1080131","D","bird","380270","infraspecies",380270,380270,380270,"c9b146ef-9d2a-4a39-979e-43559a0d7c29","infraspecies","Treron formosae","Treron formosae",1025693,1025693,NA,"dc430885-79f2-4914-9380-ccad328bc246","species"
"73",73,"Glaucidium brodiei pardalotum","Glaucidium brodiei pardalotum","鵂鶹","NVU","v1080131","C1","bird","380499","infraspecies",380499,380499,380499,"863ed427-99f8-4381-b58c-d4e835c1df07","infraspecies","Glaucidium brodiei","Glaucidium brodiei",1024414,1024414,NA,"71395c68-21ca-4ee6-9ebd-f696c9ebd842","species"
"74",74,"Strix leptogrammica","Strix leptogrammica","褐林鴞","NVU","v1080131","D","bird","380507","species",1025563,1025563,NA,"b7b91dca-368e-4e07-9f87-f5ee35ca2dbe","species","Strix leptogrammica","Strix leptogrammica",1025563,1025563,NA,"b7b91dca-368e-4e07-9f87-f5ee35ca2dbe","species"
"75",75,"Ceryle rudis","Ceryle rudis","斑翡翠","NVU","v1080131","C1;D","bird","432253","species",1023910,1023910,NA,"6cb7ef0f-2ef4-4cf6-b955-47778c9ee8fd","species","Ceryle rudis","Ceryle rudis",1023910,1023910,NA,"6cb7ef0f-2ef4-4cf6-b955-47778c9ee8fd","species"
"76",76,"Picus canus","Picus canus","綠啄木","NVU","v1080131","D","bird","380494","species",1025227,1025227,NA,"138e3018-2c45-45d9-8cd4-99dd636d6f74","species","Picus canus","Picus canus",1025227,1025227,NA,"138e3018-2c45-45d9-8cd4-99dd636d6f74","species"
"77",77,"Coracina macei","Coracina macei","花翅山椒鳥","NVU","v1080131","D","bird","380317","species",1024015,1024015,NA,"a0f13f22-2ae9-4d61-aede-8b6862fcf869","species","Coracina macei","Coracina macei",1024015,1024015,NA,"a0f13f22-2ae9-4d61-aede-8b6862fcf869","species"
"78",78,"Lanius schach","Lanius schach","棕背伯勞","NVU","v1080131","C1","bird","432267","species",1024599,1024599,NA,"aaa14dcf-9cee-449b-890b-1e39a1f6371f","species","Lanius schach","Lanius schach",1024599,1024599,NA,"aaa14dcf-9cee-449b-890b-1e39a1f6371f","species"
"79",79,"Oriolus chinensis","Oriolus chinensis","黃鸝","NVU","v1080131","D","bird","380330","species",1025011,1025011,NA,"da97cd9a-686f-4f3b-94a9-1623ab914351","species","Oriolus chinensis","Oriolus chinensis",1025011,1025011,NA,"da97cd9a-686f-4f3b-94a9-1623ab914351","species"
"80",80,"Garrulus glandarius taivanus","Garrulus glandarius taivanus","松鴉","NVU","v1080131","C1","bird","425203","infraspecies",425203,425203,425203,"cbe213a8-cdb5-432a-b46f-e54548d75d1b","infraspecies","Garrulus glandarius","Garrulus glandarius",1024397,1024397,NA,"909afff8-1ee7-4a4b-a677-f656a496763e","species"
"81",81,"Corvus torquatus","Corvus torquatus","玉頸鴉","NVU","v1080131","D","bird","419675","species",419675,419675,419675,"4243b89c-0530-4783-86d7-ac65216049b7","species","Corvus torquatus","Corvus torquatus",419675,419675,419675,"4243b89c-0530-4783-86d7-ac65216049b7","species"
"82",82,"Sitta europaea","Sitta europaea","茶腹?","NVU","v1080131","A2a","bird","380444","species",1025494,1025494,NA,"d73cb232-2838-41a8-ab09-8c917ab02db2","species","Sitta europaea","Sitta europaea",1025494,1025494,NA,"d73cb232-2838-41a8-ab09-8c917ab02db2","species"
"83",83,"Pycnonotus taivanus","Pycnonotus taivanus","烏頭翁","NVU","v1080131","A3ce","bird","380440","species",380440,380440,380440,"0f4a4cbf-de63-43e0-bcaa-381c161c63e6","species","Pycnonotus taivanus","Pycnonotus taivanus",380440,380440,380440,"0f4a4cbf-de63-43e0-bcaa-381c161c63e6","species"
