"Scientific name_TBN" "Scientific name_PSL" "Chinese common name_PSL" "Chinese common name_PSL_note" "protected_status" "Version" "tp_tid" "taibnet_namecode" "uuid" "protect species list number" "rank_PSL"
"Squalidus banarescui" "Squalidus banarescui" "巴氏銀鮈" NA "I" "v1080109" 395247 395247 "96674ae7-a4d8-4688-a0bf-3e15d0fd2191" "832" "species"
"Squalidus iijimae" "Squalidus iijimae" "飯島氏銀鮈" NA "I" "v1080109" 381028 381028 "8ff1a9aa-7d0e-42dc-905e-feccb6a69c33" "833" "species"
"Liobagrus formosanus" "Liobagrus formosanus" "臺灣鉤吻鮭" NA "III" "v1080109" 382917 382917 "895740ab-889c-498d-9e7e-61a09f69635a" "836" "species"
"Balaenoptera acutorostrata" "Balaenoptera acutorostrata" "小鬚鯨" NA "I" "v1080109" 380528 380528 "525d7081-7040-456a-8d28-53381a10dc44" "902" "species"
"Balaenoptera borealis" "Balaenoptera borealis" "<U+9C2E>鯨" NA "I" "v1080109" 380529 380529 "d33826dc-a761-4b8c-a17e-862a2a2492ee" "904" "species"
"Balaenoptera edeni" "Balaenoptera edeni" "鯷鯨" NA "I" "v1080109" 380530 380530 "304b1453-92c5-43c5-a817-227bd9aeebd1" "905" "species"
"Balaenoptera musculus" "Balaenoptera musculus" "藍鯨" NA "I" "v1080109" 385002 385002 "2425943a-2707-4def-bbfb-76db26e4d9f1" "906" "species"
"Balaenoptera omurai" "Balaenoptera omurai" "大村鯨" NA "I" "v1080109" 385001 385001 "39c658e8-d46d-4ffb-bde5-3df040704793" "907" "species"
"Balaenoptera physalus" "Balaenoptera physalus" "長須鯨" NA "I" "v1080109" 380531 380531 "e7e61480-ff22-42ef-8c55-ceaaef205e25" "908" "species"
"Megaptera novaeangliae" "Megaptera novaeangliae" "大翅鯨" NA "I" "v1080109" 380532 380532 "6358b5a1-3a1b-4354-a9cb-72a77a7cb3eb" "909" "species"
"Sousa chinensis" "Sousa chinensis" "中華白海豚" NA "I" "v1080109" 380541 380541 "c3b4ff09-9126-44a2-a420-35ddedb79369" "914" "species"
"Tursiops aduncus" "Tursiops aduncus" "印太瓶鼻海豚" NA "II" "v1080109" 380546 380546 "9b6dbed3-9205-40f5-95f8-d36baa8c7ba4" "915" "species"
"Eschrichtius robustus" "Eschrichtius robustus" "灰鯨" NA "I" "v1080109" 380548 380548 "75093e12-40f3-4467-8fdd-2c8bd127325a" "917" "species"
"Neophocaena phocaenoides" "Neophocaena phocaenoides" "江豚" "露脊鼠海豚" "I" "v1080109" 380551 380551 "fb177ad6-769a-42e3-995f-5594e899c76f" "920" "species"
"Anous stolidus" "Anous stolidus" "玄燕鷗" NA "II" "v1080109" 1023581 NA "76f9f298-fd14-4242-8f51-c6a40783435d" "930" "species"
"Onychoprion anaethetus" "Onychoprion anaethetus" "白眉燕鷗" NA "II" "v1080109" 1024993 NA "fd252b08-fce5-4cc0-a698-b25a01828184" "932" "species"
"Saundersilarus saundersi" "Saundersilarus saundersi" "黑嘴鷗" NA "II" "v1080109" 419698 419698 "e65826ad-5a8d-468b-aa5e-16df3c5038b8" "933" "species"
"Sterna dougallii" "Sterna dougallii" "紅燕鷗" "粉紅燕鷗" "II" "v1080109" 1025543 NA "7559234a-62cd-4f7b-a6cb-313de3115a12" "934" "species"
"Sterna sumatrana" "Sterna sumatrana" "蒼燕鷗" NA "II" "v1080109" 1025545 NA "c92ed9a7-3377-472f-87d5-c85ae940d1cc" "935" "species"
"Sternula albifrons" "Sternula albifrons" "小燕鷗" NA "II" "v1080109" 1025547 NA "492cb237-e66a-4af1-841c-58dcbdba08b1" "936" "species"
"Thalasseus bergii" "Thalasseus bergii" "鳳頭燕鷗" NA "II" "v1080109" 1025652 NA "96507010-27ae-438b-bd64-0be53aa069dd" "937" "species"
"Thalasseus bernsteini" "Thalasseus bernsteini" "黑嘴端鳳頭燕鷗" NA "I" "v1080109" 419712 419712 "1ede32c8-c430-4a8c-9763-44b1764d7055" "938" "species"
"Pelecanus crispus" "Pelecanus crispus" "卷羽鵜鶘" NA "I" "v1080109" 404624 404624 "2f298d73-25c9-42e5-af37-e196f90bbf5a" "941" "species"
"Phoebastria albatrus" "Phoebastria albatrus" "短尾信天翁" NA "I" "v1080109" 404630 404630 "4748e6b0-2087-4910-89ee-5a3f657b5369" "942" "species"
"Phoebastria nigripes" "Phoebastria nigripes" "黑腳信天翁" NA "I" "v1080109" 404632 404632 "469ad59a-7986-42a8-8293-8b848394b243" "943" "species"
"Caretta caretta" "Caretta caretta" "赤蠵龜" NA "I" "v1080109" 380614 380614 "9ca257ce-5c90-412c-9558-d0c692e65571" "948" "species"
"Chelonia mydas" "Chelonia mydas" "綠蠵龜" NA "I" "v1080109" 380615 380615 "9ceb18ee-2e88-40c6-84aa-079de58c2c6c" "949" "species"
"Eretmochelys imbricata" "Eretmochelys imbricata" "玳瑁" NA "I" "v1080109" 380616 380616 "ecc9e451-b816-4792-bac6-983e5e633a71" "950" "species"
"Lepidochelys olivacea" "Lepidochelys olivacea" "欖蠵龜" NA "I" "v1080109" 380617 380617 "82b23908-a037-4198-b8f2-9dc5197d8493" "951" "species"
"Dermochelys coriacea" "Dermochelys coriacea" "革龜" "稜皮龜" "I" "v1080109" 380618 380618 "1acef1e4-9f24-4f9c-8ab1-f4ded3437a5f" "952" "species"
"Cheilinus undulatus" "Cheilinus undulatus" "曲紋唇魚" "波紋唇魚、龍王鯛、蘇眉魚" "II" "v1080109" 381941 381941 "bd2519a5-b5c5-47b0-bdc1-a0f825ad1f6e" "956" "species"
"Bolbometopon muricatum" "Bolbometopon muricatum" "隆頭鸚哥魚" "駝峰大鸚嘴魚" "II" "v1080109" 382434 382434 "139b096b-f585-4115-aa4c-8b7b81656ff3" "957" "species"
"Aegypius monachus" "NA" "NA" NA "II" "v1080109" 380102 380102 "382b65de-c823-4945-9a77-00bd707eeb94" "NA" "species"
"Aquila heliaca" "Aquila heliacal" "白肩鵰" NA "I" "v1080109" 380104 380104 "08dd93ce-8d46-44a9-92ba-8f4a5aec3cf1" "334" "species"
"Syrmaticus mikado" "Syrmaticus mikado" "黑長尾雉" "帝雉" "II" "v1080109" 380291 380291 "f99d359f-0dd5-4dbd-817e-a45c6d7b7efc" "392" "species"
"Feresa attenuata" "NA" "NA" NA "II" "v1080109" 380534 380534 "85ffeafa-7409-47d2-b6fe-9ea9034f4818" "NA" "species"
"Globicephala macrorhynchus" "NA" "NA" NA "II" "v1080109" 380535 380535 "02c914da-21c0-4d17-b67e-491defc98381" "NA" "species"
"Grampus griseus" "NA" "NA" NA "II" "v1080109" 380536 380536 "45a0d895-326c-4bca-8991-11347fff85bc" "NA" "species"
"Lagenodelphis hosei" "NA" "NA" NA "II" "v1080109" 380537 380537 "be1253ce-1c72-4d7b-ac74-936c9882a2ec" "NA" "species"
"Orcinus orca" "NA" "NA" NA "II" "v1080109" 380538 380538 "1b07f8fc-3ed8-4b63-80bf-f57556663cb8" "NA" "species"
"Peponocephala electra" "NA" "NA" NA "II" "v1080109" 380539 380539 "b1ea8557-7dfb-4cce-a3bc-bfc9d3dfa19b" "NA" "species"
"Pseudorca crassidens" "NA" "NA" NA "II" "v1080109" 380540 380540 "24dfe25f-2210-4085-b270-4b0c483d8c6e" "NA" "species"
"Stenella attenuata" "NA" "NA" NA "II" "v1080109" 380542 380542 "1f1f655d-1522-48bf-82ea-d0fc92c36d5b" "NA" "species"
"Stenella coeruleoalba" "NA" "NA" NA "II" "v1080109" 380543 380543 "adae1946-cffe-465a-a1fe-520915600c6e" "NA" "species"
"Stenella longirostris" "NA" "NA" NA "II" "v1080109" 380544 380544 "020aa3aa-b69b-4198-992a-8c8f8eede9c0" "NA" "species"
"Steno bredanensis" "NA" "NA" NA "II" "v1080109" 380545 380545 "4f7a7d42-eb80-4370-81e6-8da56c5c38e2" "NA" "species"
"Tursiops truncatus" "Tursiops truncates" "瓶鼻海豚" NA "II" "v1080109" 380547 380547 "21a8c039-f798-4ead-9331-fb522862aeeb" "916" "species"
"Kogia breviceps" "NA" "NA" NA "II" "v1080109" 380549 380549 "ef7b7132-e20a-4b35-829a-b5b8512dac85" "NA" "species"
"Kogia sima" "NA" "NA" NA "II" "v1080109" 380550 380550 "dc3dfcea-e2d5-4d41-8575-1e04c9f4bbdb" "NA" "species"
"Physeter macrocephalus" "Physeter microcephalus" "抹香鯨" NA "I" "v1080109" 380552 380552 "40119379-861d-4e93-b566-e90901be88bd" "922" "species"
"Mesoplodon densirostris" "NA" "NA" NA "II" "v1080109" 380554 380554 "ce68a0a5-7884-4ccd-a227-3a1a3699d907" "NA" "species"
"Mesoplodon ginkgodens" "NA" "NA" NA "II" "v1080109" 380555 380555 "ba532919-8c78-44dd-9230-77524d89c913" "NA" "species"
"Ziphius cavirostris" "NA" "NA" NA "II" "v1080109" 380556 380556 "078b0a92-6948-46dd-a3d8-e3caad02401b" "NA" "species"
"Enhydris plumbea" "Hypsiscopus plumbea" "鉛色水蛇" NA "III" "v1080109" 380643 380643 "d08669ba-8e9e-4d01-b96e-4265d17bc96d" "673" "species"
"Oncorhynchus formosanus" "Oncorhynchus masou" "櫻花鉤吻鮭" NA "I" "v1080109" 382788 382788 "86411be4-c1f1-43b5-8750-fcdd950eed87" "835" "species"
"Delphinus delphis" "NA" "NA" NA "II" "v1080109" 385000 385000 "04ef2c54-9875-4bd0-af03-3734d0c18b1d" "NA" "species"
"Balaenoptera brydei" "NA" "NA" NA "II" "v1080109" 385003 385003 "4cc93fce-ba29-4d30-b74f-ea33c81ad83a" "NA" "species"
"Buteo hemilasius" "NA" "NA" NA "II" "v1080109" 404551 404551 "3cc98484-bbf2-4c57-9300-b04ffc39ba8d" "NA" "species"
"Falco amurensis" "NA" "NA" NA "II" "v1080109" 404587 404587 "4e54bc74-f434-4d74-92fc-9a032a415b8e" "NA" "species"
"Falco naumanni" "NA" "NA" NA "II" "v1080109" 404588 404588 "63363497-97d4-46bb-8e1a-aeaeafb68867" "NA" "species"
"Prionailurus bengalensis" "Prionailurus bengalensis euptilurus" "石虎" NA "I" "v1080109" 416107 416107 "96acaa9b-0412-4853-8168-fccd12166426" "105" "infraspecies"
"Rousettus leschenaultii" "NA" "NA" NA "II" "v1080109" 416110 416110 "14d0933d-08f2-403c-83d6-96c8479ec3f7" "NA" "species"
"Geochelone elegans" "NA" "NA" NA "II" "v1080109" 417722 417722 "d172ef75-341a-412e-a8c4-9aefbe0b9637" "NA" "species"
"Paroaria coronata" "Paroaria coronate" "冠紅蠟嘴<U+9D50>" NA "II" "v1080109" 417867 417867 "926dab31-c7de-4084-be50-12de35254405" "426" "species"
"Indotestudo elongata" "NA" "NA" NA "II" "v1080109" 418130 418130 "23e7cfbb-7342-496e-8223-969a3790dd54" "NA" "species"
"Anthropoides virgo" "NA" "NA" NA "II" "v1080109" 419631 419631 "64c27564-4e73-4b44-a4a5-0b12738808ba" "NA" "species"
"Grus grus" "NA" "NA" NA "II" "v1080109" 420877 420877 "d4f1d790-c3e0-43cd-83ba-9fb0afdf5b64" "NA" "species"
"Delphinus capensis" "NA" "NA" NA "II" "v1080109" 427142 427142 "3293542b-82c4-4173-98a7-1a7a8079a8e1" "NA" "species"
"Clanga clanga" "NA" "NA" NA "II" "v1080109" 427287 427287 "3fae360a-23ea-45ef-827a-4c7af654fe69" "NA" "species"
"Haliaeetus leucogaster" "NA" "NA" NA "II" "v1080109" 428071 428071 "b6df16d7-59fa-4d02-bb4b-905d2dd69c5f" "NA" "species"
"Calidris pygmea" "Calidris pygmaea" "琵嘴鷸" NA "II" "v1080109" 428564 428564 "18a01f7a-54bc-4a9e-bcb4-1ced9de8eb9d" "283" "species"
"Ichthyaetus relictus" "Larus relictus" "遺鷗" NA "I" "v1080109" 428568 428568 "283a16c1-47fd-4221-a221-d52e575766ee" "931" "species"
"Balaenoptera taiwanica" "NA" "NA" NA "II" "v1080109" 430503 430503 "a225e20b-9a77-4033-b833-fc8db006fdec" "NA" "species"
"Synoicus chinensis" "Coturnix chinensis" "藍胸鶉" "馴養型除外" "II" "v1080109" 431229 431229 "edb3f65e-d359-49d5-8a9c-67953e89172b" "372" "species"
"Indopacetus  pacificus" "NA" "NA" NA "II" "v1080109" 432102 432102 "c58ca8a2-6d29-4185-90f0-5229b0019719" "NA" "species"
"Leucogeranus leucogeranus" "Grus leucogeranus" "白鶴" NA "I" "v1080109" 432194 432194 "251368bf-574e-4e61-8fff-b77abe6f4370" "404" "species"
"Antigone vipio" "Grus vipio" "白枕鶴" NA "I" "v1080109" 432195 432195 "a9182b3e-5cb1-4c28-932d-26b9a7eb62db" "407" "species"
"Machlolophus holsti" "Macholophus holsti" "黃山雀" NA "II" "v1080109" 432368 432368 "ccab507a-b6e1-4063-9252-9c9318aaf524" "462" "species"
"Accipiter badius" "NA" "NA" NA "II" "v1080109" 1023421 NA "20363a3c-1e5c-4162-a830-67fe4e451174" "NA" "species"
"Accipiter gentilis" "NA" "NA" NA "II" "v1080109" 1023422 NA "5a00f75f-2e53-4c6d-b55a-884f1ce64770" "NA" "species"
"Aquila fasciata" "NA" "NA" NA "II" "v1080109" 1023625 NA "c0ea178e-5629-4e72-9a26-d31954e6a982" "NA" "species"
"Athene noctua" "NA" "NA" NA "II" "v1080109" 1023666 NA "2fdeee3e-f5ea-46ba-bb77-aed6c8bb3d93" "NA" "species"
"Aviceda leuphotes" "NA" "NA" NA "II" "v1080109" 1023692 NA "7e1b0fb8-65f9-4642-870c-b868e2143e72" "NA" "species"
"Bubo bubo" "NA" "NA" NA "II" "v1080109" 1023759 NA "2fdb32ef-9f2f-4066-8e35-3a3bbef0855d" "NA" "species"
"Buteo japonicus" "NA" "NA" NA "II" "v1080109" 1023768 NA "27fbbbb9-e533-4c9b-a9a1-1e7dedf64715" "NA" "species"
"Buteo lagopus" "NA" "NA" NA "II" "v1080109" 1023769 NA "88f50e88-227f-4ef4-984c-8ed45ce8cb85" "NA" "species"
"Falco columbarius" "NA" "NA" NA "II" "v1080109" 1024353 NA "5221702c-9898-43a6-95a2-d6bc95512a9c" "NA" "species"
"Haliastur indus" "NA" "NA" NA "II" "v1080109" 1024454 NA "8e478be4-8d55-43c8-8060-a4819382ba8b" "NA" "species"
"Ictinaetus malaiensis" "Ictinaetus malayensis" "林鵰" NA "II" "v1080109" 1024552 NA "b2350fcd-44ae-4faf-9777-0e08342613fc" "344" "species"
"Manis pentadactyla" "Manis pentadactyla pentadactyla" "臺灣穿山甲" "中國鯪鯉" "II" "v1080109" 1024731 NA "12893a44-eca8-44a1-955f-970705f53bc4" "188" "infraspecies"
"Mustela nivalis" "NA" "NA" NA "III" "v1080109" 1024853 NA "1b2bd256-b844-4cb6-bc52-8b377c08ba22" "NA" "species"
"Orthriophis taeniurus" "Elaphe taeniura" "黑眉錦蛇" "錦蛇" "III" "v1080109" 1025024 NA "a0624436-a49d-457c-b491-dc61406d49c3" "676" "species"
"Otus elegans" "Otus elegans botelensis" "蘭嶼角鴞" "優雅角鴞" "II" "v1080109" 1025027 NA "11ac79d8-844c-431d-922b-fda00fa39e52" "576" "infraspecies"
"Pteropus dasymallus" "Pteropus dasymallus formosus" "臺灣狐蝠" NA "I" "v1080109" 1025365 NA "52de4e15-0819-4346-bd73-505256a30d9e" "142" "infraspecies"
"Rusa unicolor" "Rusa unicolor swinhoii" "臺灣水鹿" NA "III" "v1080109" 1025423 NA "ec16b5e7-3bc6-48e1-99e3-fe071331a48e" "62" "infraspecies"
"Buprestis (Akiyamaia) mirabilis" "Buprestis mirabilis" "妖艷吉丁蟲" NA "II" "v1080423" 330463 NA "f4144d64-8a16-4864-be19-dcaed428a881" "838" "species"
"Aeolesthes oenochrous" "Hemadius oenochrous" "霧社血斑天牛" NA "III" "v1080423" 402472 NA "f29c9bed-110b-4845-8ed3-5a05559b67f4" "839" "species"
"Eupyrgops waltonianus" "Eupyrgops waltonianus" "碎斑硬象鼻蟲" NA "II" "v1080423" 428420 NA "f5b4a09f-78c9-45cb-b838-0bc513ebad86" "840" "species"
"Pachyrhynchus chlorites" "Pachyrhynchus chlorites" "白點球背象鼻蟲" NA "II" "v1080423" 333006 NA "e7a3c46a-d31b-49db-b308-ceb9b3cbdc09" "841" "species"
"Pachyrhynchus nobilis" "Pachyrhynchus nobilis yamianus" "斷紋球背象鼻蟲" NA "II" "v1080423" 1025053 NA "66830956-20c0-4d2d-86f0-0692ad9462f5" "842" "infraspecies"
"Pachyrhynchus sarcitis" "Pachyrhynchus sarcitis kotoensis" "大圓斑球背象鼻蟲" NA "II" "v1080423" 1025054 NA "de21c097-b77a-45f4-8922-0429dddcf220" "843" "infraspecies"
"Pachyrhynchus sonani" "Pachyrhynchus sonani" "條紋球背象鼻蟲" NA "II" "v1080423" 333008 NA "77890923-933c-4a4c-a113-9c36ab8f27a5" "844" "species"
"Pachyrhynchus tobafolius" "Pachyrhynchus tobafolius" "小圓斑球背象鼻蟲" NA "II" "v1080423" 333012 NA "41045881-eda5-4577-b873-622de7cd5b47" "845" "species"
"Campsosternus watanabei" "Campsosternus watanabei" "虹彩叩頭蟲" "彩虹叩頭蟲" "II" "v1080423" 333223 NA "dbdb6e07-ecb7-4989-a5ed-f1ba88fbb5e0" "846" "species"
"Aquatica hydrophila" "Aquatica hydrophila" "黃胸黑翅螢" NA "II" "v1080423" 427562 NA "fa64a05a-f154-499a-ac08-075a84e690c3" "847" "species"
"Pristolycus kanoi" "Pristolycus kanoi" "鹿野氏黑脈螢" NA "II" "v1080423" 333826 NA "bfed0005-1043-411c-b489-0475d4542bf3" "848" "species"
"Dorcus curvidens" "Dorcus curvidens formosanus" "臺灣大鍬形蟲" NA "III" "v1080423" 1024170 NA "573811aa-2fef-42c2-a4b5-661723e45a55" "849" "infraspecies"
"Dorcus schenklingi" "Dorcus schenklingi" "長角大鍬形蟲" NA "II" "v1080423" 333944 NA "033e4019-9cf2-4a66-86d2-66ca5d5aa96e" "850" "species"
"Cheirotonus formosanus" "Cheirotonus formosanus" "臺灣長臂金龜" NA "III" "v1080423" 334538 NA "24f78a46-4bb0-4247-afbc-1f22c3185e62" "851" "species"
"Formotosena seebohmi" "Formotosena seebohmi" "臺灣爺蟬" NA "II" "v1080423" 330019 NA "534c7fe3-90cb-4cbc-ad97-b88c85556ecf" "852" "species"
"Sasakia charonda" "Sasakia charonda" "大紫蛺蝶" NA "I" "v1080423" 1025431 NA "f1495312-2c26-4deb-a61a-2423b038a90a" "853" "species"
"Papilio maraho" "Papilio maraho" "寬尾鳳蝶" NA "I" "v1080423" 431361 NA "801b6778-c1e7-47d2-8e25-4851546fd28b" "854" "species"
"Atrophaneura horishana" "Atrophaneura horishana" "曙鳳蝶" NA "III" "v1080423" 347270 NA "51e5c171-4682-499f-ae59-c2ba93bb0d22" "855" "species"
"Troides aeacus" "Troides aeacus" "黃裳鳳蝶" NA "III" "v1080423" 1025716 NA "628ac210-99d7-4c89-94ab-db5d9775d23f" "859" "species"
"Troides magellanus" "Troides magellanus" "珠光鳳蝶" NA "I" "v1080423" 1025717 NA "05cbfbcc-b83b-428d-a096-e60cec0eb6ab" "860" "species"
"Anotogaster klossi" "Anotogaster klossi" "無霸勾蜓" NA "II" "v1080423" 427215 NA "0defb28c-09ee-48fb-b092-aeefb9981c26" "861" "species"
"Phyllophorina kotoshoensis" "Phyllophorina kotoshoensis" "蘭嶼大葉螽蟴" NA "III" "v1080423" 404411 NA "5f4b95dc-e302-435c-8c13-eba1520bf184" "862" "species"
"Megacrania tsudai" "Megacrania tsudai" "津田氏大頭竹節蟲" NA "II" "v1080423" 1024744 NA "c264619d-2e8a-43b0-8d0c-eb74beec466b" "863" "species"
"Birgus latro" "Birgus latro" "椰子蟹" "八卦蟹" "II" "v1080423" 310883 NA "70289a06-2865-44a7-b787-4827c67f2b5b" "864" "species"
