"Scientific name_TBN" "Scientific name_PSL" "Chinese common name_PSL" "Chinese common name_PSL_note" "protected_status" "Version" "tp_tid" "taibnet_namecode" "uuid" "protect species list number" "rank_PSL"
"Garrulax canorus" "Garrulax canorus" "畫眉" NA "II" "v1080109" 1024395 NA "0b16d184-e6e6-4fcf-a1f5-2ddbd8ca43bd" "439" "species"
"Garrulax taewanus" "Garrulax taewanus" "臺灣畫眉" NA "II" "v1080109" 404589 404589 "f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3" "440" "species"
"Ianthocincla poecilorhyncha" "Ianthocincla poecilorhyncha" "棕噪眉" "竹鳥" "II" "v1080109" 428597 428597 "a2882575-aa64-40f6-8988-2bd95dafd495" "441" "species"
"Ianthocincla ruficeps" "Ianthocincla ruficeps" "白喉噪眉" "白喉笑鶇" "II" "v1080109" 428595 428595 "3a87a4f1-eefd-4105-b95b-b9006b24ccdd" "442" "species"
"Liocichla steerii" "Liocichla steerii" "黃胸藪眉" NA "III" "v1080109" 380468 380468 "b3ebff46-3b98-4252-aaaf-5bb401ab46cd" "444" "species"
"Heterophasia auricularis" "Heterophasia auricularis" "白耳畫眉" NA "III" "v1080109" 380467 380467 "84e5026b-061f-467f-8e4e-a38e7fb29026" "445" "species"
"Terpsiphone atrocaudata" "Terpsiphone atrocaudata" "紫壽帶" "綬帶鳥" "II" "v1080109" 1025642 NA "4fe88bf7-7e84-4d82-bc5a-806cbcaff6e3" "447" "species"
"Enicurus scouleri" "Enicurus scouleri" "小剪尾" NA "II" "v1080109" 1024234 NA "dede6677-498b-4ecf-9cfd-7098ff3207b1" "452" "species"
"Niltava vivida" "Niltava vivida" "黃腹琉璃" NA "III" "v1080109" 1024921 NA "61a4f693-98bf-428f-847d-2ed004f7cbaf" "453" "species"
"Phoenicurus fuliginosus" "Phoenicurus fuliginosus" "鉛色水鶇" NA "III" "v1080109" 1025204 NA "105e0a46-e9b2-4e6b-802b-df6b8504ec20" "454" "species"
"Tarsiger indicus" "Tarsiger indicus" "白眉林鴝" NA "III" "v1080109" 1025629 NA "f090cb1d-e3e0-476c-a170-d4d907510118" "457" "species"
"Tarsiger johnstoniae" "Tarsiger johnstoniae" "栗背林鴝" NA "III" "v1080109" 419684 419684 "2a938a10-e730-444a-93c2-93c753907c31" "458" "species"
"Oriolus chinensis" "Oriolus chinensis" "黃鸝" NA "II" "v1080109" 1025011 NA "da97cd9a-686f-4f3b-94a9-1623ab914351" "459" "species"
"Oriolus traillii" "Oriolus traillii" "朱鸝" NA "II" "v1080109" 1025012 NA "c6e1b358-4b60-4303-9e60-93d3076d76fb" "460" "species"
"Parus monticolus" "Parus monticolus" "綠背山雀" "青背山雀" "III" "v1080109" 1025134 NA "45fa8681-3a7e-4a66-841b-7cf9da482b9e" "463" "species"
"Periparus ater" "Periparus ater" "煤山雀" NA "III" "v1080109" 1025162 NA "6da20db4-9529-42c7-991d-b67f8e37a6be" "464" "species"
"Sittiparus castaneoventris" "Sittiparus castaneoventris" "赤腹山雀" NA "II" "v1080109" 432166 432166 "b64554fc-0c0a-4ade-9e0d-5eb3cd84b0e7" "465" "species"
"Passer rutilans" "Passer rutilans" "山麻雀" NA "I" "v1080109" 1025140 NA "50cdf9b2-217c-44e3-94a0-755d0810ffc3" "466" "species"
"Pitta nympha" "Pitta nympha" "仙八色鶇" "八色鳥" "II" "v1080109" 380436 380436 "26c84d6e-66bc-4928-842d-86774c26b317" "470" "species"
"Pycnonotus taivanus" "Pycnonotus taivanus" "烏頭翁" NA "II" "v1080109" 380440 380440 "0f4a4cbf-de63-43e0-bcaa-381c161c63e6" "471" "species"
"Regulus goodfellowi" "Regulus goodfellowi" "臺灣戴菊" "火冠戴菊鳥" "III" "v1080109" 380442 380442 "fc9b6509-2981-4915-b09b-7d289bb4622b" "473" "species"
"Acridotheres cristatellus" "Acridotheres cristatellus" "八哥" NA "II" "v1080109" 1023443 NA "56db805c-faf5-417c-8d04-ae8f442ca622" "474" "species"
"Gracula religiosa" "Gracula religiosa" "九官鳥" NA "II" "v1080109" 419446 419446 "94e11be7-aea5-4fb2-bdf4-ffd50423d3b7" "475" "species"
"Phylloscopus ijimae" "Phylloscopus ijimae" "飯島柳鶯" "艾吉柳鶯" "III" "v1080109" 404634 404634 "100a5f31-51f5-4c3b-a9c3-91c85bbe3849" "477" "species"
"Leiothrix argentauris" "Leiothrix argentauris" "銀耳相思鳥" NA "II" "v1080109" 432360 432360 "59e13b41-f852-4e9a-968a-97f2288802f0" "478" "species"
"Leiothrix lutea" "Leiothrix lutea" "紅嘴相思鳥" NA "II" "v1080109" 417886 417886 "0d962ac3-9c74-446f-bfce-cc24461abf69" "479" "species"
"Turdus poliocephalus" "Turdus poliocephalus" "白頭鶇" NA "II" "v1080109" 1025725 NA "3f6ddcee-31b4-4af1-bd9b-01dc6b171118" "480" "species"
"Yuhina brunneiceps" "Yuhina brunneiceps" "冠羽畫眉" NA "III" "v1080109" 380486 380486 "2dc77ddb-7020-4701-b24f-7c548ca059c4" "481" "species"
"Dendrocopos leucotos" "Dendrocopos leucotos" "大赤啄木" NA "II" "v1080109" 1024117 NA "0cfc5f84-e36f-4eb0-b071-382adb17dce9" "483" "species"
"Picus canus" "Picus canus" "綠啄木" NA "II" "v1080109" 1025227 NA "138e3018-2c45-45d9-8cd4-99dd636d6f74" "485" "species"
"Cacatua alba" "Cacatua alba" "白鳳頭鸚鵡" NA "II" "v1080109" 419413 419413 "632f098f-76bb-43c3-8b1f-b7da8fbd37c0" "493" "species"
"Cacatua galerita" "Cacatua galerita" "葵花鳳頭鸚鵡" NA "II" "v1080109" 419414 419414 "fd4b7847-e68c-443f-a7a5-ce7414e95767" "494" "species"
"Cacatua goffiniana" "Cacatua goffiniana" "戈芬氏鳳頭鸚鵡" NA "I" "v1080109" 419415 419415 "f70b5c4f-b073-47c4-8ea5-a5489c5cf2e4" "495" "species"
"Cacatua moluccensis" "Cacatua moluccensis" "鮭冠鸚鵡" NA "I" "v1080109" 419416 419416 "96d8481d-7748-4733-a64e-0e793321208f" "498" "species"
