"Scientific name_IUCN" "Chinese common name" "category_IUCN" "Version" "criteria_IUCN" "tp_tid" "ra_tid" "namecode" "uuid" "rank"
"Accipiter soloensis" "赤腹鷹" "LC" "v1080129" NA 380099 380099 380099 "361a3560-d085-4fd2-b6f6-521f4c8049a5" "species"
"Accipiter trivirgatus" "鳳頭蒼鷹" "LC" "v1080129" NA 1023425 1023425 NA "c3d7eb24-c683-40c1-a077-93141d28ae33" "species"
"Accipiter virgatus" "松雀鷹" "LC" "v1080129" NA 1023426 1023426 NA "828253a2-1f00-401b-b5c9-f3a37791600a" "species"
"Acentrogobius audax" NA "LC" "v1080129" NA 395506 395506 395506 "4e3adbf5-2a27-421d-a538-567dcb30b2fc" "species"
"Achalinus formosanus" "臺灣標蛇" "LC" "v1080129" NA 380628 380628 380628 "d348ba61-0bed-467a-a2b3-4bb7b4a826f0" "species"
"Achalinus niger" "標蛇" "LC" "v1080129" NA 380629 380629 380629 "2c477dd1-88b2-49d3-b072-8a72bf225ad7" "species"
"Acreichthys tomentosus" "白線鬃尾單棘魨" "LC" "v1080129" NA 383239 383239 383239 "ad1537ae-e561-423e-86e4-f7a1bfd30add" "species"
"Acridotheres burmannicus" "葡萄胸椋鳥" "LC" "v1080129" NA 419435 419435 419435 "0f871b7a-9fca-4418-b8fa-acc05a9590ab" "species"
"Acridotheres cristatellus" "八哥" "LC" "v1080129" NA 1023443 1023443 NA "56db805c-faf5-417c-8d04-ae8f442ca622" "species"
"Acridotheres fuscus" "林八哥" "LC" "v1080129" NA 404535 404535 404535 "b229d21c-ae28-49b7-a287-92bd0b26949e" "species"
"Acridotheres javanicus" "白尾八哥" "VU" "v1080129" "A2d+3d+4d" 404536 404536 404536 "233a25cd-bac6-4bb2-94bb-a4b4c173c218" "species"
"Acridotheres tristis" "家八哥" "LC" "v1080129" NA 1023444 1023444 NA "d9ba0042-a694-46fe-ba3b-1f2130c4a49a" "species"
"Acrocephalus agricola" "稻田葦鶯" "LC" "v1080129" NA 419654 419654 419654 "71b02893-9cf8-4523-ba2b-f23531b90006" "species"
"Acrocephalus bistrigiceps" "雙眉葦鶯" "LC" "v1080129" NA 380454 380454 380454 "5f4a5de8-704b-4fa1-9afb-836c0c5aafdb" "species"
"Acrocephalus dumetorum" "布氏葦鶯" "LC" "v1080129" NA 419655 419655 419655 "aba78986-2553-44eb-b54e-ed1514edb60c" "species"
"Acrocephalus orientalis" "東方大葦鶯" "LC" "v1080129" NA 404538 404538 404538 "5c6e0465-66ef-4dfc-bfca-0878be75119b" "species"
"Acrocephalus sorghophilus" "細紋葦鶯" "EN" "v1080129" "C2a(i,ii)" 404539 404539 404539 "5dbb2b00-a638-4838-bb08-6e884152302b" "species"
"Acrocephalus tangorum" "遠東葦鶯" "VU" "v1080129" "C2a(ii)" 425260 425260 425260 "b6dc0713-111d-4b39-b283-f330282f5341" "species"
"Acrochordus granulatus" "瘰鱗蛇" "LC" "v1080129" NA 418273 418273 418273 "6a4a1d5c-20a8-4b45-8bba-a6cb052cd57b" "species"
"Actitis hypoleucos" "磯鷸" "LC" "v1080129" NA 404540 404540 404540 "92b71078-5bfd-45eb-9145-8a7a54a2c515" "species"
"Aegithalos concinnus" "紅頭山雀" "LC" "v1080129" NA 1023464 1023464 NA "a676bcfe-195c-4983-a08a-d9259d197b9e" "species"
"Aegypius monachus" "禿鷲" "NT" "v1080129" NA 380102 380102 380102 "382b65de-c823-4945-9a77-00bd707eeb94" "species"
"Aeoliscus strigatus" "條紋<U+9C15>魚" "DD" "v1080129" NA 381092 381092 381092 "6cfccea8-cf4b-4362-ac15-7b9ddb8ad23c" "species"
"Aerodramus brevirostris" "短嘴金絲燕" "LC" "v1080129" NA 1023469 1023469 NA "937fdd13-8d43-4657-8e26-d81d52b8bb4d" "species"
"Aesopia cornuta" "角鰨" "LC" "v1080129" NA 382770 382770 382770 "7adb6279-f8a7-4de8-88f9-337e895a5b53" "species"
"Aethaloperca rogaa" "煙鱠" "LC" "v1080129" NA 382505 382505 382505 "194ab66d-deb7-426b-b54b-ed2f626a444e" "species"
"Aethopyga christinae" "叉尾太陽鳥" "LC" "v1080129" NA 1023480 1023480 NA "cc31bbce-a765-4e63-a1b3-95b465488808" "species"
"Aethopyga gouldiae" "藍喉太陽鳥" "LC" "v1080129" NA 1023481 1023481 NA "5ab44fe3-e3ac-4b9d-a207-14707f91aba9" "species"
"Aetobatus narinari" "納氏鷂<U+9C5D>" "NT" "v1080129" NA 383160 383160 383160 "79cf7045-bb2d-4430-9b9d-66824914ec28" "species"
"Aetobatus ocellatus" "眼斑鷂<U+9C5D>" "VU" "v1080129" "A2bd" 395639 395639 395639 "07fddf03-f707-495b-bae8-72d720950923" "species"
"Aetomylaeus maculatus" "花點無刺<U+9C5D>" "EN" "v1080129" "A2d+3d+4d" 383162 383162 383162 "48230b23-c695-46bc-b5e6-d9f560059b42" "species"
"Aetomylaeus milvus" "鷹狀無刺<U+9C5D>" "EN" "v1080129" "A2d+3d" 383163 383163 383163 "a3e708e0-d68a-4072-9a2b-579ca340683d" "species"
"Aetomylaeus nichofii" "聶氏無刺<U+9C5D>" "VU" "v1080129" "A2bd" 383164 383164 383164 "2dcd0214-5abc-4a5d-b523-e3490a5e3575" "species"
"Aetomylaeus vespertilio" "蝠狀無刺<U+9C5D>" "EN" "v1080129" "A2d" 383161 383161 383161 "c014cf69-4f37-4016-8a4c-739350891d79" "species"
"Agapornis roseicollis" "桃臉情侶鸚鵡" "LC" "v1080129" NA 417949 417949 417949 "be9f9e82-cd5e-4be2-b7bc-031af15fc611" "species"
"Agropsar philippensis" "小椋鳥" "LC" "v1080129" NA 431231 431231 431231 "05bf28a2-7480-4340-a0eb-19119b9538df" "species"
"Agropsar sturninus" "北椋鳥" "LC" "v1080129" NA 431232 431232 431232 "7d6e23e0-4e89-465d-9925-2e73109d52ad" "species"
"Aix galericulata" "鴛鴦" "LC" "v1080129" NA 380056 380056 380056 "76ccc3a9-51b0-4cda-9685-f997e722569c" "species"
"Aix sponsa" "林鴛鴦" "LC" "v1080129" NA 432356 432356 432356 "867af5b8-1b14-4c2b-8180-e7200c6c1f61" "species"
"Alauda arvensis" "歐亞雲雀" "LC" "v1080129" NA 1023506 1023506 NA "354917ef-2c5b-4a98-8497-3898b93ed4d6" "species"
"Alauda gulgula" "小雲雀" "LC" "v1080129" NA 1023507 1023507 NA "fccb856c-dc75-4e5f-9aaf-fa228ae855ad" "species"
"Albula glossodonta" "圓頜狐<U+9C2E>" "VU" "v1080129" "A2bcd" 380708 380708 380708 "6519b313-0e21-48c1-bc57-38be1963e94a" "species"
"Albula koreana" "東海狐<U+9C2E>" "DD" "v1080129" NA 395521 395521 395521 "67111bd5-5334-49e5-8d7b-a9b0a8cfa7c8" "species"
"Alcedo atthis" "翠鳥" "LC" "v1080129" NA 1023511 1023511 NA "e5e6767d-cda7-48fb-b1e8-103170303403" "species"
"Alcippe morrisonia" "繡眼畫眉" "LC" "v1080129" NA 421140 421140 421140 "f242d6c5-6197-4025-af81-78ea801ea36c" "species"
"Aldrovandia affinis" "異鱗海蜴魚" "LC" "v1080129" NA 383240 383240 383240 "58be5971-4c0d-4050-a7bc-b41a0bd692e9" "species"
"Aldrovandia phalacra" "裸頭海蜴魚" "LC" "v1080129" NA 383650 383650 383650 "aedb7389-2aca-49bf-b8ee-1457fe4e94c9" "species"
"Alectis ciliaris" "絲<U+9C3A>" "LC" "v1080129" NA 381505 381505 381505 "32b988ce-d0e4-40cf-a4db-819a0152b357" "species"
"Alectis indica" "印度絲<U+9C3A>" "LC" "v1080129" NA 381506 381506 381506 "59145f71-3b7e-4f7d-82e9-800e63f3fdcd" "species"
"Alepes djedaba" "吉打副葉<U+9C3A>" "LC" "v1080129" NA 381507 381507 381507 "b5ac9284-e48c-4d70-95d3-3181f4534b03" "species"
"Alepes kleinii" "克氏副葉<U+9C3A>" "LC" "v1080129" NA 381508 381508 381508 "9d71cebf-e2b0-48a3-9c0d-a090c5a1f625" "species"
"Alepes vari" "范氏副葉<U+9C3A>" "LC" "v1080129" NA 381509 381509 381509 "248d7158-2912-46d8-916d-1e006560cc30" "species"
"Alepisaurus ferox" "帆蜥魚" "LC" "v1080129" NA 380828 380828 380828 "ca7ab0fc-8c9a-4b50-af70-0c434c33db92" "species"
"Alionematichthys minyomma" "小眼海鼬魚" "LC" "v1080129" NA 381234 381234 381234 "71ad3808-3c9e-422f-9f44-d14b9a5dc75a" "species"
"Alopias pelagicus" "淺海狐鯊" "VU" "v1080129" "A2d+4d" 383121 383121 383121 "0e0f8da1-4729-4b3d-add6-e2440b74d338" "species"
"Alopias superciliosus" "深海狐鯊" "VU" "v1080129" "A2bd" 383122 383122 383122 "40526197-5838-43f3-a305-d04d56ff04d5" "species"
"Alopias vulpinus" "狐鯊" "VU" "v1080129" "A2bd+3bd+4bd" 383123 383123 383123 "e15502be-b19b-4adf-b2b5-a36c91768da8" "species"
"Alticus saliens" "高冠<U+9CDA>" "DD" "v1080129" NA 381392 381392 381392 "317ba9a1-9fe2-4c7a-bd20-b48d58c1da8c" "species"
"Aluterus monoceros" "單角革單棘魨" "LC" "v1080129" NA 382985 382985 382985 "d12fe752-944d-44b9-85f6-c3c0256f3ceb" "species"
"Aluterus scriptus" "長尾革單棘魨" "LC" "v1080129" NA 382986 382986 382986 "d06088bd-1920-451d-8573-a84af43f381d" "species"
"Amanses scopas" "美單棘魨" "LC" "v1080129" NA 382987 382987 382987 "54d9b1fb-6a4d-4b16-933a-e88dcd91f6c0" "species"
"Amaurornis cinerea" "白眉秧雞" "LC" "v1080129" NA 432187 432187 432187 "643f3a1e-275c-4c35-9714-7b2cf7c7eaf2" "species"
"Amaurornis phoenicurus" "白腹秧雞" "LC" "v1080129" NA 1023524 1023524 NA "335050b7-a31c-4cd0-89e0-660eb136fb2b" "species"
"Ambassis interrupta" "斷線雙邊魚" "LC" "v1080129" NA 381306 381306 381306 "7145d9f5-5c64-42e8-b7ff-c21646104127" "species"
"Ambassis macracanthus" "大棘雙邊魚" "DD" "v1080129" NA 381307 381307 381307 "9078e937-63eb-450f-87ed-ca522cd571a2" "species"
